time,open,high,low,close,volume,value,date
2024-11-01 00:00:00+07:00,2.94,2.96,2.68,2.82,1047242842,0.0,2024-11-01
2024-12-01 00:00:00+07:00,2.7,2.88,2.62,2.76,667445139,0.0,2024-12-01
2025-01-01 00:00:00+07:00,2.72,2.74,2.12,2.12,761542971,0.0,2025-01-01
2025-02-01 00:00:00+07:00,2.06,2.28,1.98,2.04,776973548,0.0,2025-02-01
2025-03-01 00:00:00+07:00,2.04,2.06,1.67,1.69,940463576,0.0,2025-03-01
2025-04-01 00:00:00+07:00,1.69,1.71,1.24,1.35,1392360255,0.0,2025-04-01
2025-05-01 00:00:00+07:00,1.36,1.39,1.1,1.18,1389755566,0.0,2025-05-01
2025-06-01 00:00:00+07:00,1.18,1.22,0.95,1.1,1000993805,0.0,2025-06-01
2025-07-01 00:00:00+07:00,1.09,1.35,1.08,1.27,1924665210,0.0,2025-07-01
2025-08-01 00:00:00+07:00,1.29,1.39,1.22,1.23,2148967697,0.0,2025-08-01
2025-09-01 00:00:00+07:00,1.23,1.42,1.21,1.27,1369192321,0.0,2025-09-01
2025-10-01 00:00:00+07:00,1.25,1.34,1.16,1.22,1184199882,41354781.0,2025-10-01
