time,open,high,low,close,volume,value,date
2024-11-01 00:00:00+07:00,29.25,31.0,27.75,29.25,167994653,0.0,2024-11-01
2024-12-01 00:00:00+07:00,29.25,30.5,26.75,28.75,107053505,0.0,2024-12-01
2025-01-01 00:00:00+07:00,28.75,28.75,24.7,25.0,102304679,0.0,2025-01-01
2025-02-01 00:00:00+07:00,24.5,25.5,22.9,23.5,186860666,0.0,2025-02-01
2025-03-01 00:00:00+07:00,23.6,23.7,19.0,20.4,168415019,0.0,2025-03-01
2025-04-01 00:00:00+07:00,20.7,21.5,11.2,14.8,595893044,0.0,2025-04-01
2025-05-01 00:00:00+07:00,15.0,16.9,14.0,14.5,402847637,0.0,2025-05-01
2025-06-01 00:00:00+07:00,14.5,14.6,12.4,14.0,194255304,0.0,2025-06-01
2025-07-01 00:00:00+07:00,14.0,16.8,13.0,16.0,459673809,0.0,2025-07-01
2025-08-01 00:00:00+07:00,17.2,17.3,15.6,15.8,354195710,0.0,2025-08-01
2025-09-01 00:00:00+07:00,15.8,17.8,15.6,16.1,275976633,0.0,2025-09-01
2025-10-01 00:00:00+07:00,16.2,16.8,14.3,14.4,177575206,116269120.0,2025-10-01
