time,open,high,low,close,volume,value,date
2024-11-04 00:00:00+07:00,29.25,31.0,28.5,30.0,50279637,0.0,2024-11-04
2024-11-11 00:00:00+07:00,30.25,30.75,27.75,29.75,51707998,0.0,2024-11-11
2024-11-18 00:00:00+07:00,29.5,30.75,28.25,30.5,30332310,0.0,2024-11-18
2024-11-25 00:00:00+07:00,30.5,30.5,28.5,29.25,26304179,0.0,2024-11-25
2024-12-02 00:00:00+07:00,29.25,30.25,29.0,29.75,18829104,0.0,2024-12-02
2024-12-09 00:00:00+07:00,29.75,30.5,29.0,29.5,17649574,0.0,2024-12-09
2024-12-16 00:00:00+07:00,29.75,29.75,27.25,27.5,44487132,0.0,2024-12-16
2024-12-23 00:00:00+07:00,27.25,28.75,26.75,28.25,20497722,0.0,2024-12-23
2024-12-30 00:00:00+07:00,28.25,29.25,27.25,27.75,16468908,0.0,2024-12-30
2025-01-06 00:00:00+07:00,27.5,28.0,25.75,25.75,22398860,0.0,2025-01-06
2025-01-13 00:00:00+07:00,25.75,27.25,25.25,25.75,23107820,0.0,2025-01-13
2025-01-20 00:00:00+07:00,25.75,27.75,25.5,26.25,25113835,0.0,2025-01-20
2025-01-27 00:00:00+07:00,26.0,26.25,24.7,25.0,20805229,0.0,2025-01-27
2025-02-03 00:00:00+07:00,24.5,25.5,23.0,23.9,55468982,0.0,2025-02-03
2025-02-10 00:00:00+07:00,24.0,25.25,23.8,24.5,49170248,0.0,2025-02-10
2025-02-17 00:00:00+07:00,24.4,25.5,24.3,25.25,28837400,0.0,2025-02-17
2025-02-24 00:00:00+07:00,25.25,25.25,22.9,23.5,53384036,0.0,2025-02-24
2025-03-03 00:00:00+07:00,23.6,23.7,21.5,22.6,55853799,0.0,2025-03-03
2025-03-10 00:00:00+07:00,22.4,22.5,21.6,21.9,31683740,0.0,2025-03-10
2025-03-17 00:00:00+07:00,22.0,22.5,21.1,22.0,33829761,0.0,2025-03-17
2025-03-24 00:00:00+07:00,21.9,22.1,21.0,21.3,38859485,0.0,2025-03-24
2025-03-31 00:00:00+07:00,19.0,21.5,15.3,15.5,128050760,0.0,2025-03-31
2025-04-08 00:00:00+07:00,13.8,14.1,11.2,13.3,225777010,0.0,2025-04-08
2025-04-16 00:00:00+07:00,13.7,15.1,13.5,14.9,81272308,0.0,2025-04-16
2025-04-21 00:00:00+07:00,14.8,15.5,13.8,15.4,106149078,0.0,2025-04-21
2025-04-28 00:00:00+07:00,15.5,15.9,14.1,15.8,92299878,0.0,2025-04-28
2025-05-06 00:00:00+07:00,15.6,16.5,15.0,16.1,94095258,0.0,2025-05-06
2025-05-13 00:00:00+07:00,16.6,16.9,14.8,14.9,109842415,0.0,2025-05-13
2025-05-19 00:00:00+07:00,14.8,15.3,14.4,15.0,71788730,0.0,2025-05-19
2025-05-26 00:00:00+07:00,14.9,15.9,14.0,14.5,97653478,0.0,2025-05-26
2025-06-04 00:00:00+07:00,14.5,14.6,13.9,14.0,28628138,0.0,2025-06-04
2025-06-09 00:00:00+07:00,14.3,14.5,13.5,13.7,51649107,0.0,2025-06-09
2025-06-16 00:00:00+07:00,13.6,14.1,12.4,12.8,55747558,0.0,2025-06-16
2025-06-23 00:00:00+07:00,12.5,14.0,12.5,13.5,49210749,0.0,2025-06-23
2025-06-30 00:00:00+07:00,13.6,15.6,13.5,15.2,89586674,0.0,2025-06-30
2025-07-07 00:00:00+07:00,14.6,14.7,13.0,14.1,88127599,0.0,2025-07-07
2025-07-14 00:00:00+07:00,14.2,15.6,14.1,15.1,90167430,0.0,2025-07-14
2025-07-21 00:00:00+07:00,15.1,15.9,14.9,15.1,81359508,0.0,2025-07-21
2025-07-29 00:00:00+07:00,15.3,17.3,14.9,16.3,188736736,0.0,2025-07-29
2025-08-04 00:00:00+07:00,16.3,17.0,15.6,16.6,97570805,0.0,2025-08-04
2025-08-13 00:00:00+07:00,16.2,16.6,15.8,16.1,50507271,0.0,2025-08-13
2025-08-18 00:00:00+07:00,16.3,16.9,16.0,16.7,71284494,0.0,2025-08-18
2025-08-25 00:00:00+07:00,16.8,17.0,15.8,15.8,65548754,0.0,2025-08-25
2025-09-01 00:00:00+07:00,15.8,16.9,15.6,16.6,56811618,0.0,2025-09-01
2025-09-08 00:00:00+07:00,16.7,17.6,16.6,17.1,95158741,0.0,2025-09-08
2025-09-15 00:00:00+07:00,17.1,17.8,17.0,17.2,67793387,0.0,2025-09-15
2025-09-22 00:00:00+07:00,17.2,17.2,16.1,16.4,45879297,0.0,2025-09-22
2025-09-29 00:00:00+07:00,16.4,16.5,15.9,16.0,24734811,0.0,2025-09-29
2025-10-06 00:00:00+07:00,16.0,16.6,15.9,16.5,31012534,0.0,2025-10-06
2025-10-14 00:00:00+07:00,16.5,16.8,15.7,16.0,39977916,0.0,2025-10-14
2025-10-20 00:00:00+07:00,16.1,16.1,15.1,15.1,37411281,0.0,2025-10-20
2025-10-27 00:00:00+07:00,15.3,15.4,14.3,14.4,54772254,116269120.0,2025-10-27
