time,open,high,low,close,volume,value,date
2024-11-01 00:00:00+07:00,61.25,63.0,58.25,60.75,312244238,0.0,2024-11-01
2024-12-01 00:00:00+07:00,60.75,62.0,56.75,59.5,272627516,0.0,2024-12-01
2025-01-01 00:00:00+07:00,59.5,60.25,55.25,55.25,330320403,0.0,2025-01-01
2025-02-01 00:00:00+07:00,53.75,57.75,41.5,43.25,983012685,0.0,2025-02-01
2025-03-01 00:00:00+07:00,43.25,43.5,37.0,37.75,769090528,0.0,2025-03-01
2025-04-01 00:00:00+07:00,37.75,39.75,34.0,38.25,665481599,0.0,2025-04-01
2025-05-01 00:00:00+07:00,41.0,42.75,32.5,33.25,762972894,0.0,2025-05-01
2025-06-01 00:00:00+07:00,33.5,33.5,26.75,30.25,1014569185,0.0,2025-06-01
2025-07-01 00:00:00+07:00,30.25,42.75,29.75,41.0,994654258,0.0,2025-07-01
2025-08-01 00:00:00+07:00,41.25,41.5,35.75,36.0,495263944,0.0,2025-08-01
2025-09-01 00:00:00+07:00,35.5,40.75,35.0,40.5,511410529,0.0,2025-09-01
2025-10-01 00:00:00+07:00,40.5,44.0,39.0,41.25,622461745,743353475.0,2025-10-01
