time,open,high,low,close,volume,value,date
2024-11-01 00:00:00+07:00,8.25,8.3,6.5,6.75,431182831,0.0,2024-11-01
2024-12-01 00:00:00+07:00,6.8,7.05,5.8,6.1,281974792,0.0,2024-12-01
2025-01-01 00:00:00+07:00,6.05,6.25,5.35,5.75,298759842,0.0,2025-01-01
2025-02-01 00:00:00+07:00,5.55,6.65,5.45,6.35,453345944,0.0,2025-02-01
2025-03-01 00:00:00+07:00,6.35,6.95,5.85,5.95,396317682,0.0,2025-03-01
2025-04-01 00:00:00+07:00,6.0,6.7,5.7,6.35,283474343,0.0,2025-04-01
2025-05-01 00:00:00+07:00,6.3,6.6,5.75,6.3,271500684,0.0,2025-05-01
2025-06-01 00:00:00+07:00,6.25,7.3,6.1,7.1,410882084,0.0,2025-06-01
2025-07-01 00:00:00+07:00,7.1,8.4,6.9,8.35,316905086,0.0,2025-07-01
2025-08-01 00:00:00+07:00,8.35,8.6,7.6,8.15,270386489,0.0,2025-08-01
2025-09-01 00:00:00+07:00,8.15,8.5,7.7,7.75,266379099,0.0,2025-09-01
2025-10-01 00:00:00+07:00,7.75,8.45,6.7,6.75,380863575,83951795.0,2025-10-01
