time,open,high,low,close,volume,value,date
2024-10-31 00:00:00+07:00,8.65,8.65,8.15,8.3,48567630,0.0,2024-10-31
2024-11-01 00:00:00+07:00,8.25,8.3,8.05,8.05,31662518,0.0,2024-11-01
2024-11-04 00:00:00+07:00,8.05,8.1,7.8,7.85,20345692,0.0,2024-11-04
2024-11-05 00:00:00+07:00,7.85,7.85,7.7,7.75,29010058,0.0,2024-11-05
2024-11-06 00:00:00+07:00,7.75,7.75,7.2,7.25,52571054,0.0,2024-11-06
2024-11-07 00:00:00+07:00,7.25,7.45,7.1,7.2,29763768,0.0,2024-11-07
2024-11-08 00:00:00+07:00,7.3,7.55,7.2,7.2,25089969,0.0,2024-11-08
2024-11-11 00:00:00+07:00,7.2,7.25,7.05,7.1,14894841,0.0,2024-11-11
2024-11-12 00:00:00+07:00,7.15,7.2,6.85,6.9,14175574,0.0,2024-11-12
2024-11-13 00:00:00+07:00,6.95,7.1,6.9,7.0,7341687,0.0,2024-11-13
2024-11-14 00:00:00+07:00,7.05,7.2,6.8,6.85,28129489,0.0,2024-11-14
2024-11-15 00:00:00+07:00,6.85,7.0,6.7,6.75,13347772,0.0,2024-11-15
2024-11-18 00:00:00+07:00,6.85,7.0,6.75,6.9,11270249,0.0,2024-11-18
2024-11-19 00:00:00+07:00,6.95,7.2,6.85,7.0,32805444,0.0,2024-11-19
2024-11-20 00:00:00+07:00,7.05,7.1,6.85,6.9,24414638,0.0,2024-11-20
2024-11-21 00:00:00+07:00,6.9,7.0,6.8,6.85,15941107,0.0,2024-11-21
2024-11-22 00:00:00+07:00,6.9,7.05,6.85,7.0,9855286,0.0,2024-11-22
2024-11-25 00:00:00+07:00,7.05,7.1,6.8,6.85,16744931,0.0,2024-11-25
2024-11-26 00:00:00+07:00,6.85,6.9,6.8,6.8,8456792,0.0,2024-11-26
2024-11-27 00:00:00+07:00,6.8,6.8,6.5,6.55,20436456,0.0,2024-11-27
2024-11-28 00:00:00+07:00,6.6,6.75,6.6,6.65,15970498,0.0,2024-11-28
2024-11-29 00:00:00+07:00,6.7,6.8,6.6,6.75,8955008,0.0,2024-11-29
2024-12-02 00:00:00+07:00,6.8,6.9,6.7,6.8,7817879,0.0,2024-12-02
2024-12-03 00:00:00+07:00,6.85,7.05,6.85,7.0,14902288,0.0,2024-12-03
2024-12-04 00:00:00+07:00,7.05,7.05,6.85,6.9,13926144,0.0,2024-12-04
2024-12-06 00:00:00+07:00,6.85,6.9,6.7,6.75,9500875,0.0,2024-12-06
2024-12-09 00:00:00+07:00,6.75,6.8,6.7,6.75,4637864,0.0,2024-12-09
2024-12-11 00:00:00+07:00,6.75,6.8,6.65,6.75,10252922,0.0,2024-12-11
2024-12-12 00:00:00+07:00,6.75,6.9,6.75,6.75,9013680,0.0,2024-12-12
2024-12-13 00:00:00+07:00,6.75,6.8,6.5,6.6,19567705,0.0,2024-12-13
2024-12-16 00:00:00+07:00,6.55,6.6,6.5,6.55,5522871,0.0,2024-12-16
2024-12-17 00:00:00+07:00,6.55,6.6,6.3,6.35,15848303,0.0,2024-12-17
2024-12-18 00:00:00+07:00,6.4,6.45,6.25,6.3,13876548,0.0,2024-12-18
2024-12-19 00:00:00+07:00,6.2,6.45,6.2,6.3,20390692,0.0,2024-12-19
2024-12-20 00:00:00+07:00,6.25,6.3,5.9,5.95,45466979,0.0,2024-12-20
2024-12-23 00:00:00+07:00,6.0,6.05,5.8,6.0,23009180,0.0,2024-12-23
2024-12-24 00:00:00+07:00,6.05,6.15,5.95,6.05,15943835,0.0,2024-12-24
2024-12-25 00:00:00+07:00,6.05,6.15,6.0,6.1,13427193,0.0,2024-12-25
2024-12-26 00:00:00+07:00,6.15,6.2,6.0,6.05,14868729,0.0,2024-12-26
2024-12-27 00:00:00+07:00,6.05,6.25,6.05,6.1,16336523,0.0,2024-12-27
2024-12-30 00:00:00+07:00,6.1,6.15,6.0,6.1,7664582,0.0,2024-12-30
2025-01-02 00:00:00+07:00,6.05,6.1,6.0,6.1,6402463,0.0,2025-01-02
2025-01-03 00:00:00+07:00,6.1,6.2,6.05,6.15,10003148,0.0,2025-01-03
2025-01-06 00:00:00+07:00,6.15,6.2,6.0,6.05,7801591,0.0,2025-01-06
2025-01-07 00:00:00+07:00,6.0,6.1,5.95,6.05,9931588,0.0,2025-01-07
2025-01-08 00:00:00+07:00,6.05,6.05,5.9,5.95,13009139,0.0,2025-01-08
2025-01-09 00:00:00+07:00,5.9,5.95,5.75,5.75,14143592,0.0,2025-01-09
2025-01-10 00:00:00+07:00,5.8,5.85,5.65,5.75,10712052,0.0,2025-01-10
2025-01-13 00:00:00+07:00,5.7,5.75,5.6,5.65,15636356,0.0,2025-01-13
2025-01-14 00:00:00+07:00,5.75,5.75,5.55,5.55,14353315,0.0,2025-01-14
2025-01-15 00:00:00+07:00,5.55,5.75,5.5,5.75,10283099,0.0,2025-01-15
2025-01-16 00:00:00+07:00,5.8,5.8,5.6,5.65,8254245,0.0,2025-01-16
2025-01-17 00:00:00+07:00,5.65,5.7,5.35,5.45,19417346,0.0,2025-01-17
2025-01-20 00:00:00+07:00,5.45,5.6,5.4,5.5,9478823,0.0,2025-01-20
2025-01-21 00:00:00+07:00,5.55,5.8,5.55,5.75,19488125,0.0,2025-01-21
2025-01-22 00:00:00+07:00,5.75,5.85,5.65,5.7,18736373,0.0,2025-01-22
2025-01-23 00:00:00+07:00,5.7,5.8,5.65,5.65,23352061,0.0,2025-01-23
2025-01-24 00:00:00+07:00,5.7,5.8,5.6,5.75,11641414,0.0,2025-01-24
2025-01-27 00:00:00+07:00,5.75,5.85,5.7,5.8,7209724,0.0,2025-01-27
2025-01-28 00:00:00+07:00,5.8,6.15,5.7,6.1,15559962,0.0,2025-01-28
2025-01-29 00:00:00+07:00,6.15,6.25,6.05,6.2,17871746,0.0,2025-01-29
2025-01-30 00:00:00+07:00,6.15,6.2,6.0,6.05,12717558,0.0,2025-01-30
2025-01-31 00:00:00+07:00,6.05,6.1,5.75,5.75,22756122,0.0,2025-01-31
2025-02-03 00:00:00+07:00,5.55,5.7,5.45,5.7,18262232,0.0,2025-02-03
2025-02-04 00:00:00+07:00,5.75,5.8,5.6,5.65,11640480,0.0,2025-02-04
2025-02-05 00:00:00+07:00,5.7,5.9,5.65,5.85,17644995,0.0,2025-02-05
2025-02-06 00:00:00+07:00,5.85,5.85,5.55,5.6,19761576,0.0,2025-02-06
2025-02-07 00:00:00+07:00,5.65,5.85,5.5,5.85,15145108,0.0,2025-02-07
2025-02-10 00:00:00+07:00,5.85,5.95,5.75,5.95,11755356,0.0,2025-02-10
2025-02-11 00:00:00+07:00,6.0,6.05,5.9,6.0,8982491,0.0,2025-02-11
2025-02-13 00:00:00+07:00,6.0,6.0,5.8,5.95,14813267,0.0,2025-02-13
2025-02-14 00:00:00+07:00,5.95,6.0,5.8,6.0,8900082,0.0,2025-02-14
2025-02-17 00:00:00+07:00,5.85,5.95,5.8,5.9,14175112,0.0,2025-02-17
2025-02-18 00:00:00+07:00,5.9,6.15,5.85,6.1,23347181,0.0,2025-02-18
2025-02-19 00:00:00+07:00,6.2,6.5,6.2,6.45,44659002,0.0,2025-02-19
2025-02-20 00:00:00+07:00,6.35,6.45,6.2,6.25,31985079,0.0,2025-02-20
2025-02-21 00:00:00+07:00,6.25,6.55,6.2,6.45,24251165,0.0,2025-02-21
2025-02-24 00:00:00+07:00,6.45,6.5,6.3,6.45,24620305,0.0,2025-02-24
2025-02-25 00:00:00+07:00,6.55,6.6,6.0,6.0,59599383,0.0,2025-02-25
2025-02-26 00:00:00+07:00,6.05,6.6,6.05,6.45,52831734,0.0,2025-02-26
2025-02-27 00:00:00+07:00,6.45,6.65,6.3,6.4,31139082,0.0,2025-02-27
2025-02-28 00:00:00+07:00,6.3,6.45,6.2,6.35,19832314,0.0,2025-02-28
2025-03-03 00:00:00+07:00,6.35,6.45,6.25,6.35,17894714,0.0,2025-03-03
2025-03-04 00:00:00+07:00,6.3,6.5,6.3,6.4,22386280,0.0,2025-03-04
2025-03-05 00:00:00+07:00,6.3,6.6,6.3,6.6,22533075,0.0,2025-03-05
2025-03-06 00:00:00+07:00,6.65,6.8,6.45,6.45,34610708,0.0,2025-03-06
2025-03-07 00:00:00+07:00,6.45,6.6,6.4,6.55,17316194,0.0,2025-03-07
2025-03-10 00:00:00+07:00,6.5,6.6,6.4,6.45,19821052,0.0,2025-03-10
2025-03-11 00:00:00+07:00,6.4,6.55,6.25,6.5,29703036,0.0,2025-03-11
2025-03-12 00:00:00+07:00,6.45,6.5,6.25,6.3,19595151,0.0,2025-03-12
2025-03-13 00:00:00+07:00,6.3,6.35,6.15,6.15,9574058,0.0,2025-03-13
2025-03-14 00:00:00+07:00,6.15,6.3,6.15,6.25,12465909,0.0,2025-03-14
2025-03-17 00:00:00+07:00,6.25,6.3,6.2,6.3,7304286,0.0,2025-03-17
2025-03-18 00:00:00+07:00,6.3,6.4,6.2,6.25,11864414,0.0,2025-03-18
2025-03-19 00:00:00+07:00,6.25,6.7,6.25,6.6,32776221,0.0,2025-03-19
2025-03-20 00:00:00+07:00,6.65,6.95,6.6,6.6,52257799,0.0,2025-03-20
2025-03-21 00:00:00+07:00,6.65,6.65,6.4,6.5,20757867,0.0,2025-03-21
2025-03-24 00:00:00+07:00,6.55,6.55,6.4,6.5,10985951,0.0,2025-03-24
2025-03-25 00:00:00+07:00,6.5,6.5,6.3,6.35,14288793,0.0,2025-03-25
2025-03-26 00:00:00+07:00,6.35,6.45,6.35,6.4,5441280,0.0,2025-03-26
2025-03-27 00:00:00+07:00,6.4,6.4,6.25,6.3,7067250,0.0,2025-03-27
2025-03-28 00:00:00+07:00,6.3,6.3,6.15,6.15,8875525,0.0,2025-03-28
2025-03-31 00:00:00+07:00,6.0,6.05,5.85,5.95,18798119,0.0,2025-03-31
2025-04-01 00:00:00+07:00,6.0,6.05,5.95,5.95,7553421,0.0,2025-04-01
2025-04-02 00:00:00+07:00,5.95,6.05,5.95,6.0,7114300,0.0,2025-04-02
2025-04-03 00:00:00+07:00,6.0,6.2,5.9,6.2,12407308,0.0,2025-04-03
2025-04-04 00:00:00+07:00,6.15,6.2,5.95,6.2,17042635,0.0,2025-04-04
2025-04-08 00:00:00+07:00,5.8,6.0,5.7,5.9,22485793,0.0,2025-04-08
2025-04-09 00:00:00+07:00,5.9,6.0,5.75,5.9,11158158,0.0,2025-04-09
2025-04-10 00:00:00+07:00,6.2,6.2,5.95,5.95,17815178,0.0,2025-04-10
2025-04-11 00:00:00+07:00,5.9,6.05,5.85,5.9,11564356,0.0,2025-04-11
2025-04-16 00:00:00+07:00,5.95,6.25,5.9,6.2,17884461,0.0,2025-04-16
2025-04-17 00:00:00+07:00,6.15,6.45,6.15,6.4,16590377,0.0,2025-04-17
2025-04-18 00:00:00+07:00,6.45,6.7,6.35,6.6,17721520,0.0,2025-04-18
2025-04-21 00:00:00+07:00,6.6,6.65,6.45,6.45,22020362,0.0,2025-04-21
2025-04-22 00:00:00+07:00,6.4,6.55,6.35,6.5,17443692,0.0,2025-04-22
2025-04-23 00:00:00+07:00,6.55,6.55,6.4,6.5,12115740,0.0,2025-04-23
2025-04-24 00:00:00+07:00,6.45,6.55,6.4,6.5,13158094,0.0,2025-04-24
2025-04-25 00:00:00+07:00,6.2,6.3,6.15,6.25,13582349,0.0,2025-04-25
2025-04-28 00:00:00+07:00,6.25,6.25,6.1,6.2,12305327,0.0,2025-04-28
2025-04-29 00:00:00+07:00,6.2,6.25,6.1,6.25,9349962,0.0,2025-04-29
2025-04-30 00:00:00+07:00,6.25,6.4,6.15,6.35,24161310,0.0,2025-04-30
2025-05-02 00:00:00+07:00,6.3,6.45,6.3,6.3,10951642,0.0,2025-05-02
2025-05-06 00:00:00+07:00,6.3,6.3,5.95,6.05,23173619,0.0,2025-05-06
2025-05-07 00:00:00+07:00,6.05,6.25,6.05,6.15,18551616,0.0,2025-05-07
2025-05-08 00:00:00+07:00,6.15,6.25,6.05,6.1,11956394,0.0,2025-05-08
2025-05-09 00:00:00+07:00,6.1,6.1,5.9,5.95,22022565,0.0,2025-05-09
2025-05-13 00:00:00+07:00,6.05,6.1,5.8,5.85,30018747,0.0,2025-05-13
2025-05-14 00:00:00+07:00,5.8,6.2,5.75,6.2,19087129,0.0,2025-05-14
2025-05-15 00:00:00+07:00,6.1,6.2,6.0,6.15,21281004,0.0,2025-05-15
2025-05-16 00:00:00+07:00,6.15,6.15,6.0,6.15,10295373,0.0,2025-05-16
2025-05-19 00:00:00+07:00,6.1,6.15,6.0,6.0,5883319,0.0,2025-05-19
2025-05-20 00:00:00+07:00,6.05,6.05,5.9,6.0,4201902,0.0,2025-05-20
2025-05-21 00:00:00+07:00,6.0,6.05,5.9,6.0,7967738,0.0,2025-05-21
2025-05-22 00:00:00+07:00,5.9,6.05,5.9,6.0,3154120,0.0,2025-05-22
