time,open,high,low,close,volume,value,date
2024-11-04 00:00:00+07:00,8.05,8.1,7.1,7.2,156780541,0.0,2024-11-04
2024-11-11 00:00:00+07:00,7.2,7.25,6.7,6.75,77889363,0.0,2024-11-11
2024-11-18 00:00:00+07:00,6.85,7.2,6.75,7.0,94286724,0.0,2024-11-18
2024-11-25 00:00:00+07:00,7.05,7.1,6.5,6.75,70563685,0.0,2024-11-25
2024-12-02 00:00:00+07:00,6.8,7.05,6.7,6.75,46147186,0.0,2024-12-02
2024-12-09 00:00:00+07:00,6.75,6.9,6.5,6.6,43472171,0.0,2024-12-09
2024-12-16 00:00:00+07:00,6.55,6.6,5.9,5.95,101105393,0.0,2024-12-16
2024-12-23 00:00:00+07:00,6.0,6.25,5.8,6.1,83585460,0.0,2024-12-23
2024-12-30 00:00:00+07:00,6.1,6.2,6.0,6.15,24070193,0.0,2024-12-30
2025-01-06 00:00:00+07:00,6.15,6.2,5.65,5.75,55597962,0.0,2025-01-06
2025-01-13 00:00:00+07:00,5.7,5.8,5.35,5.45,67944361,0.0,2025-01-13
2025-01-20 00:00:00+07:00,5.45,5.85,5.4,5.75,82696796,0.0,2025-01-20
2025-01-27 00:00:00+07:00,5.75,6.25,5.7,5.75,76115112,0.0,2025-01-27
2025-02-03 00:00:00+07:00,5.55,5.9,5.45,5.85,82454391,0.0,2025-02-03
2025-02-10 00:00:00+07:00,5.85,6.05,5.75,6.0,44451196,0.0,2025-02-10
2025-02-17 00:00:00+07:00,5.85,6.55,5.8,6.45,138417539,0.0,2025-02-17
2025-02-24 00:00:00+07:00,6.45,6.65,6.0,6.35,188022818,0.0,2025-02-24
2025-03-03 00:00:00+07:00,6.35,6.8,6.25,6.55,114740971,0.0,2025-03-03
2025-03-10 00:00:00+07:00,6.5,6.6,6.15,6.25,91159206,0.0,2025-03-10
2025-03-17 00:00:00+07:00,6.25,6.95,6.2,6.5,124960587,0.0,2025-03-17
2025-03-24 00:00:00+07:00,6.55,6.55,6.15,6.15,46658799,0.0,2025-03-24
2025-03-31 00:00:00+07:00,6.0,6.2,5.85,6.2,62915783,0.0,2025-03-31
2025-04-08 00:00:00+07:00,5.8,6.2,5.7,5.9,63023485,0.0,2025-04-08
2025-04-16 00:00:00+07:00,5.95,6.7,5.9,6.6,52196358,0.0,2025-04-16
2025-04-21 00:00:00+07:00,6.6,6.65,6.15,6.25,78320237,0.0,2025-04-21
2025-04-28 00:00:00+07:00,6.25,6.45,6.1,6.3,56768241,0.0,2025-04-28
2025-05-06 00:00:00+07:00,6.3,6.3,5.9,5.95,75704194,0.0,2025-05-06
2025-05-13 00:00:00+07:00,6.05,6.2,5.75,6.15,80682253,0.0,2025-05-13
2025-05-19 00:00:00+07:00,6.1,6.15,5.9,6.05,25732084,0.0,2025-05-19
2025-05-26 00:00:00+07:00,6.1,6.6,6.1,6.3,78430511,0.0,2025-05-26
2025-06-04 00:00:00+07:00,6.25,6.35,6.1,6.2,27450419,0.0,2025-06-04
2025-06-09 00:00:00+07:00,6.35,6.85,6.3,6.7,105186802,0.0,2025-06-09
2025-06-16 00:00:00+07:00,6.7,6.95,6.3,6.45,107376961,0.0,2025-06-16
2025-06-23 00:00:00+07:00,6.35,7.3,6.1,7.0,153744565,0.0,2025-06-23
2025-06-30 00:00:00+07:00,7.0,7.4,6.9,7.35,78697319,0.0,2025-06-30
2025-07-07 00:00:00+07:00,7.3,7.45,7.0,7.4,53367853,0.0,2025-07-07
2025-07-14 00:00:00+07:00,7.45,7.9,7.4,7.75,85684665,0.0,2025-07-14
2025-07-21 00:00:00+07:00,7.75,7.9,7.55,7.6,61482433,0.0,2025-07-21
2025-07-29 00:00:00+07:00,7.65,8.55,7.55,8.4,80969532,0.0,2025-07-29
2025-08-04 00:00:00+07:00,8.35,8.5,8.05,8.4,66495553,0.0,2025-08-04
2025-08-13 00:00:00+07:00,8.4,8.6,8.2,8.35,38145482,0.0,2025-08-13
2025-08-18 00:00:00+07:00,8.4,8.45,7.6,7.95,77045621,0.0,2025-08-18
2025-08-25 00:00:00+07:00,8.05,8.3,7.85,8.15,62526454,0.0,2025-08-25
2025-09-01 00:00:00+07:00,8.15,8.5,7.8,8.3,88528205,0.0,2025-09-01
2025-09-08 00:00:00+07:00,8.35,8.45,8.05,8.1,60810813,0.0,2025-09-08
2025-09-15 00:00:00+07:00,8.1,8.3,7.95,8.2,60058123,0.0,2025-09-15
2025-09-22 00:00:00+07:00,8.15,8.15,7.7,7.95,45832389,0.0,2025-09-22
2025-09-29 00:00:00+07:00,7.9,7.95,7.5,7.7,50050795,0.0,2025-09-29
2025-10-06 00:00:00+07:00,7.7,8.45,7.55,8.05,115076339,0.0,2025-10-06
2025-10-14 00:00:00+07:00,8.05,8.05,7.35,7.65,56266909,0.0,2025-10-14
2025-10-20 00:00:00+07:00,7.65,7.65,6.75,6.8,83929491,0.0,2025-10-20
2025-10-27 00:00:00+07:00,6.8,7.05,6.7,6.75,86689610,83951795.0,2025-10-27
