time,open,high,low,close,volume,value,date
2024-10-31 00:00:00+07:00,6.15,6.35,6.1,6.25,53898049,0.0,2024-10-31
2024-11-01 00:00:00+07:00,6.25,6.3,6.2,6.3,34687632,0.0,2024-11-01
2024-11-04 00:00:00+07:00,6.3,6.35,6.25,6.35,21149512,0.0,2024-11-04
2024-11-05 00:00:00+07:00,6.35,6.4,6.3,6.4,38393834,0.0,2024-11-05
2024-11-06 00:00:00+07:00,6.45,6.45,5.75,5.8,170479559,0.0,2024-11-06
2024-11-07 00:00:00+07:00,5.85,6.0,5.85,5.95,40595914,0.0,2024-11-07
2024-11-08 00:00:00+07:00,6.0,6.0,5.8,5.8,43246667,0.0,2024-11-08
2024-11-11 00:00:00+07:00,5.8,5.85,5.7,5.8,30305062,0.0,2024-11-11
2024-11-12 00:00:00+07:00,5.9,6.0,5.75,5.8,54357781,0.0,2024-11-12
2024-11-13 00:00:00+07:00,5.8,5.85,5.6,5.75,90273365,0.0,2024-11-13
2024-11-14 00:00:00+07:00,5.75,5.8,5.55,5.75,56754569,0.0,2024-11-14
2024-11-15 00:00:00+07:00,5.75,5.8,5.45,5.6,77602063,0.0,2024-11-15
2024-11-18 00:00:00+07:00,5.65,5.7,5.55,5.65,37153700,0.0,2024-11-18
2024-11-19 00:00:00+07:00,5.65,5.7,5.55,5.6,36655320,0.0,2024-11-19
2024-11-20 00:00:00+07:00,5.65,5.65,5.5,5.6,38438453,0.0,2024-11-20
2024-11-21 00:00:00+07:00,5.6,5.85,5.6,5.75,81860100,0.0,2024-11-21
2024-11-22 00:00:00+07:00,5.85,6.05,5.8,6.0,87842023,0.0,2024-11-22
2024-11-25 00:00:00+07:00,6.05,6.1,5.9,5.95,48670927,0.0,2024-11-25
2024-11-26 00:00:00+07:00,5.9,5.95,5.75,5.8,43838638,0.0,2024-11-26
2024-11-27 00:00:00+07:00,5.75,5.8,5.65,5.65,40364154,0.0,2024-11-27
2024-11-28 00:00:00+07:00,5.65,5.8,5.6,5.7,42342824,0.0,2024-11-28
2024-11-29 00:00:00+07:00,5.7,5.75,5.55,5.7,37357154,0.0,2024-11-29
2024-12-02 00:00:00+07:00,5.75,5.85,5.65,5.8,42069824,0.0,2024-12-02
2024-12-03 00:00:00+07:00,5.8,5.9,5.75,5.8,36353470,0.0,2024-12-03
2024-12-04 00:00:00+07:00,5.95,6.0,5.85,5.9,58361157,0.0,2024-12-04
2024-12-06 00:00:00+07:00,5.85,5.9,5.7,5.8,43426296,0.0,2024-12-06
2024-12-09 00:00:00+07:00,5.8,5.8,5.6,5.7,57411998,0.0,2024-12-09
2024-12-11 00:00:00+07:00,5.7,5.8,5.65,5.7,24706167,0.0,2024-12-11
2024-12-12 00:00:00+07:00,5.8,5.8,5.65,5.7,49224929,0.0,2024-12-12
2024-12-13 00:00:00+07:00,5.7,5.95,5.6,5.9,91550379,0.0,2024-12-13
2024-12-16 00:00:00+07:00,5.9,5.95,5.75,5.9,62936988,0.0,2024-12-16
2024-12-17 00:00:00+07:00,5.85,5.9,5.65,5.75,83418359,0.0,2024-12-17
2024-12-18 00:00:00+07:00,5.75,5.8,5.7,5.8,46720905,0.0,2024-12-18
2024-12-19 00:00:00+07:00,5.7,5.8,5.65,5.75,30965554,0.0,2024-12-19
2024-12-20 00:00:00+07:00,5.75,5.75,5.6,5.7,66390503,0.0,2024-12-20
2024-12-23 00:00:00+07:00,5.75,5.85,5.65,5.8,49954178,0.0,2024-12-23
2024-12-24 00:00:00+07:00,5.85,5.95,5.75,5.9,50313413,0.0,2024-12-24
2024-12-25 00:00:00+07:00,5.95,6.25,5.95,6.15,112805096,0.0,2024-12-25
2024-12-26 00:00:00+07:00,6.2,6.2,5.95,6.0,70435416,0.0,2024-12-26
2024-12-27 00:00:00+07:00,6.05,6.1,5.95,6.0,53449125,0.0,2024-12-27
2024-12-30 00:00:00+07:00,6.0,6.1,5.9,6.0,124446712,0.0,2024-12-30
2025-01-02 00:00:00+07:00,6.05,6.05,5.9,6.0,56630181,0.0,2025-01-02
2025-01-03 00:00:00+07:00,6.0,6.05,5.8,5.9,43745884,0.0,2025-01-03
2025-01-06 00:00:00+07:00,5.9,5.9,5.25,5.4,234432875,0.0,2025-01-06
2025-01-07 00:00:00+07:00,5.4,5.55,5.4,5.45,30075708,0.0,2025-01-07
2025-01-08 00:00:00+07:00,5.45,5.5,5.3,5.4,25765067,0.0,2025-01-08
2025-01-09 00:00:00+07:00,5.4,5.45,5.15,5.15,71267616,0.0,2025-01-09
2025-01-10 00:00:00+07:00,5.15,5.3,5.15,5.2,39811445,0.0,2025-01-10
2025-01-13 00:00:00+07:00,5.25,5.45,5.25,5.45,36122386,0.0,2025-01-13
2025-01-14 00:00:00+07:00,5.5,5.5,5.25,5.25,25460853,0.0,2025-01-14
2025-01-15 00:00:00+07:00,5.25,5.3,5.2,5.25,28105238,0.0,2025-01-15
2025-01-16 00:00:00+07:00,5.3,5.35,5.15,5.2,27552467,0.0,2025-01-16
2025-01-17 00:00:00+07:00,5.2,5.25,5.05,5.1,49320131,0.0,2025-01-17
2025-01-20 00:00:00+07:00,5.05,5.15,5.05,5.1,23164085,0.0,2025-01-20
2025-01-21 00:00:00+07:00,5.1,5.25,5.1,5.15,19897813,0.0,2025-01-21
2025-01-22 00:00:00+07:00,5.2,5.35,5.2,5.2,38967817,0.0,2025-01-22
2025-01-23 00:00:00+07:00,5.25,5.35,5.15,5.15,48802125,0.0,2025-01-23
2025-01-24 00:00:00+07:00,5.2,5.35,5.15,5.3,37035455,0.0,2025-01-24
2025-01-27 00:00:00+07:00,5.3,5.4,5.25,5.35,23217678,0.0,2025-01-27
2025-01-28 00:00:00+07:00,5.2,5.25,5.1,5.15,40817890,0.0,2025-01-28
2025-01-29 00:00:00+07:00,5.2,5.2,5.1,5.1,11860778,0.0,2025-01-29
2025-01-30 00:00:00+07:00,5.1,5.15,5.05,5.05,17610793,0.0,2025-01-30
2025-01-31 00:00:00+07:00,5.05,5.2,4.96,5.0,51037154,0.0,2025-01-31
2025-02-03 00:00:00+07:00,4.96,4.96,4.82,4.92,86278561,0.0,2025-02-03
2025-02-04 00:00:00+07:00,4.96,5.05,4.86,4.9,41435360,0.0,2025-02-04
2025-02-05 00:00:00+07:00,4.9,4.92,4.82,4.86,35656429,0.0,2025-02-05
2025-02-06 00:00:00+07:00,4.86,4.9,4.68,4.68,55861174,0.0,2025-02-06
2025-02-07 00:00:00+07:00,4.68,4.76,4.52,4.74,100250549,0.0,2025-02-07
2025-02-10 00:00:00+07:00,4.72,4.74,4.6,4.66,50567041,0.0,2025-02-10
2025-02-11 00:00:00+07:00,4.66,4.72,4.6,4.66,36361160,0.0,2025-02-11
2025-02-13 00:00:00+07:00,4.68,4.72,4.56,4.56,38771252,0.0,2025-02-13
2025-02-14 00:00:00+07:00,4.6,4.64,4.52,4.52,45712536,0.0,2025-02-14
2025-02-17 00:00:00+07:00,4.54,4.66,4.44,4.54,95070979,0.0,2025-02-17
2025-02-18 00:00:00+07:00,4.56,4.6,4.46,4.5,75067912,0.0,2025-02-18
2025-02-19 00:00:00+07:00,4.52,4.64,4.48,4.58,55713713,0.0,2025-02-19
2025-02-20 00:00:00+07:00,4.56,4.64,4.48,4.5,70572710,0.0,2025-02-20
2025-02-21 00:00:00+07:00,4.5,4.5,4.4,4.42,50619229,0.0,2025-02-21
2025-02-24 00:00:00+07:00,4.42,4.44,4.32,4.42,56986064,0.0,2025-02-24
2025-02-25 00:00:00+07:00,4.42,4.44,4.3,4.3,50416369,0.0,2025-02-25
2025-02-26 00:00:00+07:00,4.3,4.36,4.24,4.3,49084568,0.0,2025-02-26
2025-02-27 00:00:00+07:00,4.28,4.28,4.12,4.14,81295447,0.0,2025-02-27
2025-02-28 00:00:00+07:00,4.06,4.18,4.04,4.14,69352653,0.0,2025-02-28
2025-03-03 00:00:00+07:00,4.14,4.18,4.1,4.12,29728625,0.0,2025-03-03
2025-03-04 00:00:00+07:00,4.12,4.24,4.12,4.16,42927934,0.0,2025-03-04
2025-03-05 00:00:00+07:00,4.16,4.46,4.14,4.44,79978902,0.0,2025-03-05
2025-03-06 00:00:00+07:00,4.46,4.48,4.34,4.34,31882055,0.0,2025-03-06
2025-03-07 00:00:00+07:00,4.38,4.44,4.34,4.44,25585954,0.0,2025-03-07
2025-03-10 00:00:00+07:00,4.42,4.46,4.32,4.32,31076599,0.0,2025-03-10
2025-03-11 00:00:00+07:00,4.26,4.42,4.22,4.4,37144106,0.0,2025-03-11
2025-03-12 00:00:00+07:00,4.38,4.42,4.26,4.28,35167962,0.0,2025-03-12
2025-03-13 00:00:00+07:00,4.32,4.32,4.24,4.24,21885554,0.0,2025-03-13
2025-03-14 00:00:00+07:00,4.26,4.44,4.26,4.38,33329981,0.0,2025-03-14
2025-03-17 00:00:00+07:00,4.4,4.42,4.3,4.34,17721190,0.0,2025-03-17
2025-03-18 00:00:00+07:00,4.34,4.4,4.26,4.34,30993712,0.0,2025-03-18
2025-03-19 00:00:00+07:00,4.3,4.44,4.28,4.38,32653884,0.0,2025-03-19
2025-03-20 00:00:00+07:00,4.38,4.5,4.36,4.4,50785850,0.0,2025-03-20
2025-03-21 00:00:00+07:00,4.4,4.5,4.4,4.48,45926488,0.0,2025-03-21
2025-03-24 00:00:00+07:00,4.48,4.48,4.36,4.42,29832290,0.0,2025-03-24
2025-03-25 00:00:00+07:00,4.42,4.42,4.3,4.32,38068463,0.0,2025-03-25
2025-03-26 00:00:00+07:00,4.32,4.38,4.3,4.3,24393689,0.0,2025-03-26
2025-03-27 00:00:00+07:00,4.3,4.34,4.24,4.26,22192368,0.0,2025-03-27
2025-03-28 00:00:00+07:00,4.26,4.26,4.18,4.2,19671222,0.0,2025-03-28
2025-03-31 00:00:00+07:00,4.1,4.18,4.1,4.12,36421620,0.0,2025-03-31
2025-04-01 00:00:00+07:00,4.14,4.24,4.14,4.16,17110439,0.0,2025-04-01
2025-04-02 00:00:00+07:00,4.16,4.3,4.12,4.28,33529709,0.0,2025-04-02
2025-04-03 00:00:00+07:00,4.26,4.32,4.22,4.24,25617664,0.0,2025-04-03
2025-04-04 00:00:00+07:00,4.26,4.26,4.14,4.18,52616235,0.0,2025-04-04
2025-04-08 00:00:00+07:00,4.0,4.08,4.0,4.08,44879452,0.0,2025-04-08
2025-04-09 00:00:00+07:00,4.1,4.3,4.06,4.3,40752183,0.0,2025-04-09
2025-04-10 00:00:00+07:00,4.4,4.44,4.36,4.4,67094831,0.0,2025-04-10
2025-04-11 00:00:00+07:00,4.22,4.3,4.2,4.2,30953551,0.0,2025-04-11
2025-04-16 00:00:00+07:00,4.22,4.34,4.22,4.28,43070813,0.0,2025-04-16
2025-04-17 00:00:00+07:00,4.28,4.36,4.24,4.34,28961085,0.0,2025-04-17
2025-04-18 00:00:00+07:00,4.34,4.36,4.32,4.34,18701148,0.0,2025-04-18
2025-04-21 00:00:00+07:00,4.34,4.34,4.2,4.2,28234781,0.0,2025-04-21
