time,open,high,low,close,volume,value,date
2024-11-04 00:00:00+07:00,25.75,26.0,25.0,25.5,16955621,0.0,2024-11-04
2024-11-11 00:00:00+07:00,25.75,25.75,22.9,23.8,28255670,0.0,2024-11-11
2024-11-18 00:00:00+07:00,23.8,24.8,23.5,24.5,17436909,0.0,2024-11-18
2024-11-25 00:00:00+07:00,24.8,25.0,23.2,23.5,18734297,0.0,2024-11-25
2024-12-02 00:00:00+07:00,23.7,24.5,22.9,24.4,17048460,0.0,2024-12-02
2024-12-09 00:00:00+07:00,24.5,24.5,23.3,23.4,8773429,0.0,2024-12-09
2024-12-16 00:00:00+07:00,23.4,23.5,21.5,21.9,14086311,0.0,2024-12-16
2024-12-23 00:00:00+07:00,22.0,23.0,21.8,22.5,12259698,0.0,2024-12-23
2024-12-30 00:00:00+07:00,22.5,22.9,22.0,22.2,9946398,0.0,2024-12-30
2025-01-06 00:00:00+07:00,22.3,22.3,20.4,20.8,20091578,0.0,2025-01-06
2025-01-13 00:00:00+07:00,20.5,20.6,18.7,19.3,36109768,0.0,2025-01-13
2025-01-20 00:00:00+07:00,19.2,19.8,18.7,19.0,18670998,0.0,2025-01-20
2025-01-27 00:00:00+07:00,18.9,20.0,18.5,18.7,25217329,0.0,2025-01-27
2025-02-03 00:00:00+07:00,18.4,19.3,17.7,18.4,32926718,0.0,2025-02-03
2025-02-10 00:00:00+07:00,18.1,19.8,17.9,19.5,18373977,0.0,2025-02-10
2025-02-17 00:00:00+07:00,19.4,21.4,19.4,20.9,25588334,0.0,2025-02-17
2025-02-24 00:00:00+07:00,20.7,20.8,19.8,20.2,23583381,0.0,2025-02-24
2025-03-03 00:00:00+07:00,20.4,21.5,19.8,21.2,24556837,0.0,2025-03-03
2025-03-10 00:00:00+07:00,21.1,21.6,20.5,21.0,20204740,0.0,2025-03-10
2025-03-17 00:00:00+07:00,21.0,21.1,18.5,18.7,33751489,0.0,2025-03-17
2025-03-24 00:00:00+07:00,18.6,19.4,18.1,18.8,20546499,0.0,2025-03-24
2025-03-31 00:00:00+07:00,17.8,18.5,16.3,16.4,26964654,0.0,2025-03-31
2025-04-08 00:00:00+07:00,15.8,16.8,14.6,15.5,25779215,0.0,2025-04-08
2025-04-16 00:00:00+07:00,15.6,16.8,15.2,15.4,19284057,0.0,2025-04-16
2025-04-21 00:00:00+07:00,15.6,16.7,15.3,16.4,26421748,0.0,2025-04-21
2025-04-28 00:00:00+07:00,16.3,16.6,15.6,16.0,16988160,0.0,2025-04-28
2025-05-06 00:00:00+07:00,16.1,16.1,14.7,15.0,28466088,0.0,2025-05-06
2025-05-13 00:00:00+07:00,15.2,15.8,13.7,13.8,26536393,0.0,2025-05-13
2025-05-19 00:00:00+07:00,13.7,14.0,12.9,13.8,27579420,0.0,2025-05-19
2025-05-26 00:00:00+07:00,13.8,14.1,13.5,13.9,21807293,0.0,2025-05-26
2025-06-04 00:00:00+07:00,13.9,14.0,13.3,13.8,15552925,0.0,2025-06-04
2025-06-09 00:00:00+07:00,13.9,13.9,12.5,12.6,16240336,0.0,2025-06-09
2025-06-16 00:00:00+07:00,12.4,12.7,10.9,11.1,36817352,0.0,2025-06-16
2025-06-23 00:00:00+07:00,10.6,12.4,10.6,11.8,26444964,0.0,2025-06-23
2025-06-30 00:00:00+07:00,11.8,12.8,11.7,12.5,17292142,0.0,2025-06-30
2025-07-07 00:00:00+07:00,12.4,13.0,12.3,12.8,14471913,0.0,2025-07-07
2025-07-14 00:00:00+07:00,13.1,15.7,13.1,15.1,67043042,0.0,2025-07-14
2025-07-21 00:00:00+07:00,15.1,15.1,14.2,14.5,40359828,0.0,2025-07-21
2025-07-29 00:00:00+07:00,14.6,15.8,14.4,15.3,68009981,0.0,2025-07-29
2025-08-04 00:00:00+07:00,15.3,15.7,14.3,14.9,82214876,0.0,2025-08-04
2025-08-13 00:00:00+07:00,15.0,15.2,14.3,14.7,26632269,0.0,2025-08-13
2025-08-18 00:00:00+07:00,14.7,14.8,13.7,14.0,42090325,0.0,2025-08-18
2025-08-25 00:00:00+07:00,14.2,14.4,13.3,13.5,44690196,0.0,2025-08-25
2025-09-01 00:00:00+07:00,13.5,14.4,13.4,14.2,39831671,0.0,2025-09-01
2025-09-08 00:00:00+07:00,14.3,14.6,13.6,13.8,51015076,0.0,2025-09-08
2025-09-15 00:00:00+07:00,13.8,14.1,13.6,13.6,49058759,0.0,2025-09-15
2025-09-22 00:00:00+07:00,13.6,13.7,13.0,13.3,23841261,0.0,2025-09-22
2025-09-29 00:00:00+07:00,13.4,14.6,13.1,14.5,57836045,0.0,2025-09-29
2025-10-06 00:00:00+07:00,14.6,14.7,13.7,13.9,47019424,0.0,2025-10-06
2025-10-14 00:00:00+07:00,13.8,14.0,13.2,13.7,28241815,0.0,2025-10-14
2025-10-20 00:00:00+07:00,13.6,13.7,12.8,12.9,35282057,0.0,2025-10-20
2025-10-27 00:00:00+07:00,13.0,13.2,12.7,13.0,19408502,44151380.0,2025-10-27
