time,open,high,low,close,volume,value,date
2024-11-04 00:00:00+07:00,17.5,17.5,16.3,16.6,56507392,0.0,2024-11-04
2024-11-11 00:00:00+07:00,16.5,16.8,15.8,16.4,50779124,0.0,2024-11-11
2024-11-18 00:00:00+07:00,16.4,16.6,15.7,15.8,33673283,0.0,2024-11-18
2024-11-25 00:00:00+07:00,15.9,16.8,15.9,16.6,34748626,0.0,2024-11-25
2024-12-02 00:00:00+07:00,16.7,17.5,16.6,17.4,33669515,0.0,2024-12-02
2024-12-09 00:00:00+07:00,17.6,17.6,16.6,16.7,24805138,0.0,2024-12-09
2024-12-16 00:00:00+07:00,16.7,16.7,15.4,15.5,31561454,0.0,2024-12-16
2024-12-23 00:00:00+07:00,15.5,15.8,15.1,15.4,37003327,0.0,2024-12-23
2024-12-30 00:00:00+07:00,15.5,15.9,15.1,15.7,27122102,0.0,2024-12-30
2025-01-06 00:00:00+07:00,15.7,15.7,14.4,14.6,40109655,0.0,2025-01-06
2025-01-13 00:00:00+07:00,14.6,15.0,14.1,14.5,28603038,0.0,2025-01-13
2025-01-20 00:00:00+07:00,14.4,15.2,14.1,15.0,23648674,0.0,2025-01-20
2025-01-27 00:00:00+07:00,15.2,15.2,14.1,14.3,28424951,0.0,2025-01-27
2025-02-03 00:00:00+07:00,14.0,14.4,13.6,13.9,25154032,0.0,2025-02-03
2025-02-10 00:00:00+07:00,14.0,14.5,13.4,13.7,20221398,0.0,2025-02-10
2025-02-17 00:00:00+07:00,13.8,15.9,13.7,15.6,46327274,0.0,2025-02-17
2025-02-24 00:00:00+07:00,15.6,16.5,14.6,16.2,51234381,0.0,2025-02-24
2025-03-03 00:00:00+07:00,16.0,16.3,15.3,15.7,30630592,0.0,2025-03-03
2025-03-10 00:00:00+07:00,15.6,16.1,15.3,15.9,23474006,0.0,2025-03-10
2025-03-17 00:00:00+07:00,16.1,16.1,14.5,14.9,40603341,0.0,2025-03-17
2025-03-24 00:00:00+07:00,14.8,15.1,13.9,14.0,18752946,0.0,2025-03-24
2025-03-31 00:00:00+07:00,14.0,14.5,13.8,14.2,16710972,0.0,2025-03-31
2025-04-08 00:00:00+07:00,13.8,14.7,13.5,14.3,18692859,0.0,2025-04-08
2025-04-16 00:00:00+07:00,14.3,15.0,14.3,14.9,10746224,0.0,2025-04-16
2025-04-21 00:00:00+07:00,14.9,15.1,14.2,14.8,15471491,0.0,2025-04-21
2025-04-28 00:00:00+07:00,14.8,15.3,14.4,14.8,18872664,0.0,2025-04-28
2025-05-06 00:00:00+07:00,14.9,16.0,14.7,15.4,44174387,0.0,2025-05-06
2025-05-13 00:00:00+07:00,15.6,15.8,14.8,15.2,20007991,0.0,2025-05-13
2025-05-19 00:00:00+07:00,15.2,15.2,13.8,13.9,23035535,0.0,2025-05-19
2025-05-26 00:00:00+07:00,13.9,14.0,12.3,13.7,50107591,0.0,2025-05-26
2025-06-04 00:00:00+07:00,13.7,13.9,13.0,13.1,14523953,0.0,2025-06-04
2025-06-09 00:00:00+07:00,13.2,14.4,13.0,14.2,29050908,0.0,2025-06-09
2025-06-16 00:00:00+07:00,14.1,14.2,12.8,12.8,19774911,0.0,2025-06-16
2025-06-23 00:00:00+07:00,12.6,13.4,12.3,12.8,24496185,0.0,2025-06-23
2025-06-30 00:00:00+07:00,12.7,13.7,12.4,13.6,26048246,0.0,2025-06-30
2025-07-07 00:00:00+07:00,13.4,13.5,12.8,13.0,13296336,0.0,2025-07-07
2025-07-14 00:00:00+07:00,13.0,13.9,13.0,13.5,39780816,0.0,2025-07-14
2025-07-21 00:00:00+07:00,13.5,13.8,13.1,13.5,32428988,0.0,2025-07-21
2025-07-29 00:00:00+07:00,13.6,14.4,13.5,13.7,28915224,0.0,2025-07-29
2025-08-04 00:00:00+07:00,13.7,14.7,13.6,14.3,38651363,0.0,2025-08-04
2025-08-13 00:00:00+07:00,14.4,14.6,13.5,13.6,25863340,0.0,2025-08-13
2025-08-18 00:00:00+07:00,13.7,13.7,13.0,13.4,38535539,0.0,2025-08-18
2025-08-25 00:00:00+07:00,13.4,13.5,12.5,13.0,64219736,0.0,2025-08-25
2025-09-01 00:00:00+07:00,13.0,13.2,12.6,13.0,38265392,0.0,2025-09-01
2025-09-08 00:00:00+07:00,13.1,13.5,12.9,13.1,34600378,0.0,2025-09-08
2025-09-15 00:00:00+07:00,13.2,14.3,13.2,13.8,84489219,0.0,2025-09-15
2025-09-22 00:00:00+07:00,13.8,13.9,12.9,13.1,43717322,0.0,2025-09-22
2025-09-29 00:00:00+07:00,13.1,13.2,12.6,12.8,37974447,0.0,2025-09-29
2025-10-06 00:00:00+07:00,12.6,13.0,12.5,12.7,27109624,0.0,2025-10-06
2025-10-14 00:00:00+07:00,12.7,12.7,12.1,12.2,22922552,0.0,2025-10-14
2025-10-20 00:00:00+07:00,12.1,12.2,11.2,11.4,35569221,0.0,2025-10-20
2025-10-27 00:00:00+07:00,11.4,11.7,10.7,11.3,49833829,60829400.0,2025-10-27
