time,open,high,low,close,volume,value
2025-10-07 09:45:00+07:00,8.35,8.45,8.35,8.4,228700,0.0
2025-10-07 10:00:00+07:00,8.4,8.4,8.4,8.4,20900,0.0
2025-10-07 10:15:00+07:00,8.4,8.7,8.4,8.6,2515700,0.0
2025-10-07 10:30:00+07:00,8.6,8.6,8.55,8.6,400300,0.0
2025-10-07 10:45:00+07:00,8.55,8.6,8.55,8.6,60400,0.0
2025-10-07 11:00:00+07:00,8.55,8.65,8.55,8.65,787600,0.0
2025-10-07 11:15:00+07:00,8.6,8.65,8.55,8.6,254900,0.0
2025-10-07 11:30:00+07:00,8.6,8.6,8.55,8.55,20300,0.0
2025-10-07 11:45:00+07:00,8.55,8.6,8.55,8.6,347100,0.0
2025-10-07 12:00:00+07:00,8.55,8.6,8.55,8.6,400000,0.0
2025-10-07 12:15:00+07:00,8.6,8.6,8.55,8.55,2500,0.0
2025-10-07 13:45:00+07:00,8.55,8.6,8.55,8.6,214000,0.0
2025-10-07 14:00:00+07:00,8.55,8.6,8.55,8.6,271800,0.0
2025-10-07 14:15:00+07:00,8.6,8.6,8.6,8.6,12600,0.0
2025-10-07 14:30:00+07:00,8.6,8.65,8.6,8.65,549500,0.0
2025-10-07 14:45:00+07:00,8.6,8.6,8.6,8.6,407800,0.0
2025-10-07 15:00:00+07:00,8.65,8.65,8.6,8.6,75700,0.0
2025-10-07 15:15:00+07:00,8.6,8.6,8.6,8.6,446100,0.0
2025-10-07 15:30:00+07:00,8.6,8.65,8.6,8.6,119500,0.0
2025-10-07 15:45:00+07:00,8.6,8.6,8.55,8.6,669200,0.0
2025-10-07 16:00:00+07:00,8.6,8.65,8.55,8.6,477500,0.0
2025-10-07 16:15:00+07:00,8.6,8.6,8.55,8.6,68300,0.0
2025-10-07 16:30:00+07:00,8.6,8.6,8.6,8.6,237200,0.0
2025-10-08 09:45:00+07:00,8.6,8.6,8.6,8.6,70600,0.0
2025-10-08 10:00:00+07:00,8.6,8.65,8.5,8.55,894700,0.0
2025-10-08 10:15:00+07:00,8.5,8.6,8.5,8.6,605200,0.0
2025-10-08 10:30:00+07:00,8.6,8.65,8.6,8.6,478700,0.0
2025-10-08 10:45:00+07:00,8.6,8.65,8.55,8.6,516500,0.0
2025-10-08 11:00:00+07:00,8.6,8.6,8.6,8.6,257900,0.0
2025-10-08 11:15:00+07:00,8.6,8.65,8.6,8.6,249000,0.0
2025-10-08 11:30:00+07:00,8.6,8.65,8.6,8.6,126300,0.0
2025-10-08 11:45:00+07:00,8.6,8.65,8.6,8.65,33900,0.0
2025-10-08 12:00:00+07:00,8.65,8.65,8.6,8.6,98500,0.0
2025-10-08 12:15:00+07:00,8.6,8.6,8.6,8.6,56200,0.0
2025-10-08 13:45:00+07:00,8.6,8.6,8.6,8.6,39300,0.0
2025-10-08 14:00:00+07:00,8.6,8.6,8.55,8.55,6300,0.0
2025-10-08 14:15:00+07:00,8.55,8.6,8.55,8.55,23400,0.0
2025-10-08 14:30:00+07:00,8.55,8.6,8.55,8.55,42300,0.0
2025-10-08 14:45:00+07:00,8.55,8.6,8.55,8.6,39300,0.0
2025-10-08 15:00:00+07:00,8.6,8.9,8.6,8.85,5393900,0.0
2025-10-08 15:15:00+07:00,8.85,8.9,8.85,8.85,2477900,0.0
2025-10-08 15:30:00+07:00,8.9,8.9,8.85,8.9,2240400,0.0
2025-10-08 15:45:00+07:00,8.9,8.95,8.85,8.9,1393600,0.0
2025-10-08 16:00:00+07:00,8.9,8.9,8.85,8.9,675100,0.0
2025-10-08 16:15:00+07:00,8.9,9.0,8.85,8.95,2698500,0.0
2025-10-08 16:30:00+07:00,9.0,9.0,9.0,9.0,1924500,0.0
2025-10-09 09:45:00+07:00,9.0,9.0,8.95,9.0,1006500,0.0
2025-10-09 10:00:00+07:00,9.0,9.05,8.9,9.0,2206200,0.0
2025-10-09 10:15:00+07:00,9.0,9.05,8.9,8.95,1049500,0.0
2025-10-09 10:30:00+07:00,8.95,9.0,8.95,9.0,714000,0.0
2025-10-09 10:45:00+07:00,9.0,9.4,9.0,9.35,6263700,0.0
2025-10-09 11:00:00+07:00,9.35,9.35,9.25,9.3,3020600,0.0
2025-10-09 11:15:00+07:00,9.25,9.3,9.25,9.25,480800,0.0
2025-10-09 11:30:00+07:00,9.25,9.35,9.25,9.3,1396800,0.0
2025-10-09 11:45:00+07:00,9.35,9.35,9.25,9.3,848100,0.0
2025-10-09 12:00:00+07:00,9.3,9.35,9.3,9.3,738200,0.0
2025-10-09 12:15:00+07:00,9.35,9.35,9.3,9.35,46900,0.0
2025-10-09 13:45:00+07:00,9.3,9.35,9.3,9.3,207900,0.0
2025-10-09 14:00:00+07:00,9.35,9.5,9.35,9.45,6362700,0.0
2025-10-09 14:15:00+07:00,9.45,9.5,9.4,9.45,1365600,0.0
2025-10-09 14:30:00+07:00,9.45,9.5,9.4,9.4,719800,0.0
2025-10-09 14:45:00+07:00,9.4,9.45,9.35,9.35,1969600,0.0
2025-10-09 15:00:00+07:00,9.35,9.4,9.3,9.4,1148200,0.0
2025-10-09 15:15:00+07:00,9.35,9.6,9.35,9.5,7224800,0.0
2025-10-09 15:30:00+07:00,9.5,9.6,9.5,9.55,932700,0.0
