time,open,high,low,close,volume,value,date
2024-11-01 00:00:00+07:00,34.0,35.0,28.5,30.75,230258261,0.0,2024-11-01
2024-12-01 00:00:00+07:00,31.0,36.75,26.5,36.0,328030043,0.0,2024-12-01
2025-01-01 00:00:00+07:00,36.0,37.0,32.5,34.5,198783317,0.0,2025-01-01
2025-02-01 00:00:00+07:00,33.5,38.75,32.75,38.5,264937832,0.0,2025-02-01
2025-03-01 00:00:00+07:00,38.0,38.5,34.75,38.0,334025977,0.0,2025-03-01
2025-04-01 00:00:00+07:00,38.0,41.0,33.5,35.75,201380029,0.0,2025-04-01
2025-05-01 00:00:00+07:00,35.75,39.0,35.25,36.25,71391486,0.0,2025-05-01
2025-06-01 00:00:00+07:00,36.5,37.5,29.0,30.5,127524779,0.0,2025-06-01
2025-07-01 00:00:00+07:00,30.25,35.0,29.25,34.0,95648024,0.0,2025-07-01
2025-08-01 00:00:00+07:00,34.25,35.0,31.0,32.25,59310846,0.0,2025-08-01
2025-09-01 00:00:00+07:00,32.25,34.25,30.0,30.75,110909402,0.0,2025-09-01
2025-10-01 00:00:00+07:00,30.75,31.25,28.25,29.5,68117544,88077175.0,2025-10-01
