time,open,high,low,close,volume,value,date
2024-11-01 00:00:00+07:00,22.1,22.3,19.9,21.0,251908630,0.0,2024-11-01
2024-12-01 00:00:00+07:00,21.0,21.9,18.2,19.5,186079282,0.0,2024-12-01
2025-01-01 00:00:00+07:00,19.5,19.5,14.3,15.2,317069516,0.0,2025-01-01
2025-02-01 00:00:00+07:00,14.4,15.0,11.0,11.2,363874658,0.0,2025-02-01
2025-03-01 00:00:00+07:00,11.3,12.8,9.0,10.2,360115361,0.0,2025-03-01
2025-04-01 00:00:00+07:00,10.3,11.5,8.9,11.3,263114679,0.0,2025-04-01
2025-05-01 00:00:00+07:00,11.3,12.5,9.45,9.75,279868914,0.0,2025-05-01
2025-06-01 00:00:00+07:00,9.7,11.3,9.0,10.4,367140421,0.0,2025-06-01
2025-07-01 00:00:00+07:00,10.5,12.2,10.2,11.7,283172549,0.0,2025-07-01
2025-08-01 00:00:00+07:00,11.9,13.2,10.9,12.7,485483856,0.0,2025-08-01
2025-09-01 00:00:00+07:00,12.7,14.6,12.3,13.7,568295540,0.0,2025-09-01
2025-10-01 00:00:00+07:00,13.7,16.6,13.4,16.2,415546874,78425650.0,2025-10-01
