time,open,high,low,close,volume,value,date
2024-11-04 00:00:00+07:00,22.3,22.3,20.7,21.3,69189667,0.0,2024-11-04
2024-11-11 00:00:00+07:00,21.2,21.2,19.9,20.2,63657735,0.0,2024-11-11
2024-11-18 00:00:00+07:00,20.3,21.4,20.3,21.1,58302003,0.0,2024-11-18
2024-11-25 00:00:00+07:00,21.2,21.6,20.0,21.0,55425317,0.0,2024-11-25
2024-12-02 00:00:00+07:00,21.0,21.9,20.8,21.7,29759495,0.0,2024-12-02
2024-12-09 00:00:00+07:00,21.6,21.7,20.3,20.6,33976607,0.0,2024-12-09
2024-12-16 00:00:00+07:00,20.6,20.6,18.2,18.3,73975641,0.0,2024-12-16
2024-12-23 00:00:00+07:00,18.6,19.6,18.4,19.3,44173987,0.0,2024-12-23
2024-12-30 00:00:00+07:00,19.3,19.5,18.9,19.0,17888264,0.0,2024-12-30
2025-01-06 00:00:00+07:00,18.5,18.6,16.8,17.2,71254595,0.0,2025-01-06
2025-01-13 00:00:00+07:00,17.0,17.7,14.3,14.5,117009324,0.0,2025-01-13
2025-01-20 00:00:00+07:00,14.7,16.0,14.4,15.7,71850860,0.0,2025-01-20
2025-01-27 00:00:00+07:00,15.6,15.9,14.8,15.2,43260025,0.0,2025-01-27
2025-02-03 00:00:00+07:00,14.4,15.0,12.3,13.0,97820700,0.0,2025-02-03
2025-02-10 00:00:00+07:00,12.8,13.3,12.4,13.0,79747088,0.0,2025-02-10
2025-02-17 00:00:00+07:00,13.1,13.7,12.5,12.6,96200208,0.0,2025-02-17
2025-02-24 00:00:00+07:00,12.7,12.8,11.0,11.2,90106662,0.0,2025-02-24
2025-03-03 00:00:00+07:00,11.3,12.8,11.0,12.4,112905057,0.0,2025-03-03
2025-03-10 00:00:00+07:00,12.2,12.3,11.3,12.0,85055739,0.0,2025-03-10
2025-03-17 00:00:00+07:00,11.8,11.9,10.9,11.2,74322859,0.0,2025-03-17
2025-03-24 00:00:00+07:00,11.1,11.3,10.4,10.4,69397298,0.0,2025-03-24
2025-03-31 00:00:00+07:00,9.0,10.5,9.0,9.7,71293264,0.0,2025-03-31
2025-04-08 00:00:00+07:00,9.1,10.5,8.9,9.7,69078316,0.0,2025-04-08
2025-04-16 00:00:00+07:00,9.8,11.0,9.75,10.9,42970381,0.0,2025-04-16
2025-04-21 00:00:00+07:00,11.0,11.5,10.6,11.2,69129432,0.0,2025-04-21
2025-04-28 00:00:00+07:00,11.3,11.6,11.0,11.3,38005622,0.0,2025-04-28
2025-05-06 00:00:00+07:00,11.3,12.2,11.1,12.1,76650130,0.0,2025-05-06
2025-05-13 00:00:00+07:00,12.5,12.5,11.4,11.5,54869123,0.0,2025-05-13
2025-05-19 00:00:00+07:00,11.4,11.5,10.0,10.2,66001432,0.0,2025-05-19
2025-05-26 00:00:00+07:00,10.1,10.3,9.45,9.75,73420301,0.0,2025-05-26
2025-06-04 00:00:00+07:00,9.7,10.6,9.45,10.4,62707789,0.0,2025-06-04
2025-06-09 00:00:00+07:00,10.6,10.9,9.9,10.1,47405970,0.0,2025-06-09
2025-06-16 00:00:00+07:00,10.0,10.6,9.15,9.2,120428294,0.0,2025-06-16
2025-06-23 00:00:00+07:00,9.0,11.3,9.0,10.6,109015531,0.0,2025-06-23
2025-06-30 00:00:00+07:00,10.5,11.3,10.2,11.1,75669924,0.0,2025-06-30
2025-07-07 00:00:00+07:00,10.9,11.0,10.2,10.6,38748740,0.0,2025-07-07
2025-07-14 00:00:00+07:00,10.6,12.0,10.5,11.6,63341433,0.0,2025-07-14
2025-07-21 00:00:00+07:00,11.6,11.9,10.6,11.1,82699544,0.0,2025-07-21
2025-07-29 00:00:00+07:00,11.2,12.2,11.0,11.1,70007402,0.0,2025-07-29
2025-08-04 00:00:00+07:00,11.1,13.0,10.9,11.9,137888350,0.0,2025-08-04
2025-08-13 00:00:00+07:00,11.6,11.9,11.2,11.3,75309556,0.0,2025-08-13
2025-08-18 00:00:00+07:00,11.3,12.2,10.9,12.1,80345030,0.0,2025-08-18
2025-08-25 00:00:00+07:00,12.3,13.2,11.7,12.7,172229263,0.0,2025-08-25
2025-09-01 00:00:00+07:00,12.7,13.4,12.3,13.0,125213175,0.0,2025-09-01
2025-09-08 00:00:00+07:00,13.4,14.6,12.8,13.9,179165340,0.0,2025-09-08
2025-09-15 00:00:00+07:00,14.0,14.1,13.2,13.5,132767759,0.0,2025-09-15
2025-09-22 00:00:00+07:00,13.7,13.9,13.1,13.7,103594074,0.0,2025-09-22
2025-09-29 00:00:00+07:00,13.7,14.3,13.4,14.0,74710689,0.0,2025-09-29
2025-10-06 00:00:00+07:00,14.1,15.5,13.8,15.3,124993910,0.0,2025-10-06
2025-10-14 00:00:00+07:00,15.2,16.0,14.5,15.1,115627007,0.0,2025-10-14
2025-10-20 00:00:00+07:00,15.2,16.6,15.1,16.2,64155071,0.0,2025-10-20
2025-10-27 00:00:00+07:00,16.2,16.5,15.7,16.2,63615389,78425650.0,2025-10-27
