time,open,high,low,close,volume,value,date
2024-10-31 00:00:00+07:00,23.7,24.1,23.6,24.1,4372572,0.0,2024-10-31
2024-11-01 00:00:00+07:00,24.0,24.0,23.6,23.7,3735444,0.0,2024-11-01
2024-11-04 00:00:00+07:00,23.9,24.3,23.9,23.9,4077097,0.0,2024-11-04
2024-11-05 00:00:00+07:00,24.0,24.2,23.9,23.9,3973218,0.0,2024-11-05
2024-11-06 00:00:00+07:00,23.9,23.9,23.5,23.5,5179246,0.0,2024-11-06
2024-11-07 00:00:00+07:00,23.4,23.5,23.1,23.4,3847955,0.0,2024-11-07
2024-11-08 00:00:00+07:00,23.6,24.0,23.4,23.7,5554168,0.0,2024-11-08
2024-11-11 00:00:00+07:00,23.8,23.9,22.7,22.7,6072578,0.0,2024-11-11
2024-11-12 00:00:00+07:00,22.7,22.8,22.3,22.6,3861264,0.0,2024-11-12
2024-11-13 00:00:00+07:00,22.6,22.7,22.3,22.7,2352265,0.0,2024-11-13
2024-11-14 00:00:00+07:00,22.6,23.0,22.4,22.7,5987581,0.0,2024-11-14
2024-11-15 00:00:00+07:00,22.9,22.9,22.3,22.4,4149797,0.0,2024-11-15
2024-11-18 00:00:00+07:00,22.7,22.8,22.4,22.7,5091234,0.0,2024-11-18
2024-11-19 00:00:00+07:00,22.8,23.3,22.8,23.0,4230965,0.0,2024-11-19
2024-11-20 00:00:00+07:00,23.1,23.2,22.8,22.9,2234515,0.0,2024-11-20
2024-11-21 00:00:00+07:00,23.2,23.4,23.0,23.3,3789994,0.0,2024-11-21
2024-11-22 00:00:00+07:00,23.2,23.5,23.2,23.2,3003939,0.0,2024-11-22
2024-11-25 00:00:00+07:00,23.4,23.5,23.3,23.4,3147662,0.0,2024-11-25
2024-11-26 00:00:00+07:00,23.4,23.6,23.1,23.1,2683451,0.0,2024-11-26
2024-11-27 00:00:00+07:00,23.1,23.4,23.1,23.3,1566047,0.0,2024-11-27
2024-11-28 00:00:00+07:00,23.4,23.4,23.1,23.1,2448614,0.0,2024-11-28
2024-11-29 00:00:00+07:00,23.1,23.7,23.1,23.6,3718112,0.0,2024-11-29
2024-12-02 00:00:00+07:00,23.7,24.1,23.6,24.1,4282060,0.0,2024-12-02
2024-12-03 00:00:00+07:00,24.1,24.2,23.9,24.1,2853807,0.0,2024-12-03
2024-12-04 00:00:00+07:00,24.0,24.2,23.9,24.1,1494017,0.0,2024-12-04
2024-12-06 00:00:00+07:00,23.9,24.4,23.9,24.2,2493448,0.0,2024-12-06
2024-12-09 00:00:00+07:00,24.2,24.5,24.0,24.4,3093935,0.0,2024-12-09
2024-12-11 00:00:00+07:00,24.5,24.6,24.3,24.5,2952516,0.0,2024-12-11
2024-12-12 00:00:00+07:00,24.4,24.6,24.3,24.5,3713555,0.0,2024-12-12
2024-12-13 00:00:00+07:00,24.4,24.6,24.0,24.0,3155853,0.0,2024-12-13
