time,open,high,low,close,volume,value,date
2024-11-01 00:00:00+07:00,25.0,25.75,19.8,20.6,47208129,0.0,2024-11-01
2024-12-01 00:00:00+07:00,20.5,22.4,19.6,21.1,31853722,0.0,2024-12-01
2025-01-01 00:00:00+07:00,21.2,21.6,17.9,18.0,24547231,0.0,2025-01-01
2025-02-01 00:00:00+07:00,17.4,22.5,17.1,20.1,29438387,0.0,2025-02-01
2025-03-01 00:00:00+07:00,20.1,20.5,17.9,18.1,22992811,0.0,2025-03-01
2025-04-01 00:00:00+07:00,18.1,18.4,14.9,16.8,40952562,0.0,2025-04-01
2025-05-01 00:00:00+07:00,16.8,17.9,15.9,16.4,44374814,0.0,2025-05-01
2025-06-01 00:00:00+07:00,16.4,16.4,14.0,15.4,45031739,0.0,2025-06-01
2025-07-01 00:00:00+07:00,15.4,18.1,15.2,17.7,39994774,0.0,2025-07-01
2025-08-01 00:00:00+07:00,17.8,19.3,17.1,17.5,68137842,0.0,2025-08-01
2025-09-01 00:00:00+07:00,17.7,19.6,17.5,18.8,61948670,0.0,2025-09-01
2025-10-01 00:00:00+07:00,18.8,18.9,17.3,18.0,33798490,22743110.0,2025-10-01
