time,open,high,low,close,volume,value,date
2024-10-31 00:00:00+07:00,24.4,25.5,24.3,25.25,5015885,0.0,2024-10-31
2024-11-01 00:00:00+07:00,25.0,25.5,24.9,25.5,2181178,0.0,2024-11-01
2024-11-04 00:00:00+07:00,25.5,25.75,24.5,24.5,3952760,0.0,2024-11-04
2024-11-05 00:00:00+07:00,24.3,25.25,24.3,25.0,2073167,0.0,2024-11-05
2024-11-06 00:00:00+07:00,24.8,24.9,24.2,24.4,1900599,0.0,2024-11-06
2024-11-07 00:00:00+07:00,24.5,24.8,23.9,23.9,2809955,0.0,2024-11-07
2024-11-08 00:00:00+07:00,23.9,24.4,23.9,24.2,2133269,0.0,2024-11-08
2024-11-11 00:00:00+07:00,24.0,24.4,23.6,24.3,2748174,0.0,2024-11-11
2024-11-12 00:00:00+07:00,24.4,24.5,23.8,23.8,1441918,0.0,2024-11-12
2024-11-13 00:00:00+07:00,23.6,24.1,23.6,23.8,1360126,0.0,2024-11-13
2024-11-14 00:00:00+07:00,23.5,23.6,20.9,20.9,9110986,0.0,2024-11-14
2024-11-15 00:00:00+07:00,20.9,21.3,20.1,20.3,4525889,0.0,2024-11-15
2024-11-18 00:00:00+07:00,20.3,20.7,20.1,20.6,2138603,0.0,2024-11-18
2024-11-19 00:00:00+07:00,20.7,21.1,20.4,20.5,2302923,0.0,2024-11-19
2024-11-20 00:00:00+07:00,20.5,20.8,20.3,20.5,833632,0.0,2024-11-20
2024-11-21 00:00:00+07:00,20.7,20.9,20.4,20.4,1100082,0.0,2024-11-21
2024-11-22 00:00:00+07:00,20.5,20.8,20.5,20.5,857000,0.0,2024-11-22
2024-11-25 00:00:00+07:00,20.7,20.9,20.4,20.5,1060558,0.0,2024-11-25
2024-11-26 00:00:00+07:00,20.5,20.8,19.8,20.0,1869128,0.0,2024-11-26
2024-11-27 00:00:00+07:00,20.1,20.4,20.0,20.2,713115,0.0,2024-11-27
2024-11-28 00:00:00+07:00,20.2,20.4,20.0,20.2,1250642,0.0,2024-11-28
2024-11-29 00:00:00+07:00,19.9,20.6,19.9,20.6,844425,0.0,2024-11-29
2024-12-02 00:00:00+07:00,20.5,21.0,20.4,20.8,1965006,0.0,2024-12-02
2024-12-03 00:00:00+07:00,20.8,21.9,20.8,21.6,3250807,0.0,2024-12-03
2024-12-04 00:00:00+07:00,21.5,22.4,21.4,21.4,4230683,0.0,2024-12-04
2024-12-06 00:00:00+07:00,21.4,21.7,21.2,21.3,2113478,0.0,2024-12-06
2024-12-09 00:00:00+07:00,21.2,21.4,21.0,21.2,1229110,0.0,2024-12-09
2024-12-11 00:00:00+07:00,21.4,21.8,20.9,20.9,3165728,0.0,2024-12-11
2024-12-12 00:00:00+07:00,21.1,21.3,20.5,20.6,1558449,0.0,2024-12-12
2024-12-13 00:00:00+07:00,20.5,20.8,20.3,20.4,1184227,0.0,2024-12-13
