time,open,high,low,close,volume,value,date
2024-11-04 00:00:00+07:00,25.5,25.75,23.9,24.2,12869750,0.0,2024-11-04
2024-11-11 00:00:00+07:00,24.0,24.5,20.1,20.3,19187093,0.0,2024-11-11
2024-11-18 00:00:00+07:00,20.3,21.1,20.1,20.5,7232240,0.0,2024-11-18
2024-11-25 00:00:00+07:00,20.7,20.9,19.8,20.6,5737868,0.0,2024-11-25
2024-12-02 00:00:00+07:00,20.5,22.4,20.4,21.3,11559974,0.0,2024-12-02
2024-12-09 00:00:00+07:00,21.2,21.8,20.3,20.4,7137514,0.0,2024-12-09
2024-12-16 00:00:00+07:00,20.6,21.2,19.6,19.9,7737020,0.0,2024-12-16
2024-12-23 00:00:00+07:00,20.1,21.1,19.6,20.8,4445190,0.0,2024-12-23
2024-12-30 00:00:00+07:00,20.7,21.2,20.5,20.5,2404777,0.0,2024-12-30
2025-01-06 00:00:00+07:00,20.6,21.6,19.7,20.0,9557001,0.0,2025-01-06
2025-01-13 00:00:00+07:00,20.1,20.1,18.8,19.3,5520500,0.0,2025-01-13
2025-01-20 00:00:00+07:00,19.4,19.8,18.5,18.8,4280881,0.0,2025-01-20
2025-01-27 00:00:00+07:00,18.9,19.1,17.9,18.0,3758096,0.0,2025-01-27
2025-02-03 00:00:00+07:00,17.4,18.4,17.1,17.7,3663088,0.0,2025-02-03
2025-02-10 00:00:00+07:00,17.8,19.8,17.5,19.1,6562345,0.0,2025-02-10
2025-02-17 00:00:00+07:00,19.1,22.5,19.0,21.4,11789075,0.0,2025-02-17
2025-02-24 00:00:00+07:00,21.2,21.7,20.0,20.1,7423879,0.0,2025-02-24
2025-03-03 00:00:00+07:00,20.1,20.5,19.4,20.0,8393263,0.0,2025-03-03
2025-03-10 00:00:00+07:00,20.0,20.1,19.0,19.0,3846779,0.0,2025-03-10
2025-03-17 00:00:00+07:00,18.8,20.2,18.6,19.4,5365217,0.0,2025-03-17
2025-03-24 00:00:00+07:00,19.5,19.8,18.8,18.9,3796443,0.0,2025-03-24
2025-03-31 00:00:00+07:00,18.0,18.5,16.6,16.8,6721668,0.0,2025-03-31
2025-04-08 00:00:00+07:00,16.3,16.4,14.9,15.7,8500274,0.0,2025-04-08
2025-04-16 00:00:00+07:00,15.8,16.8,15.8,16.6,6692631,0.0,2025-04-16
2025-04-21 00:00:00+07:00,16.6,17.1,15.5,16.3,12765556,0.0,2025-04-21
2025-04-28 00:00:00+07:00,16.3,17.3,16.2,17.1,9387830,0.0,2025-04-28
2025-05-06 00:00:00+07:00,17.3,17.6,16.7,17.4,8523868,0.0,2025-05-06
2025-05-13 00:00:00+07:00,17.3,17.6,16.6,16.8,9471622,0.0,2025-05-13
2025-05-19 00:00:00+07:00,16.8,17.9,16.0,16.1,15705878,0.0,2025-05-19
2025-05-26 00:00:00+07:00,16.1,16.6,15.9,16.4,9149158,0.0,2025-05-26
2025-06-04 00:00:00+07:00,16.4,16.4,15.3,15.5,7077214,0.0,2025-06-04
2025-06-09 00:00:00+07:00,15.6,15.9,15.2,15.2,6133658,0.0,2025-06-09
2025-06-16 00:00:00+07:00,15.4,15.6,14.0,14.2,16207786,0.0,2025-06-16
2025-06-23 00:00:00+07:00,14.0,15.9,14.0,15.1,13682926,0.0,2025-06-23
2025-06-30 00:00:00+07:00,15.2,15.9,15.1,15.6,6760759,0.0,2025-06-30
2025-07-07 00:00:00+07:00,15.6,16.3,15.3,15.9,7044994,0.0,2025-07-07
2025-07-14 00:00:00+07:00,15.8,17.0,15.8,16.6,9100801,0.0,2025-07-14
2025-07-21 00:00:00+07:00,16.6,17.4,16.6,17.2,12165583,0.0,2025-07-21
2025-07-29 00:00:00+07:00,17.2,18.1,17.0,17.5,9475246,0.0,2025-07-29
2025-08-04 00:00:00+07:00,17.4,18.7,17.1,18.5,16400398,0.0,2025-08-04
2025-08-13 00:00:00+07:00,18.7,19.3,17.7,18.7,19950823,0.0,2025-08-13
2025-08-18 00:00:00+07:00,18.6,19.1,18.3,18.5,16260533,0.0,2025-08-18
2025-08-25 00:00:00+07:00,18.6,18.7,17.4,17.5,12903634,0.0,2025-08-25
2025-09-01 00:00:00+07:00,17.7,18.2,17.5,18.0,9419747,0.0,2025-09-01
2025-09-08 00:00:00+07:00,17.9,18.9,17.5,18.8,22694945,0.0,2025-09-08
2025-09-15 00:00:00+07:00,18.9,19.6,18.8,19.3,14491528,0.0,2025-09-15
2025-09-22 00:00:00+07:00,19.4,19.4,18.3,19.1,10493627,0.0,2025-09-22
2025-09-29 00:00:00+07:00,19.1,19.3,18.3,18.4,8447338,0.0,2025-09-29
2025-10-06 00:00:00+07:00,18.4,18.9,18.4,18.6,6436636,0.0,2025-10-06
2025-10-14 00:00:00+07:00,18.6,18.6,17.4,17.5,7237418,0.0,2025-10-14
2025-10-20 00:00:00+07:00,17.5,18.8,17.5,18.6,7847871,0.0,2025-10-20
2025-10-27 00:00:00+07:00,18.6,18.8,17.3,18.0,8678050,22743110.0,2025-10-27
