time,open,high,low,close,volume,value
2025-10-07 09:45:00+07:00,4.42,4.44,4.42,4.44,28600,0.0
2025-10-07 10:00:00+07:00,4.44,4.46,4.42,4.42,12300,0.0
2025-10-07 10:15:00+07:00,4.42,4.44,4.4,4.4,22300,0.0
2025-10-07 10:30:00+07:00,4.42,4.42,4.42,4.42,4100,0.0
2025-10-07 10:45:00+07:00,4.42,4.44,4.42,4.42,5600,0.0
2025-10-07 11:00:00+07:00,4.44,4.44,4.42,4.44,60800,0.0
2025-10-07 11:15:00+07:00,4.44,4.46,4.44,4.46,65400,0.0
2025-10-07 11:30:00+07:00,4.44,4.46,4.44,4.44,9200,0.0
2025-10-07 11:45:00+07:00,4.44,4.48,4.44,4.48,33100,0.0
2025-10-07 12:00:00+07:00,4.46,4.46,4.46,4.46,8000,0.0
2025-10-07 12:15:00+07:00,4.46,4.46,4.46,4.46,1200,0.0
2025-10-07 13:45:00+07:00,4.46,4.46,4.46,4.46,700,0.0
2025-10-07 14:00:00+07:00,4.46,4.46,4.46,4.46,1300,0.0
2025-10-07 14:15:00+07:00,4.48,4.48,4.46,4.46,3200,0.0
2025-10-07 14:30:00+07:00,4.46,4.46,4.46,4.46,28200,0.0
2025-10-07 14:45:00+07:00,4.46,4.46,4.44,4.44,6400,0.0
2025-10-07 15:00:00+07:00,4.44,4.44,4.44,4.44,300,0.0
2025-10-07 15:15:00+07:00,4.44,4.44,4.44,4.44,100,0.0
2025-10-07 16:00:00+07:00,4.44,4.44,4.44,4.44,100,0.0
2025-10-07 16:15:00+07:00,4.44,4.44,4.44,4.44,400,0.0
2025-10-07 16:30:00+07:00,4.44,4.44,4.44,4.44,41000,0.0
2025-10-08 09:45:00+07:00,4.44,4.44,4.44,4.44,3200,0.0
2025-10-08 10:00:00+07:00,4.48,4.48,4.44,4.44,1200,0.0
2025-10-08 10:15:00+07:00,4.48,4.48,4.48,4.48,200,0.0
2025-10-08 10:30:00+07:00,4.48,4.48,4.46,4.46,2600,0.0
2025-10-08 10:45:00+07:00,4.44,4.46,4.44,4.46,16300,0.0
2025-10-08 11:00:00+07:00,4.44,4.46,4.44,4.46,7700,0.0
2025-10-08 11:15:00+07:00,4.44,4.46,4.44,4.46,1800,0.0
2025-10-08 11:30:00+07:00,4.46,4.46,4.44,4.46,300,0.0
2025-10-08 11:45:00+07:00,4.46,4.46,4.46,4.46,1700,0.0
2025-10-08 12:00:00+07:00,4.46,4.46,4.44,4.44,900,0.0
2025-10-08 12:15:00+07:00,4.46,4.46,4.46,4.46,200,0.0
2025-10-08 13:45:00+07:00,4.44,4.44,4.44,4.44,4100,0.0
2025-10-08 14:00:00+07:00,4.46,4.46,4.44,4.44,66500,0.0
2025-10-08 14:15:00+07:00,4.46,4.46,4.44,4.44,11700,0.0
2025-10-08 14:30:00+07:00,4.44,4.46,4.44,4.44,1400,0.0
2025-10-08 14:45:00+07:00,4.44,4.46,4.44,4.44,1200,0.0
2025-10-08 15:00:00+07:00,4.46,4.46,4.44,4.46,19100,0.0
2025-10-08 15:15:00+07:00,4.46,4.48,4.46,4.48,2100,0.0
2025-10-08 15:30:00+07:00,4.46,4.46,4.44,4.44,104600,0.0
2025-10-08 15:45:00+07:00,4.44,4.46,4.44,4.46,1800,0.0
2025-10-08 16:00:00+07:00,4.46,4.46,4.44,4.46,31100,0.0
2025-10-08 16:15:00+07:00,4.46,4.46,4.44,4.44,1400,0.0
2025-10-08 16:30:00+07:00,4.44,4.44,4.44,4.44,80600,0.0
2025-10-09 09:45:00+07:00,4.44,4.44,4.44,4.44,100,0.0
2025-10-09 10:00:00+07:00,4.46,4.46,4.44,4.46,11800,0.0
2025-10-09 10:15:00+07:00,4.44,4.46,4.44,4.44,1300,0.0
2025-10-09 10:30:00+07:00,4.46,4.46,4.42,4.42,60200,0.0
2025-10-09 10:45:00+07:00,4.42,4.44,4.42,4.44,20900,0.0
2025-10-09 11:00:00+07:00,4.44,4.44,4.42,4.42,2300,0.0
2025-10-09 11:15:00+07:00,4.42,4.44,4.42,4.44,400,0.0
2025-10-09 11:30:00+07:00,4.44,4.44,4.44,4.44,100,0.0
2025-10-09 11:45:00+07:00,4.42,4.44,4.42,4.44,1000,0.0
2025-10-09 12:00:00+07:00,4.44,4.44,4.44,4.44,10400,0.0
2025-10-09 12:15:00+07:00,4.44,4.44,4.44,4.44,100,0.0
2025-10-09 13:45:00+07:00,4.42,4.44,4.42,4.44,600,0.0
2025-10-09 14:00:00+07:00,4.44,4.44,4.42,4.42,75900,0.0
2025-10-09 14:15:00+07:00,4.42,4.46,4.42,4.44,1800,0.0
2025-10-09 14:30:00+07:00,4.46,4.46,4.46,4.46,100,0.0
2025-10-09 14:45:00+07:00,4.46,4.46,4.46,4.46,300,0.0
2025-10-09 15:00:00+07:00,4.46,4.46,4.46,4.46,600,0.0
2025-10-09 15:15:00+07:00,4.46,4.46,4.44,4.44,300,0.0
2025-10-09 15:30:00+07:00,4.46,4.46,4.46,4.46,200,0.0
2025-10-09 15:45:00+07:00,4.46,4.46,4.46,4.46,200,0.0
2025-10-09 16:00:00+07:00,4.46,4.46,4.44,4.46,3000,0.0
2025-10-09 16:15:00+07:00,4.46,4.46,4.44,4.44,29900,0.0
2025-10-09 16:30:00+07:00,4.42,4.42,4.42,4.42,46000,0.0
2025-10-10 09:45:00+07:00,4.44,4.44,4.44,4.44,100,0.0
2025-10-10 10:15:00+07:00,4.42,4.42,4.42,4.42,100,0.0
2025-10-10 10:45:00+07:00,4.42,4.42,4.4,4.4,57800,0.0
2025-10-10 11:00:00+07:00,4.4,4.42,4.4,4.42,6300,0.0
2025-10-10 11:15:00+07:00,4.44,4.44,4.44,4.44,200,0.0
2025-10-10 11:30:00+07:00,4.44,4.44,4.42,4.42,400,0.0
2025-10-10 11:45:00+07:00,4.44,4.44,4.44,4.44,100,0.0
2025-10-10 12:00:00+07:00,4.44,4.44,4.4,4.4,1700,0.0
2025-10-10 12:15:00+07:00,4.42,4.42,4.4,4.4,1300,0.0
2025-10-10 13:45:00+07:00,4.42,4.42,4.4,4.4,2700,0.0
2025-10-10 14:00:00+07:00,4.4,4.42,4.4,4.4,17200,0.0
2025-10-10 14:15:00+07:00,4.4,4.42,4.4,4.4,1000,0.0
2025-10-10 14:30:00+07:00,4.42,4.42,4.4,4.4,4200,0.0
2025-10-10 14:45:00+07:00,4.42,4.42,4.42,4.42,700,0.0
2025-10-10 15:00:00+07:00,4.42,4.42,4.42,4.42,200,0.0
2025-10-10 15:15:00+07:00,4.42,4.42,4.4,4.42,21200,0.0
2025-10-10 15:30:00+07:00,4.42,4.42,4.4,4.4,2100,0.0
2025-10-10 15:45:00+07:00,4.42,4.42,4.4,4.4,8500,0.0
2025-10-10 16:00:00+07:00,4.42,4.42,4.4,4.42,5400,0.0
2025-10-10 16:15:00+07:00,4.42,4.42,4.42,4.42,400,0.0
2025-10-10 16:30:00+07:00,4.44,4.44,4.44,4.44,52000,0.0
2025-10-14 09:45:00+07:00,4.42,4.42,4.42,4.42,200,0.0
2025-10-14 10:00:00+07:00,4.4,4.4,4.34,4.38,151600,0.0
2025-10-14 10:15:00+07:00,4.38,4.38,4.38,4.38,22000,0.0
2025-10-14 10:30:00+07:00,4.38,4.38,4.36,4.38,7700,0.0
2025-10-14 10:45:00+07:00,4.38,4.38,4.38,4.38,9600,0.0
2025-10-14 11:00:00+07:00,4.36,4.38,4.36,4.38,24000,0.0
2025-10-14 11:15:00+07:00,4.36,4.38,4.36,4.36,900,0.0
2025-10-14 11:30:00+07:00,4.36,4.38,4.34,4.36,41300,0.0
2025-10-14 11:45:00+07:00,4.34,4.36,4.34,4.34,1300,0.0
2025-10-14 12:00:00+07:00,4.34,4.36,4.34,4.36,1100,0.0
2025-10-14 12:15:00+07:00,4.34,4.36,4.34,4.36,13400,0.0
2025-10-14 13:45:00+07:00,4.34,4.34,4.34,4.34,1300,0.0
2025-10-14 14:00:00+07:00,4.34,4.34,4.32,4.34,15300,0.0
2025-10-14 14:15:00+07:00,4.32,4.34,4.32,4.34,16700,0.0
2025-10-14 14:30:00+07:00,4.36,4.36,4.34,4.36,3000,0.0
2025-10-14 14:45:00+07:00,4.34,4.36,4.34,4.34,21000,0.0
2025-10-14 15:00:00+07:00,4.36,4.36,4.34,4.34,1600,0.0
2025-10-14 15:15:00+07:00,4.34,4.36,4.34,4.34,1600,0.0
2025-10-14 15:30:00+07:00,4.34,4.36,4.34,4.36,1000,0.0
2025-10-14 15:45:00+07:00,4.36,4.36,4.34,4.36,1200,0.0
2025-10-14 16:00:00+07:00,4.36,4.36,4.34,4.36,1500,0.0
2025-10-14 16:15:00+07:00,4.34,4.34,4.32,4.32,29100,0.0
2025-10-14 16:30:00+07:00,4.3,4.3,4.3,4.3,97200,0.0
2025-10-15 09:45:00+07:00,4.32,4.32,4.32,4.32,1100,0.0
2025-10-15 10:00:00+07:00,4.32,4.36,4.32,4.36,300,0.0
2025-10-15 10:30:00+07:00,4.36,4.38,4.34,4.36,5900,0.0
2025-10-15 10:45:00+07:00,4.36,4.36,4.32,4.34,10900,0.0
2025-10-15 11:00:00+07:00,4.34,4.34,4.32,4.34,11500,0.0
2025-10-15 11:15:00+07:00,4.34,4.34,4.32,4.32,5300,0.0
2025-10-15 11:30:00+07:00,4.34,4.34,4.34,4.34,100,0.0
2025-10-15 11:45:00+07:00,4.34,4.34,4.32,4.32,18100,0.0
2025-10-15 12:00:00+07:00,4.34,4.34,4.34,4.34,100,0.0
2025-10-15 12:15:00+07:00,4.34,4.34,4.34,4.34,200,0.0
2025-10-15 13:45:00+07:00,4.34,4.34,4.32,4.32,500,0.0
2025-10-15 14:00:00+07:00,4.32,4.34,4.32,4.34,14300,0.0
2025-10-15 14:15:00+07:00,4.34,4.34,4.34,4.34,200,0.0
2025-10-15 14:30:00+07:00,4.34,4.34,4.32,4.32,3000,0.0
2025-10-15 14:45:00+07:00,4.32,4.34,4.32,4.34,2700,0.0
2025-10-15 15:00:00+07:00,4.34,4.34,4.34,4.34,100,0.0
2025-10-15 15:15:00+07:00,4.34,4.34,4.32,4.32,300,0.0
2025-10-15 15:30:00+07:00,4.34,4.34,4.32,4.34,13600,0.0
2025-10-15 15:45:00+07:00,4.34,4.34,4.3,4.3,4900,0.0
2025-10-15 16:00:00+07:00,4.3,4.3,4.24,4.24,180900,0.0
2025-10-15 16:15:00+07:00,4.24,4.28,4.22,4.22,281300,0.0
2025-10-15 16:30:00+07:00,4.02,4.02,4.02,4.02,3279900,0.0
2025-10-16 09:45:00+07:00,4.12,4.12,4.12,4.12,51600,0.0
2025-10-16 10:00:00+07:00,4.14,4.18,4.12,4.18,303400,0.0
2025-10-16 10:15:00+07:00,4.18,4.2,4.16,4.16,43800,0.0
2025-10-16 10:30:00+07:00,4.16,4.18,4.16,4.16,35900,0.0
2025-10-16 10:45:00+07:00,4.16,4.18,4.14,4.16,106000,0.0
2025-10-16 11:00:00+07:00,4.18,4.2,4.18,4.2,35900,0.0
2025-10-16 11:15:00+07:00,4.18,4.18,4.18,4.18,75200,0.0
