time,open,high,low,close,volume,value,date
2024-11-01 00:00:00+07:00,7.4,7.85,7.05,7.35,28306812,0.0,2024-11-01
2024-12-01 00:00:00+07:00,7.4,8.0,7.25,7.95,18320947,0.0,2024-12-01
2025-01-01 00:00:00+07:00,7.8,7.8,5.25,5.35,25096394,0.0,2025-01-01
2025-02-01 00:00:00+07:00,5.3,5.65,4.82,5.45,84581929,0.0,2025-02-01
2025-03-01 00:00:00+07:00,5.4,5.7,5.1,5.4,61685085,0.0,2025-03-01
2025-04-01 00:00:00+07:00,5.45,5.95,4.84,5.25,34791703,0.0,2025-04-01
2025-05-01 00:00:00+07:00,5.3,5.65,4.98,5.0,21238759,0.0,2025-05-01
2025-06-01 00:00:00+07:00,5.05,5.25,4.1,4.36,58391860,0.0,2025-06-01
2025-07-01 00:00:00+07:00,4.36,5.05,4.28,5.0,11300124,0.0,2025-07-01
2025-08-01 00:00:00+07:00,5.0,5.05,4.48,4.62,10316012,0.0,2025-08-01
2025-09-01 00:00:00+07:00,4.64,4.94,4.26,4.5,58547392,0.0,2025-09-01
2025-10-01 00:00:00+07:00,4.5,4.62,4.02,4.46,30454494,8246316.0,2025-10-01
