time,open,high,low,close,volume,value,date
2024-11-04 00:00:00+07:00,7.25,7.3,7.05,7.1,3477487,0.0,2024-11-04
2024-11-11 00:00:00+07:00,7.15,7.75,7.15,7.3,7775461,0.0,2024-11-11
2024-11-18 00:00:00+07:00,7.3,7.85,7.25,7.7,12690065,0.0,2024-11-18
2024-11-25 00:00:00+07:00,7.75,7.75,7.2,7.35,3679883,0.0,2024-11-25
2024-12-02 00:00:00+07:00,7.4,8.0,7.35,7.75,5407232,0.0,2024-12-02
2024-12-09 00:00:00+07:00,7.7,8.0,7.45,7.5,3247667,0.0,2024-12-09
2024-12-16 00:00:00+07:00,7.55,7.7,7.25,7.35,4813820,0.0,2024-12-16
2024-12-23 00:00:00+07:00,7.4,7.9,7.3,7.7,3724260,0.0,2024-12-23
2024-12-30 00:00:00+07:00,7.7,7.95,7.15,7.2,4756891,0.0,2024-12-30
2025-01-06 00:00:00+07:00,7.2,7.25,6.7,6.8,5934108,0.0,2025-01-06
2025-01-13 00:00:00+07:00,7.0,7.05,6.55,6.55,3264227,0.0,2025-01-13
2025-01-20 00:00:00+07:00,6.55,6.55,6.2,6.35,3342193,0.0,2025-01-20
2025-01-27 00:00:00+07:00,6.3,6.35,5.25,5.35,8926943,0.0,2025-01-27
2025-02-03 00:00:00+07:00,5.3,5.65,4.98,5.35,6169820,0.0,2025-02-03
2025-02-10 00:00:00+07:00,5.35,5.35,5.0,5.05,4301254,0.0,2025-02-10
2025-02-17 00:00:00+07:00,5.05,5.55,4.82,5.25,33208854,0.0,2025-02-17
2025-02-24 00:00:00+07:00,5.25,5.6,4.92,5.45,40902001,0.0,2025-02-24
2025-03-03 00:00:00+07:00,5.4,5.7,5.3,5.6,26215362,0.0,2025-03-03
2025-03-10 00:00:00+07:00,5.65,5.65,5.1,5.5,13232959,0.0,2025-03-10
2025-03-17 00:00:00+07:00,5.5,5.65,5.4,5.45,11757338,0.0,2025-03-17
2025-03-24 00:00:00+07:00,5.45,5.55,5.35,5.4,8757969,0.0,2025-03-24
2025-03-31 00:00:00+07:00,5.4,5.95,5.35,5.4,18563200,0.0,2025-03-31
2025-04-08 00:00:00+07:00,5.15,5.5,4.84,5.35,6839652,0.0,2025-04-08
2025-04-16 00:00:00+07:00,5.45,5.6,5.3,5.55,5087236,0.0,2025-04-16
2025-04-21 00:00:00+07:00,5.5,5.5,5.1,5.3,3882115,0.0,2025-04-21
2025-04-28 00:00:00+07:00,5.3,5.35,5.1,5.25,2250169,0.0,2025-04-28
2025-05-06 00:00:00+07:00,5.25,5.6,5.2,5.6,2160826,0.0,2025-05-06
2025-05-13 00:00:00+07:00,5.65,5.65,5.35,5.5,2318042,0.0,2025-05-13
2025-05-19 00:00:00+07:00,5.5,5.5,5.2,5.25,4831551,0.0,2025-05-19
2025-05-26 00:00:00+07:00,5.25,5.25,4.98,5.0,11819128,0.0,2025-05-26
2025-06-04 00:00:00+07:00,5.05,5.05,4.88,4.9,7829805,0.0,2025-06-04
2025-06-09 00:00:00+07:00,4.9,5.2,4.88,5.15,13148440,0.0,2025-06-09
2025-06-16 00:00:00+07:00,5.15,5.25,4.42,4.42,27601722,0.0,2025-06-16
2025-06-23 00:00:00+07:00,4.42,4.52,4.1,4.24,8720715,0.0,2025-06-23
2025-06-30 00:00:00+07:00,4.28,4.44,4.22,4.4,2219277,0.0,2025-06-30
2025-07-07 00:00:00+07:00,4.38,4.44,4.28,4.36,1182237,0.0,2025-07-07
2025-07-14 00:00:00+07:00,4.36,4.78,4.36,4.76,3937488,0.0,2025-07-14
2025-07-21 00:00:00+07:00,4.8,5.05,4.76,4.9,3528756,0.0,2025-07-21
2025-07-29 00:00:00+07:00,4.84,5.05,4.82,4.9,2200537,0.0,2025-07-29
2025-08-04 00:00:00+07:00,4.86,5.05,4.82,4.84,2946187,0.0,2025-08-04
2025-08-13 00:00:00+07:00,4.86,4.92,4.66,4.68,1458612,0.0,2025-08-13
2025-08-18 00:00:00+07:00,4.7,4.82,4.48,4.78,3037725,0.0,2025-08-18
2025-08-25 00:00:00+07:00,4.8,4.86,4.52,4.62,2196495,0.0,2025-08-25
2025-09-01 00:00:00+07:00,4.64,4.94,4.44,4.48,11824547,0.0,2025-09-01
2025-09-08 00:00:00+07:00,4.5,4.72,4.46,4.62,4295221,0.0,2025-09-08
2025-09-15 00:00:00+07:00,4.64,4.74,4.48,4.48,29749478,0.0,2025-09-15
2025-09-22 00:00:00+07:00,4.52,4.58,4.26,4.54,11257706,0.0,2025-09-22
2025-09-29 00:00:00+07:00,4.54,4.56,4.44,4.52,2946406,0.0,2025-09-29
2025-10-06 00:00:00+07:00,4.5,4.52,4.4,4.44,1672930,0.0,2025-10-06
2025-10-14 00:00:00+07:00,4.42,4.42,4.02,4.16,6112094,0.0,2025-10-14
2025-10-20 00:00:00+07:00,4.16,4.62,4.1,4.54,9271123,0.0,2025-10-20
2025-10-27 00:00:00+07:00,4.54,4.56,4.26,4.46,11872381,8246316.0,2025-10-27
