time,open,high,low,close,volume,value,date
2024-11-01 00:00:00+07:00,21.0,21.4,18.8,19.6,29737667,0.0,2024-11-01
2024-12-01 00:00:00+07:00,19.7,19.9,18.3,18.8,10842527,0.0,2024-12-01
2025-01-01 00:00:00+07:00,18.7,18.7,17.2,17.4,17887286,0.0,2025-01-01
2025-02-01 00:00:00+07:00,17.3,19.9,16.3,19.5,40334609,0.0,2025-02-01
2025-03-01 00:00:00+07:00,19.6,21.5,18.9,21.0,37186647,0.0,2025-03-01
2025-04-01 00:00:00+07:00,21.1,23.7,17.8,23.7,56613948,0.0,2025-04-01
2025-05-01 00:00:00+07:00,23.5,24.8,22.1,22.4,65723466,0.0,2025-05-01
2025-06-01 00:00:00+07:00,22.5,23.2,18.1,18.4,37376449,0.0,2025-06-01
2025-07-01 00:00:00+07:00,18.8,18.8,17.0,17.7,69322192,0.0,2025-07-01
2025-08-01 00:00:00+07:00,18.1,19.6,17.1,17.1,128180788,0.0,2025-08-01
2025-09-01 00:00:00+07:00,17.2,18.9,17.0,18.5,119678777,0.0,2025-09-01
2025-10-01 00:00:00+07:00,18.5,19.0,15.7,16.0,102426023,46520290.0,2025-10-01
