time,open,high,low,close,volume,value,date
2024-10-31 00:00:00+07:00,20.5,21.2,20.5,21.2,1957066,0.0,2024-10-31
2024-11-01 00:00:00+07:00,21.0,21.4,21.0,21.4,2097285,0.0,2024-11-01
2024-11-04 00:00:00+07:00,21.2,21.3,21.0,21.0,947762,0.0,2024-11-04
2024-11-05 00:00:00+07:00,20.9,21.1,20.9,21.1,292467,0.0,2024-11-05
2024-11-06 00:00:00+07:00,21.2,21.2,20.6,20.6,967465,0.0,2024-11-06
2024-11-07 00:00:00+07:00,20.7,20.8,20.5,20.6,684495,0.0,2024-11-07
2024-11-08 00:00:00+07:00,20.5,20.6,20.4,20.5,842548,0.0,2024-11-08
2024-11-11 00:00:00+07:00,20.4,20.6,20.3,20.6,874890,0.0,2024-11-11
2024-11-12 00:00:00+07:00,20.5,20.6,19.9,20.1,3736275,0.0,2024-11-12
2024-11-13 00:00:00+07:00,20.2,20.4,19.9,20.0,1566566,0.0,2024-11-13
2024-11-14 00:00:00+07:00,20.0,20.1,19.7,19.7,2507976,0.0,2024-11-14
2024-11-15 00:00:00+07:00,19.8,19.8,19.5,19.5,1357261,0.0,2024-11-15
2024-11-18 00:00:00+07:00,19.4,19.8,19.3,19.6,962555,0.0,2024-11-18
2024-11-19 00:00:00+07:00,19.7,19.8,19.6,19.7,1148102,0.0,2024-11-19
2024-11-20 00:00:00+07:00,19.8,19.8,19.5,19.7,636756,0.0,2024-11-20
2024-11-21 00:00:00+07:00,19.7,19.7,19.5,19.6,894927,0.0,2024-11-21
2024-11-22 00:00:00+07:00,19.7,19.7,19.0,19.1,3013364,0.0,2024-11-22
2024-11-25 00:00:00+07:00,19.2,19.4,19.0,19.0,1511890,0.0,2024-11-25
2024-11-26 00:00:00+07:00,19.0,19.2,18.8,19.0,1174310,0.0,2024-11-26
2024-11-27 00:00:00+07:00,19.0,19.1,18.8,19.0,727439,0.0,2024-11-27
2024-11-28 00:00:00+07:00,19.0,19.7,19.0,19.5,2521372,0.0,2024-11-28
2024-11-29 00:00:00+07:00,19.6,19.9,19.6,19.6,1271962,0.0,2024-11-29
2024-12-02 00:00:00+07:00,19.7,19.9,19.5,19.7,433496,0.0,2024-12-02
2024-12-03 00:00:00+07:00,19.7,19.9,19.7,19.8,990613,0.0,2024-12-03
2024-12-04 00:00:00+07:00,19.7,19.9,19.4,19.6,797103,0.0,2024-12-04
2024-12-06 00:00:00+07:00,19.7,19.8,19.6,19.8,443347,0.0,2024-12-06
2024-12-09 00:00:00+07:00,19.8,19.9,19.4,19.5,531532,0.0,2024-12-09
2024-12-11 00:00:00+07:00,19.4,19.5,19.2,19.3,698978,0.0,2024-12-11
2024-12-12 00:00:00+07:00,19.3,19.5,19.3,19.4,233298,0.0,2024-12-12
2024-12-13 00:00:00+07:00,19.3,19.4,19.1,19.1,515704,0.0,2024-12-13
2024-12-16 00:00:00+07:00,19.1,19.2,19.0,19.1,302200,0.0,2024-12-16
2024-12-17 00:00:00+07:00,19.1,19.2,19.0,19.0,580975,0.0,2024-12-17
2024-12-18 00:00:00+07:00,19.1,19.2,19.0,19.0,556049,0.0,2024-12-18
2024-12-19 00:00:00+07:00,18.9,18.9,18.5,18.8,1362711,0.0,2024-12-19
2024-12-20 00:00:00+07:00,18.8,18.8,18.4,18.6,571951,0.0,2024-12-20
2024-12-23 00:00:00+07:00,18.5,18.6,18.3,18.6,1057538,0.0,2024-12-23
2024-12-24 00:00:00+07:00,18.7,18.7,18.5,18.7,358120,0.0,2024-12-24
2024-12-25 00:00:00+07:00,18.7,18.7,18.5,18.7,388964,0.0,2024-12-25
2024-12-26 00:00:00+07:00,18.6,18.9,18.6,18.7,345014,0.0,2024-12-26
