time,open,high,low,close,volume,value,date
2024-11-04 00:00:00+07:00,21.2,21.3,20.4,20.5,3734737,0.0,2024-11-04
2024-11-11 00:00:00+07:00,20.4,20.6,19.5,19.5,10042968,0.0,2024-11-11
2024-11-18 00:00:00+07:00,19.4,19.8,19.0,19.1,6655704,0.0,2024-11-18
2024-11-25 00:00:00+07:00,19.2,19.9,18.8,19.6,7206973,0.0,2024-11-25
2024-12-02 00:00:00+07:00,19.7,19.9,19.4,19.8,2664559,0.0,2024-12-02
2024-12-09 00:00:00+07:00,19.8,19.9,19.1,19.1,1979512,0.0,2024-12-09
2024-12-16 00:00:00+07:00,19.1,19.2,18.4,18.6,3373886,0.0,2024-12-16
2024-12-23 00:00:00+07:00,18.5,18.9,18.3,18.7,2301639,0.0,2024-12-23
2024-12-30 00:00:00+07:00,18.7,18.8,18.4,18.5,1532125,0.0,2024-12-30
2025-01-06 00:00:00+07:00,18.5,18.7,17.5,18.0,3589428,0.0,2025-01-06
2025-01-13 00:00:00+07:00,18.0,18.0,17.3,17.6,5204400,0.0,2025-01-13
2025-01-20 00:00:00+07:00,17.5,17.7,17.2,17.5,3531283,0.0,2025-01-20
2025-01-27 00:00:00+07:00,17.3,18.2,17.3,17.4,4552981,0.0,2025-01-27
2025-02-03 00:00:00+07:00,17.3,17.6,16.3,16.9,7439725,0.0,2025-02-03
2025-02-10 00:00:00+07:00,16.9,17.7,16.8,17.2,3652950,0.0,2025-02-10
2025-02-17 00:00:00+07:00,17.2,18.7,17.0,18.1,8382785,0.0,2025-02-17
2025-02-24 00:00:00+07:00,18.1,19.9,17.9,19.5,20859149,0.0,2025-02-24
2025-03-03 00:00:00+07:00,19.6,19.9,19.3,19.8,7801002,0.0,2025-03-03
2025-03-10 00:00:00+07:00,19.8,20.3,18.9,19.5,10556949,0.0,2025-03-10
2025-03-17 00:00:00+07:00,19.5,20.1,19.1,19.9,3797050,0.0,2025-03-17
2025-03-24 00:00:00+07:00,20.0,21.5,19.6,21.1,13334946,0.0,2025-03-24
2025-03-31 00:00:00+07:00,20.8,21.1,19.2,19.2,11001333,0.0,2025-03-31
2025-04-08 00:00:00+07:00,19.0,19.3,17.8,18.9,4772826,0.0,2025-04-08
2025-04-16 00:00:00+07:00,19.0,20.0,18.6,19.9,3983943,0.0,2025-04-16
2025-04-21 00:00:00+07:00,20.0,22.2,19.8,22.0,21726590,0.0,2025-04-21
2025-04-28 00:00:00+07:00,22.1,23.8,22.1,23.8,20544476,0.0,2025-04-28
2025-05-06 00:00:00+07:00,23.9,24.7,23.7,24.1,19128886,0.0,2025-05-06
2025-05-13 00:00:00+07:00,24.3,24.6,23.7,24.2,15441792,0.0,2025-05-13
2025-05-19 00:00:00+07:00,24.2,24.8,23.7,24.0,12628236,0.0,2025-05-19
2025-05-26 00:00:00+07:00,23.9,24.1,22.1,22.4,14806032,0.0,2025-05-26
2025-06-04 00:00:00+07:00,22.5,23.2,22.2,22.6,6034590,0.0,2025-06-04
2025-06-09 00:00:00+07:00,22.6,23.1,21.8,22.0,7027625,0.0,2025-06-09
2025-06-16 00:00:00+07:00,21.5,21.6,19.0,19.0,14583167,0.0,2025-06-16
2025-06-23 00:00:00+07:00,18.8,19.2,18.1,18.2,8334417,0.0,2025-06-23
2025-06-30 00:00:00+07:00,18.2,18.8,17.5,18.0,14463332,0.0,2025-06-30
2025-07-07 00:00:00+07:00,17.7,17.7,17.0,17.3,8694145,0.0,2025-07-07
2025-07-14 00:00:00+07:00,17.3,18.5,17.3,18.2,17342647,0.0,2025-07-14
2025-07-21 00:00:00+07:00,18.3,18.3,17.4,17.7,17825216,0.0,2025-07-21
2025-07-29 00:00:00+07:00,17.7,18.8,17.5,18.5,28167127,0.0,2025-07-29
2025-08-04 00:00:00+07:00,18.8,19.6,18.1,18.9,42488956,0.0,2025-08-04
2025-08-13 00:00:00+07:00,19.2,19.3,18.0,18.3,24988859,0.0,2025-08-13
2025-08-18 00:00:00+07:00,18.4,18.4,17.6,18.1,24538433,0.0,2025-08-18
2025-08-25 00:00:00+07:00,18.1,18.2,17.1,17.1,20390915,0.0,2025-08-25
2025-09-01 00:00:00+07:00,17.2,17.9,17.0,17.7,11503192,0.0,2025-09-01
2025-09-08 00:00:00+07:00,17.8,18.2,17.7,18.1,18733343,0.0,2025-09-08
2025-09-15 00:00:00+07:00,18.2,18.8,17.8,17.8,33678527,0.0,2025-09-15
2025-09-22 00:00:00+07:00,17.8,18.9,17.5,18.4,45541251,0.0,2025-09-22
2025-09-29 00:00:00+07:00,18.4,19.0,17.9,18.1,34506966,0.0,2025-09-29
2025-10-06 00:00:00+07:00,18.2,18.9,18.0,18.5,28950374,0.0,2025-10-06
2025-10-14 00:00:00+07:00,18.5,18.5,17.0,17.0,17506109,0.0,2025-10-14
2025-10-20 00:00:00+07:00,17.0,17.0,16.2,16.3,12903912,0.0,2025-10-20
2025-10-27 00:00:00+07:00,16.4,16.6,15.7,16.0,18781126,46520290.0,2025-10-27
