time,open,high,low,close,volume,value,date
2024-11-01 00:00:00+07:00,4.94,5.6,4.74,5.55,2199319329,0.0,2024-11-01
2024-12-01 00:00:00+07:00,5.55,6.1,5.25,6.1,1247645791,0.0,2024-12-01
2025-01-01 00:00:00+07:00,6.05,6.4,5.45,6.15,1446011788,0.0,2025-01-01
2025-02-01 00:00:00+07:00,6.0,6.3,5.4,5.8,1574289527,0.0,2025-02-01
2025-03-01 00:00:00+07:00,5.9,6.15,5.1,5.15,1041517326,0.0,2025-03-01
2025-04-01 00:00:00+07:00,5.25,5.35,4.34,5.05,873276127,0.0,2025-04-01
2025-05-01 00:00:00+07:00,5.05,5.1,4.4,4.46,934706993,0.0,2025-05-01
2025-06-01 00:00:00+07:00,4.46,4.64,3.28,3.6,1852705730,0.0,2025-06-01
2025-07-01 00:00:00+07:00,3.66,3.68,3.34,3.52,2189697709,0.0,2025-07-01
2025-08-01 00:00:00+07:00,3.56,3.74,3.14,3.16,2487655361,0.0,2025-08-01
2025-09-01 00:00:00+07:00,3.18,3.46,3.0,3.06,2651442047,0.0,2025-09-01
2025-10-01 00:00:00+07:00,3.24,3.24,2.8,2.94,1512418692,476478602.0,2025-10-01
