time,open,high,low,close,volume,value,date
2024-11-04 00:00:00+07:00,4.92,5.05,4.74,4.96,620919088,0.0,2024-11-04
2024-11-11 00:00:00+07:00,4.96,4.98,4.8,4.84,425498112,0.0,2024-11-11
2024-11-18 00:00:00+07:00,4.86,5.05,4.78,4.98,406381588,0.0,2024-11-18
2024-11-25 00:00:00+07:00,5.0,5.6,5.0,5.55,635049191,0.0,2024-11-25
2024-12-02 00:00:00+07:00,5.55,5.85,5.4,5.75,273555529,0.0,2024-12-02
2024-12-09 00:00:00+07:00,5.7,6.0,5.65,5.9,192121937,0.0,2024-12-09
2024-12-16 00:00:00+07:00,5.9,6.1,5.55,5.6,375123614,0.0,2024-12-16
2024-12-23 00:00:00+07:00,5.7,5.9,5.25,5.85,331310051,0.0,2024-12-23
2024-12-30 00:00:00+07:00,5.85,6.25,5.8,6.05,225394836,0.0,2024-12-30
2025-01-06 00:00:00+07:00,6.1,6.1,5.6,5.9,397836552,0.0,2025-01-06
2025-01-13 00:00:00+07:00,5.8,6.1,5.45,5.55,332167607,0.0,2025-01-13
2025-01-20 00:00:00+07:00,5.55,6.15,5.45,6.15,279928902,0.0,2025-01-20
2025-01-27 00:00:00+07:00,6.1,6.4,6.1,6.15,286218551,0.0,2025-01-27
2025-02-03 00:00:00+07:00,6.0,6.3,5.4,5.95,525395286,0.0,2025-02-03
2025-02-10 00:00:00+07:00,5.85,6.3,5.8,5.85,302715881,0.0,2025-02-10
2025-02-17 00:00:00+07:00,6.0,6.25,5.85,6.2,380107113,0.0,2025-02-17
2025-02-24 00:00:00+07:00,6.2,6.25,5.75,5.8,366071247,0.0,2025-02-24
2025-03-03 00:00:00+07:00,5.9,6.15,5.75,6.0,253746512,0.0,2025-03-03
2025-03-10 00:00:00+07:00,5.95,6.0,5.35,5.55,264519281,0.0,2025-03-10
2025-03-17 00:00:00+07:00,5.55,5.9,5.35,5.45,235626619,0.0,2025-03-17
2025-03-24 00:00:00+07:00,5.45,5.8,5.25,5.5,205992776,0.0,2025-03-24
2025-03-31 00:00:00+07:00,5.35,5.4,4.98,5.0,195836108,0.0,2025-03-31
2025-04-08 00:00:00+07:00,4.8,4.9,4.34,4.46,284310056,0.0,2025-04-08
2025-04-16 00:00:00+07:00,4.54,4.92,4.48,4.84,120320572,0.0,2025-04-16
2025-04-21 00:00:00+07:00,4.82,5.25,4.7,4.92,247798024,0.0,2025-04-21
2025-04-28 00:00:00+07:00,4.92,5.1,4.86,4.96,151074287,0.0,2025-04-28
2025-05-06 00:00:00+07:00,4.98,5.05,4.58,4.64,294244897,0.0,2025-05-06
2025-05-13 00:00:00+07:00,4.68,4.98,4.58,4.66,268863079,0.0,2025-05-13
2025-05-19 00:00:00+07:00,4.66,4.72,4.52,4.54,149763023,0.0,2025-05-19
2025-05-26 00:00:00+07:00,4.54,4.62,4.4,4.46,177405212,0.0,2025-05-26
2025-06-04 00:00:00+07:00,4.46,4.64,4.44,4.5,265137122,0.0,2025-06-04
2025-06-09 00:00:00+07:00,4.5,4.6,4.24,4.28,301537085,0.0,2025-06-09
2025-06-16 00:00:00+07:00,4.3,4.32,3.36,3.44,674565584,0.0,2025-06-16
2025-06-23 00:00:00+07:00,3.4,3.78,3.28,3.6,573203280,0.0,2025-06-23
2025-06-30 00:00:00+07:00,3.6,3.68,3.38,3.48,415888094,0.0,2025-06-30
2025-07-07 00:00:00+07:00,3.48,3.52,3.34,3.44,442315370,0.0,2025-07-07
2025-07-14 00:00:00+07:00,3.44,3.62,3.42,3.52,508703600,0.0,2025-07-14
2025-07-21 00:00:00+07:00,3.52,3.62,3.4,3.46,542258954,0.0,2025-07-21
2025-07-29 00:00:00+07:00,3.48,3.68,3.42,3.46,523558744,0.0,2025-07-29
2025-08-04 00:00:00+07:00,3.48,3.74,3.4,3.52,762219914,0.0,2025-08-04
2025-08-13 00:00:00+07:00,3.54,3.54,3.36,3.38,231092968,0.0,2025-08-13
2025-08-18 00:00:00+07:00,3.4,3.52,3.34,3.42,477548889,0.0,2025-08-18
2025-08-25 00:00:00+07:00,3.44,3.5,3.14,3.16,812029196,0.0,2025-08-25
2025-09-01 00:00:00+07:00,3.18,3.36,3.04,3.3,764952264,0.0,2025-09-01
2025-09-08 00:00:00+07:00,3.36,3.46,3.26,3.34,707654661,0.0,2025-09-08
2025-09-15 00:00:00+07:00,3.34,3.4,3.2,3.22,514735769,0.0,2025-09-15
2025-09-22 00:00:00+07:00,3.22,3.22,3.0,3.06,412468388,0.0,2025-09-22
2025-09-29 00:00:00+07:00,3.08,3.24,3.06,3.08,427867122,0.0,2025-09-29
2025-10-06 00:00:00+07:00,3.08,3.12,3.02,3.02,204212593,0.0,2025-10-06
2025-10-14 00:00:00+07:00,3.02,3.02,2.8,2.82,355901788,0.0,2025-10-14
2025-10-20 00:00:00+07:00,2.86,2.98,2.84,2.9,274014845,0.0,2025-10-20
2025-10-27 00:00:00+07:00,2.92,3.08,2.8,2.94,502053309,476478602.0,2025-10-27
