time,open,high,low,close,volume,value,date
2024-11-04 00:00:00+07:00,79.5,81.5,78.25,81.0,12486793,0.0,2024-11-04
2024-11-11 00:00:00+07:00,81.25,81.5,73.75,77.5,26774298,0.0,2024-11-11
2024-11-18 00:00:00+07:00,78.5,79.75,77.75,79.5,9109852,0.0,2024-11-18
2024-11-25 00:00:00+07:00,80.0,80.0,74.5,76.75,15359543,0.0,2024-11-25
2024-12-02 00:00:00+07:00,77.0,80.5,74.5,80.0,27416948,0.0,2024-12-02
2024-12-09 00:00:00+07:00,80.0,82.0,79.75,79.75,8688019,0.0,2024-12-09
2024-12-16 00:00:00+07:00,80.25,80.5,76.5,78.5,10957908,0.0,2024-12-16
2024-12-23 00:00:00+07:00,78.0,79.75,76.75,78.75,6628396,0.0,2024-12-23
2024-12-30 00:00:00+07:00,79.0,79.75,78.25,79.0,4743291,0.0,2024-12-30
2025-01-06 00:00:00+07:00,79.25,79.5,73.0,76.0,12959450,0.0,2025-01-06
2025-01-13 00:00:00+07:00,75.0,78.0,71.5,76.5,13948957,0.0,2025-01-13
2025-01-20 00:00:00+07:00,77.0,81.0,75.5,79.5,19578648,0.0,2025-01-20
2025-01-27 00:00:00+07:00,79.75,80.25,69.0,70.5,32683707,0.0,2025-01-27
2025-02-03 00:00:00+07:00,69.0,74.5,69.0,71.25,23928562,0.0,2025-02-03
2025-02-10 00:00:00+07:00,71.0,71.75,68.0,70.0,13308976,0.0,2025-02-10
2025-02-17 00:00:00+07:00,71.25,74.0,70.0,74.0,11450824,0.0,2025-02-17
2025-02-24 00:00:00+07:00,72.75,72.75,67.0,67.75,13534659,0.0,2025-02-24
2025-03-03 00:00:00+07:00,68.5,69.0,63.25,64.25,14751871,0.0,2025-03-03
2025-03-10 00:00:00+07:00,64.0,64.25,58.25,62.0,28805988,0.0,2025-03-10
2025-03-17 00:00:00+07:00,62.5,64.0,61.25,62.25,15635747,0.0,2025-03-17
2025-03-24 00:00:00+07:00,62.0,63.0,59.5,59.75,9988936,0.0,2025-03-24
2025-03-31 00:00:00+07:00,57.0,61.75,56.0,59.75,19639110,0.0,2025-03-31
2025-04-08 00:00:00+07:00,58.75,62.0,55.25,60.5,12092011,0.0,2025-04-08
2025-04-16 00:00:00+07:00,60.0,63.5,59.75,63.0,8040873,0.0,2025-04-16
2025-04-21 00:00:00+07:00,63.75,64.25,60.75,64.25,14059338,0.0,2025-04-21
2025-04-28 00:00:00+07:00,63.75,64.5,61.25,61.75,9733775,0.0,2025-04-28
2025-05-06 00:00:00+07:00,62.0,63.0,60.75,61.25,9809465,0.0,2025-05-06
2025-05-13 00:00:00+07:00,61.5,61.5,56.0,56.0,13035256,0.0,2025-05-13
2025-05-19 00:00:00+07:00,55.5,61.0,55.25,59.0,23059049,0.0,2025-05-19
2025-05-26 00:00:00+07:00,59.25,59.75,56.5,58.75,13975601,0.0,2025-05-26
2025-06-04 00:00:00+07:00,58.25,58.5,56.5,57.25,8605396,0.0,2025-06-04
2025-06-09 00:00:00+07:00,58.0,58.25,52.75,53.0,12705690,0.0,2025-06-09
2025-06-16 00:00:00+07:00,52.5,53.25,47.5,49.0,24424687,0.0,2025-06-16
2025-06-23 00:00:00+07:00,47.5,51.5,46.5,48.0,13961254,0.0,2025-06-23
2025-06-30 00:00:00+07:00,48.0,53.0,48.0,52.0,13303692,0.0,2025-06-30
2025-07-07 00:00:00+07:00,51.75,54.0,50.25,53.0,11186286,0.0,2025-07-07
2025-07-14 00:00:00+07:00,52.75,57.5,52.75,56.5,15915828,0.0,2025-07-14
2025-07-21 00:00:00+07:00,56.5,58.0,51.0,53.25,28501468,0.0,2025-07-21
2025-07-29 00:00:00+07:00,54.75,56.25,53.5,55.0,16724884,0.0,2025-07-29
2025-08-04 00:00:00+07:00,55.5,58.75,54.0,56.25,16424360,0.0,2025-08-04
2025-08-13 00:00:00+07:00,57.5,57.5,52.5,53.0,12686758,0.0,2025-08-13
2025-08-18 00:00:00+07:00,54.0,55.0,51.75,52.25,15059438,0.0,2025-08-18
2025-08-25 00:00:00+07:00,52.75,53.25,50.25,51.25,8077663,0.0,2025-08-25
2025-09-01 00:00:00+07:00,50.75,57.0,50.75,55.25,19878538,0.0,2025-09-01
2025-09-08 00:00:00+07:00,57.0,62.0,56.5,57.75,44844488,0.0,2025-09-08
2025-09-15 00:00:00+07:00,57.75,58.25,55.5,57.5,28730573,0.0,2025-09-15
2025-09-22 00:00:00+07:00,57.25,57.75,53.0,53.75,23071521,0.0,2025-09-22
2025-09-29 00:00:00+07:00,54.0,56.25,53.5,54.25,19920476,0.0,2025-09-29
2025-10-06 00:00:00+07:00,54.5,54.5,52.25,52.25,12216593,0.0,2025-10-06
2025-10-14 00:00:00+07:00,52.25,52.5,48.25,49.25,13215181,0.0,2025-10-14
2025-10-20 00:00:00+07:00,50.25,50.5,44.0,45.25,31212877,0.0,2025-10-20
2025-10-27 00:00:00+07:00,47.5,48.0,44.5,45.0,19276191,66086750.0,2025-10-27
