time,open,high,low,close,volume,value,date
2024-11-01 00:00:00+07:00,35.75,38.5,32.75,37.75,62821927,0.0,2024-11-01
2024-12-01 00:00:00+07:00,38.0,38.0,31.5,34.5,58132821,0.0,2024-12-01
2025-01-01 00:00:00+07:00,34.25,34.75,28.0,28.25,70016193,0.0,2025-01-01
2025-02-01 00:00:00+07:00,27.75,33.5,26.0,31.5,87039740,0.0,2025-02-01
2025-03-01 00:00:00+07:00,31.75,34.25,28.25,28.75,92158090,0.0,2025-03-01
2025-04-01 00:00:00+07:00,29.5,30.0,24.7,25.0,65510585,0.0,2025-04-01
2025-05-01 00:00:00+07:00,24.6,25.25,19.4,21.6,112647801,0.0,2025-05-01
2025-06-01 00:00:00+07:00,21.6,25.0,21.1,24.2,118851169,0.0,2025-06-01
2025-07-01 00:00:00+07:00,24.4,29.5,23.6,28.5,92088467,0.0,2025-07-01
2025-08-01 00:00:00+07:00,29.0,30.75,25.5,28.75,63299564,0.0,2025-08-01
2025-09-01 00:00:00+07:00,28.5,34.75,28.25,30.0,92412919,0.0,2025-09-01
2025-10-01 00:00:00+07:00,30.25,33.25,28.75,32.25,61596392,46033475.0,2025-10-01
