time,open,high,low,close,volume,value,date
2024-11-01 00:00:00+07:00,2.84,2.94,2.54,2.64,585934762,0.0,2024-11-01
2024-12-01 00:00:00+07:00,2.64,2.76,2.42,2.44,408239646,0.0,2024-12-01
2025-01-01 00:00:00+07:00,2.44,2.48,2.12,2.18,409075771,0.0,2025-01-01
2025-02-01 00:00:00+07:00,2.16,2.36,1.71,2.16,481961004,0.0,2025-02-01
2025-03-01 00:00:00+07:00,2.14,2.14,1.64,1.7,414295532,0.0,2025-03-01
2025-04-01 00:00:00+07:00,1.69,1.82,1.55,1.78,414387753,0.0,2025-04-01
2025-05-01 00:00:00+07:00,1.79,1.94,1.39,1.56,723936512,0.0,2025-05-01
2025-06-01 00:00:00+07:00,1.56,1.74,1.42,1.52,446065710,0.0,2025-06-01
2025-07-01 00:00:00+07:00,1.53,1.79,1.47,1.75,329830166,0.0,2025-07-01
2025-08-01 00:00:00+07:00,1.75,1.87,1.58,1.58,243099138,0.0,2025-08-01
2025-09-01 00:00:00+07:00,1.59,1.76,1.57,1.59,306251074,0.0,2025-09-01
2025-10-01 00:00:00+07:00,1.59,1.72,1.53,1.57,344019059,7320659.0,2025-10-01
