time,open,high,low,close,volume,value,date
2024-11-01 00:00:00+07:00,3.66,3.68,3.2,3.28,109476003,0.0,2024-11-01
2024-12-01 00:00:00+07:00,3.28,3.4,3.0,3.2,81580354,0.0,2024-12-01
2025-01-01 00:00:00+07:00,3.2,3.2,2.82,2.9,44172063,0.0,2025-01-01
2025-02-01 00:00:00+07:00,2.86,2.92,2.58,2.64,99687690,0.0,2025-02-01
2025-03-01 00:00:00+07:00,2.66,2.76,2.46,2.48,74045228,0.0,2025-03-01
2025-04-01 00:00:00+07:00,2.48,2.86,2.38,2.7,80138648,0.0,2025-04-01
2025-05-01 00:00:00+07:00,2.72,3.04,2.62,2.8,86064062,0.0,2025-05-01
2025-06-01 00:00:00+07:00,2.8,2.88,2.1,2.22,133682161,0.0,2025-06-01
2025-07-01 00:00:00+07:00,2.3,2.76,2.22,2.62,122144121,0.0,2025-07-01
2025-08-01 00:00:00+07:00,2.64,3.0,2.52,2.76,143170799,0.0,2025-08-01
2025-09-01 00:00:00+07:00,2.76,3.0,2.66,2.72,204647746,0.0,2025-09-01
2025-10-01 00:00:00+07:00,2.74,2.82,2.48,2.56,171075116,11107848.0,2025-10-01
