time,open,high,low,close,volume,value,date
2024-10-31 00:00:00+07:00,3.64,3.66,3.58,3.66,7254411,0.0,2024-10-31
2024-11-01 00:00:00+07:00,3.66,3.68,3.64,3.66,2684607,0.0,2024-11-01
2024-11-04 00:00:00+07:00,3.66,3.68,3.64,3.64,3581509,0.0,2024-11-04
2024-11-05 00:00:00+07:00,3.66,3.68,3.62,3.64,1623141,0.0,2024-11-05
2024-11-06 00:00:00+07:00,3.68,3.68,3.58,3.6,8754570,0.0,2024-11-06
2024-11-07 00:00:00+07:00,3.6,3.62,3.5,3.5,7589689,0.0,2024-11-07
2024-11-08 00:00:00+07:00,3.5,3.52,3.48,3.5,2452996,0.0,2024-11-08
2024-11-11 00:00:00+07:00,3.52,3.56,3.48,3.48,4432172,0.0,2024-11-11
2024-11-12 00:00:00+07:00,3.48,3.5,3.32,3.34,11260918,0.0,2024-11-12
2024-11-13 00:00:00+07:00,3.36,3.4,3.26,3.3,5317506,0.0,2024-11-13
2024-11-14 00:00:00+07:00,3.3,3.32,3.24,3.3,5156990,0.0,2024-11-14
2024-11-15 00:00:00+07:00,3.28,3.28,3.22,3.22,4318161,0.0,2024-11-15
2024-11-18 00:00:00+07:00,3.22,3.38,3.2,3.36,7875664,0.0,2024-11-18
2024-11-19 00:00:00+07:00,3.38,3.42,3.36,3.38,5085168,0.0,2024-11-19
2024-11-20 00:00:00+07:00,3.38,3.4,3.32,3.38,5721244,0.0,2024-11-20
2024-11-21 00:00:00+07:00,3.36,3.4,3.34,3.36,4437747,0.0,2024-11-21
2024-11-22 00:00:00+07:00,3.36,3.38,3.32,3.38,5127300,0.0,2024-11-22
2024-11-25 00:00:00+07:00,3.38,3.42,3.36,3.36,2919272,0.0,2024-11-25
2024-11-26 00:00:00+07:00,3.38,3.44,3.38,3.38,2090409,0.0,2024-11-26
2024-11-27 00:00:00+07:00,3.36,3.38,3.2,3.26,13955220,0.0,2024-11-27
2024-11-28 00:00:00+07:00,3.22,3.32,3.22,3.28,3366394,0.0,2024-11-28
2024-11-29 00:00:00+07:00,3.3,3.32,3.28,3.28,1725326,0.0,2024-11-29
2024-12-02 00:00:00+07:00,3.28,3.36,3.28,3.32,4267247,0.0,2024-12-02
2024-12-03 00:00:00+07:00,3.32,3.38,3.32,3.36,2024904,0.0,2024-12-03
2024-12-04 00:00:00+07:00,3.38,3.4,3.34,3.38,4074046,0.0,2024-12-04
2024-12-06 00:00:00+07:00,3.38,3.38,3.34,3.36,1172116,0.0,2024-12-06
2024-12-09 00:00:00+07:00,3.36,3.36,3.22,3.22,9296341,0.0,2024-12-09
2024-12-11 00:00:00+07:00,3.24,3.28,3.24,3.26,1735873,0.0,2024-12-11
2024-12-12 00:00:00+07:00,3.26,3.28,3.22,3.22,3011278,0.0,2024-12-12
2024-12-13 00:00:00+07:00,3.22,3.28,3.2,3.28,964834,0.0,2024-12-13
2024-12-16 00:00:00+07:00,3.26,3.28,3.18,3.18,2316103,0.0,2024-12-16
2024-12-17 00:00:00+07:00,3.18,3.22,3.12,3.22,8458059,0.0,2024-12-17
2024-12-18 00:00:00+07:00,3.22,3.24,3.16,3.18,1972012,0.0,2024-12-18
2024-12-19 00:00:00+07:00,3.18,3.22,3.06,3.1,15771047,0.0,2024-12-19
2024-12-20 00:00:00+07:00,3.08,3.1,3.02,3.06,5510334,0.0,2024-12-20
2024-12-23 00:00:00+07:00,3.06,3.08,3.0,3.04,5143653,0.0,2024-12-23
2024-12-24 00:00:00+07:00,3.06,3.1,3.02,3.04,5003613,0.0,2024-12-24
2024-12-25 00:00:00+07:00,3.06,3.2,3.06,3.2,4670016,0.0,2024-12-25
2024-12-26 00:00:00+07:00,3.2,3.2,3.1,3.14,1843807,0.0,2024-12-26
2024-12-27 00:00:00+07:00,3.14,3.18,3.12,3.16,1667606,0.0,2024-12-27
2024-12-30 00:00:00+07:00,3.22,3.22,3.14,3.2,2677465,0.0,2024-12-30
2025-01-02 00:00:00+07:00,3.2,3.2,3.14,3.14,1428331,0.0,2025-01-02
2025-01-03 00:00:00+07:00,3.12,3.18,3.12,3.14,829299,0.0,2025-01-03
2025-01-06 00:00:00+07:00,3.12,3.18,3.12,3.14,2530187,0.0,2025-01-06
2025-01-07 00:00:00+07:00,3.14,3.2,3.12,3.18,2399436,0.0,2025-01-07
2025-01-08 00:00:00+07:00,3.2,3.2,3.16,3.16,1579207,0.0,2025-01-08
2025-01-09 00:00:00+07:00,3.16,3.16,3.06,3.06,2376638,0.0,2025-01-09
2025-01-10 00:00:00+07:00,3.06,3.08,3.02,3.02,2314712,0.0,2025-01-10
2025-01-13 00:00:00+07:00,3.04,3.04,3.0,3.0,1359029,0.0,2025-01-13
2025-01-14 00:00:00+07:00,3.02,3.04,2.94,2.96,3404805,0.0,2025-01-14
2025-01-15 00:00:00+07:00,2.96,2.96,2.86,2.96,2032199,0.0,2025-01-15
2025-01-16 00:00:00+07:00,3.0,3.08,2.92,3.0,5064196,0.0,2025-01-16
2025-01-17 00:00:00+07:00,3.02,3.04,2.98,2.98,1217503,0.0,2025-01-17
2025-01-20 00:00:00+07:00,2.98,2.98,2.92,2.94,2006400,0.0,2025-01-20
2025-01-21 00:00:00+07:00,2.94,3.0,2.92,2.98,2473205,0.0,2025-01-21
2025-01-22 00:00:00+07:00,2.98,3.02,2.96,2.96,757727,0.0,2025-01-22
2025-01-23 00:00:00+07:00,2.96,2.98,2.92,2.94,1266100,0.0,2025-01-23
2025-01-24 00:00:00+07:00,2.94,2.98,2.92,2.96,855007,0.0,2025-01-24
2025-01-27 00:00:00+07:00,2.92,2.96,2.92,2.92,787150,0.0,2025-01-27
2025-01-28 00:00:00+07:00,2.92,2.94,2.9,2.92,942013,0.0,2025-01-28
2025-01-29 00:00:00+07:00,2.92,2.96,2.9,2.94,2035038,0.0,2025-01-29
