time,open,high,low,close,volume,value,date
2024-11-04 00:00:00+07:00,3.66,3.68,3.48,3.5,24001905,0.0,2024-11-04
2024-11-11 00:00:00+07:00,3.52,3.56,3.22,3.22,30485747,0.0,2024-11-11
2024-11-18 00:00:00+07:00,3.22,3.42,3.2,3.38,28247123,0.0,2024-11-18
2024-11-25 00:00:00+07:00,3.38,3.44,3.2,3.28,24056621,0.0,2024-11-25
2024-12-02 00:00:00+07:00,3.28,3.4,3.28,3.36,11538313,0.0,2024-12-02
2024-12-09 00:00:00+07:00,3.36,3.36,3.2,3.28,15008326,0.0,2024-12-09
2024-12-16 00:00:00+07:00,3.26,3.28,3.02,3.06,34027555,0.0,2024-12-16
2024-12-23 00:00:00+07:00,3.06,3.2,3.0,3.16,18328695,0.0,2024-12-23
2024-12-30 00:00:00+07:00,3.22,3.22,3.12,3.14,4935095,0.0,2024-12-30
2025-01-06 00:00:00+07:00,3.12,3.2,3.02,3.02,11200180,0.0,2025-01-06
2025-01-13 00:00:00+07:00,3.04,3.08,2.86,2.98,13077732,0.0,2025-01-13
2025-01-20 00:00:00+07:00,2.98,3.02,2.92,2.96,7358439,0.0,2025-01-20
2025-01-27 00:00:00+07:00,2.92,2.96,2.82,2.9,10278082,0.0,2025-01-27
2025-02-03 00:00:00+07:00,2.86,2.88,2.58,2.68,21275898,0.0,2025-02-03
2025-02-10 00:00:00+07:00,2.68,2.78,2.64,2.74,11650148,0.0,2025-02-10
2025-02-17 00:00:00+07:00,2.7,2.92,2.58,2.74,35966555,0.0,2025-02-17
2025-02-24 00:00:00+07:00,2.72,2.82,2.6,2.64,30795089,0.0,2025-02-24
2025-03-03 00:00:00+07:00,2.66,2.76,2.6,2.74,15354031,0.0,2025-03-03
2025-03-10 00:00:00+07:00,2.76,2.76,2.58,2.66,20768427,0.0,2025-03-10
2025-03-17 00:00:00+07:00,2.64,2.74,2.58,2.66,24551381,0.0,2025-03-17
2025-03-24 00:00:00+07:00,2.66,2.66,2.54,2.54,11209905,0.0,2025-03-24
2025-03-31 00:00:00+07:00,2.52,2.6,2.46,2.52,16911110,0.0,2025-03-31
2025-04-08 00:00:00+07:00,2.44,2.62,2.38,2.5,25495221,0.0,2025-04-08
2025-04-16 00:00:00+07:00,2.46,2.76,2.46,2.76,13587550,0.0,2025-04-16
2025-04-21 00:00:00+07:00,2.76,2.86,2.68,2.74,19896143,0.0,2025-04-21
2025-04-28 00:00:00+07:00,2.72,2.82,2.66,2.82,9649695,0.0,2025-04-28
2025-05-06 00:00:00+07:00,2.82,2.9,2.62,2.86,23049881,0.0,2025-05-06
2025-05-13 00:00:00+07:00,2.92,3.04,2.84,2.9,23796712,0.0,2025-05-13
2025-05-19 00:00:00+07:00,2.88,2.94,2.68,2.78,22254877,0.0,2025-05-19
2025-05-26 00:00:00+07:00,2.78,2.86,2.7,2.8,13723005,0.0,2025-05-26
2025-06-04 00:00:00+07:00,2.8,2.84,2.72,2.84,9275862,0.0,2025-06-04
2025-06-09 00:00:00+07:00,2.86,2.88,2.46,2.48,27422403,0.0,2025-06-09
2025-06-16 00:00:00+07:00,2.48,2.5,2.12,2.12,69286058,0.0,2025-06-16
2025-06-23 00:00:00+07:00,2.12,2.34,2.1,2.3,15734168,0.0,2025-06-23
2025-06-30 00:00:00+07:00,2.32,2.4,2.16,2.36,22769749,0.0,2025-06-30
2025-07-07 00:00:00+07:00,2.34,2.5,2.34,2.44,14784032,0.0,2025-07-07
2025-07-14 00:00:00+07:00,2.46,2.72,2.44,2.66,27311114,0.0,2025-07-14
2025-07-21 00:00:00+07:00,2.68,2.76,2.58,2.7,40591851,0.0,2025-07-21
2025-07-29 00:00:00+07:00,2.72,2.74,2.56,2.58,38537167,0.0,2025-07-29
2025-08-04 00:00:00+07:00,2.58,3.0,2.52,2.9,76107350,0.0,2025-08-04
2025-08-13 00:00:00+07:00,2.94,2.94,2.78,2.82,17488003,0.0,2025-08-13
2025-08-18 00:00:00+07:00,2.82,2.9,2.76,2.88,20366687,0.0,2025-08-18
2025-08-25 00:00:00+07:00,2.92,2.94,2.74,2.76,19322637,0.0,2025-08-25
2025-09-01 00:00:00+07:00,2.76,2.9,2.68,2.88,36195592,0.0,2025-09-01
2025-09-08 00:00:00+07:00,2.92,3.0,2.86,2.92,40041215,0.0,2025-09-08
2025-09-15 00:00:00+07:00,2.92,3.0,2.86,2.88,50288927,0.0,2025-09-15
2025-09-22 00:00:00+07:00,2.94,2.98,2.66,2.74,61888496,0.0,2025-09-22
2025-09-29 00:00:00+07:00,2.74,2.84,2.72,2.78,27425933,0.0,2025-09-29
2025-10-06 00:00:00+07:00,2.78,2.82,2.62,2.62,48229397,0.0,2025-10-06
2025-10-14 00:00:00+07:00,2.62,2.7,2.52,2.56,56406451,0.0,2025-10-14
2025-10-20 00:00:00+07:00,2.58,2.66,2.52,2.62,25653062,0.0,2025-10-20
2025-10-27 00:00:00+07:00,2.62,2.64,2.48,2.56,29593789,11107848.0,2025-10-27
