time,open,high,low,close,volume,value,date
2024-10-31 00:00:00+07:00,18.9,19.3,18.7,19.2,4358004,0.0,2024-10-31
2024-11-01 00:00:00+07:00,19.0,19.3,19.0,19.3,1046928,0.0,2024-11-01
2024-11-04 00:00:00+07:00,19.3,19.5,19.0,19.1,1127722,0.0,2024-11-04
2024-11-05 00:00:00+07:00,19.1,19.3,19.1,19.3,516967,0.0,2024-11-05
2024-11-06 00:00:00+07:00,19.2,19.4,19.0,19.1,1627722,0.0,2024-11-06
2024-11-07 00:00:00+07:00,19.0,19.2,18.6,18.7,2531817,0.0,2024-11-07
2024-11-08 00:00:00+07:00,18.6,19.0,18.6,18.8,1170723,0.0,2024-11-08
2024-11-11 00:00:00+07:00,18.8,18.8,18.1,18.2,3095937,0.0,2024-11-11
2024-11-12 00:00:00+07:00,18.2,18.2,17.6,17.8,3473535,0.0,2024-11-12
2024-11-13 00:00:00+07:00,17.6,18.1,17.1,18.1,4209781,0.0,2024-11-13
2024-11-14 00:00:00+07:00,18.1,18.3,17.9,18.0,1938435,0.0,2024-11-14
2024-11-15 00:00:00+07:00,18.1,18.2,17.7,18.0,2852882,0.0,2024-11-15
2024-11-18 00:00:00+07:00,18.2,18.3,17.7,17.9,1947781,0.0,2024-11-18
2024-11-19 00:00:00+07:00,17.9,18.5,17.9,18.4,2293704,0.0,2024-11-19
2024-11-20 00:00:00+07:00,18.4,18.4,17.8,17.9,2132706,0.0,2024-11-20
2024-11-21 00:00:00+07:00,18.0,18.4,17.8,18.3,2428287,0.0,2024-11-21
2024-11-22 00:00:00+07:00,18.3,18.3,17.9,18.3,2387722,0.0,2024-11-22
2024-11-25 00:00:00+07:00,18.3,18.4,17.9,18.4,2374980,0.0,2024-11-25
2024-11-26 00:00:00+07:00,18.4,18.4,18.0,18.0,1189564,0.0,2024-11-26
2024-11-27 00:00:00+07:00,18.2,18.2,17.8,17.9,1391310,0.0,2024-11-27
2024-11-28 00:00:00+07:00,17.8,17.9,17.5,17.8,2722803,0.0,2024-11-28
2024-11-29 00:00:00+07:00,17.7,18.3,17.7,18.2,1334245,0.0,2024-11-29
2024-12-02 00:00:00+07:00,19.3,19.4,19.1,19.3,9952813,0.0,2024-12-02
2024-12-03 00:00:00+07:00,19.3,19.8,19.3,19.7,5526950,0.0,2024-12-03
2024-12-04 00:00:00+07:00,19.6,19.8,19.4,19.7,4038681,0.0,2024-12-04
2024-12-06 00:00:00+07:00,19.8,19.8,19.3,19.5,4688847,0.0,2024-12-06
2024-12-09 00:00:00+07:00,19.5,20.0,19.5,19.9,7843652,0.0,2024-12-09
2024-12-11 00:00:00+07:00,19.8,20.0,19.6,20.0,5090129,0.0,2024-12-11
2024-12-12 00:00:00+07:00,19.8,20.0,19.6,19.7,4835274,0.0,2024-12-12
2024-12-13 00:00:00+07:00,19.6,19.8,19.4,19.6,4599725,0.0,2024-12-13
2024-12-16 00:00:00+07:00,19.7,19.7,19.2,19.5,2612761,0.0,2024-12-16
2024-12-17 00:00:00+07:00,19.5,19.5,18.7,19.4,7138414,0.0,2024-12-17
2024-12-18 00:00:00+07:00,19.2,19.3,18.8,18.9,4160010,0.0,2024-12-18
2024-12-19 00:00:00+07:00,18.8,18.8,18.0,18.2,6638536,0.0,2024-12-19
2024-12-20 00:00:00+07:00,18.3,18.5,18.1,18.2,1792758,0.0,2024-12-20
2024-12-23 00:00:00+07:00,18.3,18.3,17.9,18.2,2151386,0.0,2024-12-23
2024-12-24 00:00:00+07:00,18.3,18.7,18.2,18.7,2255303,0.0,2024-12-24
2024-12-25 00:00:00+07:00,18.7,18.7,18.3,18.4,2288283,0.0,2024-12-25
2024-12-26 00:00:00+07:00,18.4,18.7,18.3,18.3,4580216,0.0,2024-12-26
2024-12-27 00:00:00+07:00,18.2,18.7,18.2,18.6,2144883,0.0,2024-12-27
2024-12-30 00:00:00+07:00,18.6,19.2,18.4,19.2,3743568,0.0,2024-12-30
2025-01-02 00:00:00+07:00,19.0,19.1,18.5,18.9,4082777,0.0,2025-01-02
2025-01-03 00:00:00+07:00,19.0,19.0,18.3,18.3,4107458,0.0,2025-01-03
2025-01-06 00:00:00+07:00,18.4,18.4,18.1,18.1,2116386,0.0,2025-01-06
2025-01-07 00:00:00+07:00,18.3,18.4,18.0,18.2,1558812,0.0,2025-01-07
2025-01-08 00:00:00+07:00,18.2,18.3,18.0,18.2,2033909,0.0,2025-01-08
2025-01-09 00:00:00+07:00,18.2,18.2,17.4,17.4,4043356,0.0,2025-01-09
2025-01-10 00:00:00+07:00,17.5,17.7,17.2,17.3,6308406,0.0,2025-01-10
2025-01-13 00:00:00+07:00,17.2,17.3,16.8,17.2,3231480,0.0,2025-01-13
2025-01-14 00:00:00+07:00,17.1,17.2,16.5,16.5,3587145,0.0,2025-01-14
2025-01-15 00:00:00+07:00,16.5,17.0,16.5,16.9,1826572,0.0,2025-01-15
2025-01-16 00:00:00+07:00,17.0,17.1,16.6,17.0,2081174,0.0,2025-01-16
2025-01-17 00:00:00+07:00,16.9,16.9,16.6,16.6,722153,0.0,2025-01-17
2025-01-20 00:00:00+07:00,16.6,16.8,16.3,16.4,1033139,0.0,2025-01-20
2025-01-21 00:00:00+07:00,16.4,16.8,16.4,16.6,2043905,0.0,2025-01-21
2025-01-22 00:00:00+07:00,16.8,16.8,16.5,16.7,1717449,0.0,2025-01-22
