time,open,high,low,close,volume,value,date
2024-11-04 00:00:00+07:00,19.3,19.5,18.6,18.8,6974951,0.0,2024-11-04
2024-11-11 00:00:00+07:00,18.8,18.8,17.1,18.0,15570570,0.0,2024-11-11
2024-11-18 00:00:00+07:00,18.2,18.5,17.7,18.3,11190200,0.0,2024-11-18
2024-11-25 00:00:00+07:00,18.3,18.4,17.5,18.2,9012902,0.0,2024-11-25
2024-12-02 00:00:00+07:00,19.3,19.8,19.1,19.5,24207291,0.0,2024-12-02
2024-12-09 00:00:00+07:00,19.5,20.0,19.4,19.6,22368780,0.0,2024-12-09
2024-12-16 00:00:00+07:00,19.7,19.7,18.0,18.2,22342479,0.0,2024-12-16
2024-12-23 00:00:00+07:00,18.3,18.7,17.9,18.6,13420071,0.0,2024-12-23
2024-12-30 00:00:00+07:00,18.6,19.2,18.3,18.3,11933803,0.0,2024-12-30
2025-01-06 00:00:00+07:00,18.4,18.4,17.2,17.3,16060869,0.0,2025-01-06
2025-01-13 00:00:00+07:00,17.2,17.3,16.5,16.6,11448524,0.0,2025-01-13
2025-01-20 00:00:00+07:00,16.6,16.8,16.3,16.7,8132310,0.0,2025-01-20
2025-01-27 00:00:00+07:00,16.6,17.3,16.1,16.5,10629701,0.0,2025-01-27
2025-02-03 00:00:00+07:00,16.2,16.6,14.9,16.0,14881651,0.0,2025-02-03
2025-02-10 00:00:00+07:00,16.0,16.0,15.1,15.4,12330173,0.0,2025-02-10
2025-02-17 00:00:00+07:00,15.3,15.9,14.8,15.2,18597451,0.0,2025-02-17
2025-02-24 00:00:00+07:00,15.1,15.4,11.6,13.8,48107515,0.0,2025-02-24
2025-03-03 00:00:00+07:00,13.8,15.4,13.3,15.2,26081803,0.0,2025-03-03
2025-03-10 00:00:00+07:00,15.3,15.4,13.6,13.9,24110360,0.0,2025-03-10
2025-03-17 00:00:00+07:00,14.0,14.5,14.0,14.5,11977510,0.0,2025-03-17
2025-03-24 00:00:00+07:00,14.5,14.7,14.1,14.3,7741598,0.0,2025-03-24
2025-03-31 00:00:00+07:00,13.7,14.7,13.5,13.9,21756548,0.0,2025-03-31
2025-04-08 00:00:00+07:00,13.8,14.2,13.2,14.1,11249894,0.0,2025-04-08
2025-04-16 00:00:00+07:00,14.0,16.2,14.0,15.9,14222395,0.0,2025-04-16
2025-04-21 00:00:00+07:00,15.8,16.1,15.3,16.0,7453337,0.0,2025-04-21
2025-04-28 00:00:00+07:00,15.8,15.8,13.9,14.0,19322636,0.0,2025-04-28
2025-05-06 00:00:00+07:00,14.0,15.0,13.7,14.6,17810689,0.0,2025-05-06
2025-05-13 00:00:00+07:00,14.6,14.8,13.7,14.7,19639591,0.0,2025-05-13
2025-05-19 00:00:00+07:00,14.6,15.3,14.1,14.6,13623517,0.0,2025-05-19
2025-05-26 00:00:00+07:00,14.6,15.1,14.2,14.9,13556101,0.0,2025-05-26
2025-06-04 00:00:00+07:00,15.0,15.0,14.1,14.2,6725429,0.0,2025-06-04
2025-06-09 00:00:00+07:00,14.2,14.6,13.9,14.0,8727964,0.0,2025-06-09
2025-06-16 00:00:00+07:00,13.9,13.9,10.8,11.0,22322481,0.0,2025-06-16
2025-06-23 00:00:00+07:00,10.8,11.7,10.2,10.9,23220980,0.0,2025-06-23
2025-06-30 00:00:00+07:00,11.1,11.9,11.0,11.2,15668324,0.0,2025-06-30
2025-07-07 00:00:00+07:00,11.1,11.7,10.6,11.6,12104953,0.0,2025-07-07
2025-07-14 00:00:00+07:00,11.7,12.7,11.5,12.5,26876285,0.0,2025-07-14
2025-07-21 00:00:00+07:00,12.7,12.9,12.3,12.4,15234274,0.0,2025-07-21
2025-07-29 00:00:00+07:00,12.4,13.8,12.4,13.2,14351353,0.0,2025-07-29
2025-08-04 00:00:00+07:00,13.2,14.1,12.8,13.7,15768226,0.0,2025-08-04
2025-08-13 00:00:00+07:00,14.0,14.2,13.2,13.9,14761916,0.0,2025-08-13
2025-08-18 00:00:00+07:00,13.9,14.6,13.9,14.3,15536015,0.0,2025-08-18
2025-08-25 00:00:00+07:00,14.5,14.8,13.9,14.5,22151111,0.0,2025-08-25
2025-09-01 00:00:00+07:00,14.6,15.8,14.4,15.8,24235478,0.0,2025-09-01
2025-09-08 00:00:00+07:00,16.5,17.3,15.8,17.2,21450087,0.0,2025-09-08
2025-09-15 00:00:00+07:00,17.2,17.6,16.9,17.5,15558242,0.0,2025-09-15
2025-09-22 00:00:00+07:00,17.5,17.5,15.2,15.7,44750316,0.0,2025-09-22
2025-09-29 00:00:00+07:00,15.8,16.3,15.1,16.3,31184968,0.0,2025-09-29
2025-10-06 00:00:00+07:00,16.2,16.8,15.9,16.4,20515411,0.0,2025-10-06
2025-10-14 00:00:00+07:00,16.3,16.6,15.5,15.5,11318140,0.0,2025-10-14
2025-10-20 00:00:00+07:00,15.6,16.0,15.4,15.4,7094573,0.0,2025-10-20
2025-10-27 00:00:00+07:00,15.5,16.0,15.2,15.3,8461881,14764970.0,2025-10-27
