time,open,high,low,close,volume,value
2025-08-01 09:00:00+07:00,13.7,13.7,13.6,13.6,25600,0.0
2025-08-01 10:00:00+07:00,13.7,13.8,13.4,13.4,309000,0.0
2025-08-01 11:00:00+07:00,13.5,13.5,13.4,13.5,13300,0.0
2025-08-01 12:00:00+07:00,13.5,13.5,13.4,13.4,20800,0.0
2025-08-01 13:00:00+07:00,13.4,13.5,13.4,13.5,13600,0.0
2025-08-01 14:00:00+07:00,13.5,13.5,13.4,13.5,50300,0.0
2025-08-01 15:00:00+07:00,13.5,13.5,13.2,13.3,900700,0.0
2025-08-01 16:00:00+07:00,13.3,13.4,13.1,13.2,736500,0.0
2025-08-04 09:00:00+07:00,13.2,13.2,13.2,13.2,15600,0.0
2025-08-04 10:00:00+07:00,13.2,13.2,12.8,13.0,1033900,0.0
2025-08-04 11:00:00+07:00,13.0,13.0,12.9,12.9,620800,0.0
2025-08-04 12:00:00+07:00,13.0,13.0,12.8,12.9,200100,0.0
2025-08-04 13:00:00+07:00,12.9,12.9,12.9,12.9,4500,0.0
2025-08-04 14:00:00+07:00,12.9,13.0,12.8,13.0,979600,0.0
2025-08-04 15:00:00+07:00,13.0,13.1,12.9,13.1,576300,0.0
2025-08-04 16:00:00+07:00,13.1,13.1,13.0,13.0,501900,0.0
2025-08-05 09:00:00+07:00,13.0,13.1,13.0,13.1,22600,0.0
2025-08-05 10:00:00+07:00,13.1,13.3,13.1,13.3,176000,0.0
2025-08-05 11:00:00+07:00,13.3,13.5,13.3,13.4,274200,0.0
2025-08-05 12:00:00+07:00,13.4,13.4,13.3,13.4,311500,0.0
2025-08-05 13:00:00+07:00,13.3,13.3,13.3,13.3,5100,0.0
2025-08-05 14:00:00+07:00,13.4,13.6,13.4,13.5,585900,0.0
2025-08-05 15:00:00+07:00,13.5,13.7,13.5,13.5,626700,0.0
2025-08-05 16:00:00+07:00,13.6,13.6,13.4,13.4,205600,0.0
2025-08-06 09:00:00+07:00,13.6,13.6,13.6,13.6,21100,0.0
2025-08-06 10:00:00+07:00,13.7,13.8,13.5,13.7,608900,0.0
2025-08-06 11:00:00+07:00,13.7,13.9,13.7,13.9,586900,0.0
2025-08-06 12:00:00+07:00,13.8,13.9,13.7,13.8,141700,0.0
2025-08-06 13:00:00+07:00,13.7,13.7,13.7,13.7,14600,0.0
2025-08-06 14:00:00+07:00,13.8,13.9,13.8,13.9,422400,0.0
