time,open,high,low,close,volume,value,date
2024-11-01 00:00:00+07:00,11.3,12.0,10.5,11.9,180357796,0.0,2024-11-01
2024-12-01 00:00:00+07:00,12.0,12.3,11.3,12.2,89273235,0.0,2024-12-01
2025-01-01 00:00:00+07:00,12.2,12.5,9.25,10.2,147315045,0.0,2025-01-01
2025-02-01 00:00:00+07:00,10.1,10.5,7.45,7.55,188696483,0.0,2025-02-01
2025-03-01 00:00:00+07:00,7.55,7.7,6.7,6.85,126033306,0.0,2025-03-01
2025-04-01 00:00:00+07:00,6.9,7.2,5.45,6.9,146910851,0.0,2025-04-01
2025-05-01 00:00:00+07:00,6.9,7.4,6.05,6.05,81227802,0.0,2025-05-01
2025-06-01 00:00:00+07:00,6.1,6.25,5.05,5.8,45845018,0.0,2025-06-01
2025-07-01 00:00:00+07:00,5.85,8.0,5.8,7.55,214690245,0.0,2025-07-01
2025-08-01 00:00:00+07:00,7.8,8.45,7.4,7.6,116316684,0.0,2025-08-01
2025-09-01 00:00:00+07:00,7.6,8.65,7.55,8.35,96715351,0.0,2025-09-01
2025-10-01 00:00:00+07:00,8.3,8.35,7.0,7.15,38448256,1375830.0,2025-10-01
