time,open,high,low,close,volume,value,date
2024-11-04 00:00:00+07:00,28.0,28.25,26.25,27.0,44382493,0.0,2024-11-04
2024-11-11 00:00:00+07:00,27.0,28.0,25.5,26.5,59739172,0.0,2024-11-11
2024-11-18 00:00:00+07:00,26.75,27.5,25.25,27.0,33770698,0.0,2024-11-18
2024-11-25 00:00:00+07:00,27.5,27.75,26.25,26.5,31939362,0.0,2024-11-25
2024-12-02 00:00:00+07:00,27.0,28.0,26.75,27.25,22351833,0.0,2024-12-02
2024-12-09 00:00:00+07:00,27.25,27.75,26.75,27.0,24338255,0.0,2024-12-09
2024-12-16 00:00:00+07:00,27.0,27.75,26.25,26.75,61285024,0.0,2024-12-16
2024-12-23 00:00:00+07:00,27.0,27.5,25.75,27.0,32078935,0.0,2024-12-23
2024-12-30 00:00:00+07:00,26.75,27.0,25.0,25.5,40680097,0.0,2024-12-30
2025-01-06 00:00:00+07:00,26.0,26.0,23.5,24.3,64369502,0.0,2025-01-06
2025-01-13 00:00:00+07:00,23.8,24.3,22.2,23.2,87916916,0.0,2025-01-13
2025-01-20 00:00:00+07:00,23.4,24.1,22.6,22.8,40291382,0.0,2025-01-20
2025-01-27 00:00:00+07:00,22.5,23.9,21.9,22.0,42361624,0.0,2025-01-27
2025-02-03 00:00:00+07:00,20.3,23.3,20.2,21.5,73153734,0.0,2025-02-03
2025-02-10 00:00:00+07:00,21.0,21.9,20.8,21.2,36365175,0.0,2025-02-10
2025-02-17 00:00:00+07:00,21.4,21.9,20.9,21.6,34549996,0.0,2025-02-17
2025-02-24 00:00:00+07:00,21.4,23.3,20.9,21.9,93687757,0.0,2025-02-24
2025-03-03 00:00:00+07:00,21.9,22.4,20.9,21.2,65736804,0.0,2025-03-03
2025-03-10 00:00:00+07:00,20.4,20.6,19.3,19.5,57092222,0.0,2025-03-10
2025-03-17 00:00:00+07:00,19.5,19.9,19.0,19.6,35788794,0.0,2025-03-17
2025-03-24 00:00:00+07:00,19.5,20.2,19.3,19.9,21670342,0.0,2025-03-24
2025-03-31 00:00:00+07:00,19.6,20.1,18.6,18.7,28190490,0.0,2025-03-31
2025-04-08 00:00:00+07:00,17.8,20.2,16.7,18.6,53929707,0.0,2025-04-08
2025-04-16 00:00:00+07:00,19.0,19.6,18.7,19.5,13404721,0.0,2025-04-16
2025-04-21 00:00:00+07:00,19.5,20.4,18.7,20.4,52277709,0.0,2025-04-21
2025-04-28 00:00:00+07:00,20.4,20.8,19.8,20.3,23035895,0.0,2025-04-28
2025-05-06 00:00:00+07:00,20.3,21.7,20.2,21.1,34529575,0.0,2025-05-06
2025-05-13 00:00:00+07:00,21.4,21.7,20.4,21.2,38246716,0.0,2025-05-13
2025-05-19 00:00:00+07:00,21.0,21.5,20.4,20.6,40750839,0.0,2025-05-19
2025-05-26 00:00:00+07:00,20.7,20.8,19.5,19.9,36284855,0.0,2025-05-26
2025-06-04 00:00:00+07:00,19.4,19.6,18.3,19.3,32186412,0.0,2025-06-04
2025-06-09 00:00:00+07:00,19.4,19.7,18.7,18.9,18780580,0.0,2025-06-09
2025-06-16 00:00:00+07:00,18.7,19.0,17.0,17.1,43778842,0.0,2025-06-16
2025-06-23 00:00:00+07:00,16.9,18.5,16.7,17.8,40238003,0.0,2025-06-23
2025-06-30 00:00:00+07:00,18.0,20.7,17.5,20.4,65421806,0.0,2025-06-30
2025-07-07 00:00:00+07:00,20.0,20.7,19.5,19.5,43422293,0.0,2025-07-07
2025-07-14 00:00:00+07:00,19.7,21.6,19.7,21.3,56604163,0.0,2025-07-14
2025-07-21 00:00:00+07:00,21.0,21.3,20.6,20.9,34250093,0.0,2025-07-21
2025-07-29 00:00:00+07:00,20.9,22.9,20.7,22.0,46301733,0.0,2025-07-29
2025-08-04 00:00:00+07:00,22.1,23.8,21.4,23.4,49184582,0.0,2025-08-04
2025-08-13 00:00:00+07:00,24.0,25.25,23.9,24.3,57005708,0.0,2025-08-13
2025-08-18 00:00:00+07:00,24.4,26.5,24.3,25.5,49290806,0.0,2025-08-18
2025-08-25 00:00:00+07:00,25.75,26.5,24.8,25.5,47031143,0.0,2025-08-25
2025-09-01 00:00:00+07:00,25.5,26.0,25.0,25.75,40549963,0.0,2025-09-01
2025-09-08 00:00:00+07:00,25.75,26.0,23.9,24.1,105721126,0.0,2025-09-08
2025-09-15 00:00:00+07:00,24.3,26.0,23.8,24.8,85331572,0.0,2025-09-15
2025-09-22 00:00:00+07:00,24.9,26.25,24.3,25.75,91538728,0.0,2025-09-22
2025-09-29 00:00:00+07:00,26.25,27.25,25.5,27.0,58369509,0.0,2025-09-29
2025-10-06 00:00:00+07:00,27.0,28.0,26.0,27.25,44915535,0.0,2025-10-06
2025-10-14 00:00:00+07:00,27.0,27.25,25.75,26.0,32977990,0.0,2025-10-14
2025-10-20 00:00:00+07:00,26.25,26.75,25.75,26.0,22185582,0.0,2025-10-20
2025-10-27 00:00:00+07:00,26.0,26.5,24.5,25.0,42220491,124053610.0,2025-10-27
