time,open,high,low,close,volume,value
2025-08-01 09:00:00+07:00,21.9,22.0,21.9,22.0,317900,0.0
2025-08-01 10:00:00+07:00,22.1,22.2,21.9,22.0,3307200,0.0
2025-08-01 11:00:00+07:00,22.0,22.0,21.7,22.0,1907300,0.0
2025-08-01 12:00:00+07:00,22.0,22.1,21.9,22.1,760300,0.0
2025-08-01 13:00:00+07:00,22.2,22.9,22.1,22.8,2558600,0.0
2025-08-01 14:00:00+07:00,22.8,22.9,22.3,22.4,2987300,0.0
2025-08-01 15:00:00+07:00,22.3,22.5,22.1,22.1,3168100,0.0
2025-08-01 16:00:00+07:00,22.1,22.2,22.0,22.0,1923000,0.0
2025-08-04 09:00:00+07:00,22.1,22.2,22.0,22.0,455000,0.0
2025-08-04 10:00:00+07:00,22.0,22.0,21.4,21.7,3259700,0.0
2025-08-04 11:00:00+07:00,21.7,21.7,21.5,21.6,795200,0.0
2025-08-04 12:00:00+07:00,21.6,21.7,21.6,21.6,362100,0.0
2025-08-04 13:00:00+07:00,21.6,21.6,21.6,21.6,137900,0.0
2025-08-04 14:00:00+07:00,21.7,21.9,21.7,21.8,1831100,0.0
2025-08-04 15:00:00+07:00,21.8,21.8,21.6,21.6,626900,0.0
2025-08-04 16:00:00+07:00,21.6,21.7,21.6,21.6,944100,0.0
2025-08-05 09:00:00+07:00,22.0,22.3,21.9,22.1,441600,0.0
2025-08-05 10:00:00+07:00,22.2,22.3,22.0,22.2,2319700,0.0
2025-08-05 11:00:00+07:00,22.2,22.4,22.1,22.3,1859500,0.0
2025-08-05 12:00:00+07:00,22.3,22.5,22.2,22.4,773400,0.0
2025-08-05 13:00:00+07:00,22.5,22.5,22.4,22.4,173900,0.0
2025-08-05 14:00:00+07:00,22.4,22.5,22.3,22.3,1717000,0.0
2025-08-05 15:00:00+07:00,22.3,22.5,22.3,22.5,570700,0.0
2025-08-05 16:00:00+07:00,22.4,22.5,22.2,22.3,1548900,0.0
2025-08-06 09:00:00+07:00,22.3,22.5,22.3,22.5,206400,0.0
2025-08-06 10:00:00+07:00,22.5,22.7,22.3,22.6,1656000,0.0
2025-08-06 11:00:00+07:00,22.5,23.1,22.5,23.1,3009300,0.0
2025-08-06 12:00:00+07:00,23.1,23.2,23.1,23.1,809000,0.0
2025-08-06 13:00:00+07:00,23.2,23.2,23.2,23.2,59000,0.0
2025-08-06 14:00:00+07:00,23.2,23.6,23.0,23.0,3365000,0.0
2025-08-06 15:00:00+07:00,23.0,23.4,22.9,23.4,2525100,0.0
2025-08-06 16:00:00+07:00,23.4,23.4,23.2,23.2,1392100,0.0
2025-08-07 09:00:00+07:00,23.6,23.7,23.5,23.7,342000,0.0
2025-08-07 10:00:00+07:00,23.6,23.8,23.3,23.6,3819200,0.0
2025-08-07 11:00:00+07:00,23.7,23.7,23.5,23.7,2182900,0.0
2025-08-07 12:00:00+07:00,23.6,23.8,23.6,23.8,461800,0.0
2025-08-07 13:00:00+07:00,23.7,23.7,23.6,23.7,147200,0.0
2025-08-07 14:00:00+07:00,23.6,23.7,23.3,23.5,2945700,0.0
2025-08-07 15:00:00+07:00,23.5,23.6,23.2,23.3,2055600,0.0
2025-08-07 16:00:00+07:00,23.3,23.4,23.2,23.4,1534800,0.0
2025-08-08 09:00:00+07:00,23.3,23.3,23.3,23.3,139500,0.0
2025-08-08 10:00:00+07:00,23.3,23.6,23.2,23.5,1540000,0.0
2025-08-08 11:00:00+07:00,23.4,23.6,23.4,23.5,546900,0.0
2025-08-08 12:00:00+07:00,23.5,23.5,23.3,23.4,197700,0.0
2025-08-08 13:00:00+07:00,23.5,23.5,23.4,23.4,92900,0.0
2025-08-08 14:00:00+07:00,23.4,23.5,23.3,23.5,558300,0.0
2025-08-08 15:00:00+07:00,23.5,23.6,23.4,23.5,687800,0.0
2025-08-08 16:00:00+07:00,23.5,23.5,23.4,23.4,1019400,0.0
2025-08-13 09:00:00+07:00,24.0,24.2,24.0,24.2,770500,0.0
2025-08-13 10:00:00+07:00,24.2,25.25,24.0,24.7,7352900,0.0
2025-08-13 11:00:00+07:00,24.7,25.25,24.6,25.0,1947600,0.0
2025-08-13 12:00:00+07:00,25.0,25.25,24.8,25.0,1240900,0.0
2025-08-13 13:00:00+07:00,25.0,25.0,24.9,24.9,58800,0.0
2025-08-13 14:00:00+07:00,25.0,25.25,24.5,24.9,3904000,0.0
2025-08-13 15:00:00+07:00,24.8,25.25,24.6,25.0,3784700,0.0
2025-08-13 16:00:00+07:00,25.0,25.25,24.8,25.0,4501200,0.0
2025-08-14 09:00:00+07:00,24.8,24.9,24.8,24.9,385500,0.0
2025-08-14 10:00:00+07:00,24.9,24.9,23.9,24.1,4454500,0.0
2025-08-14 11:00:00+07:00,24.1,24.1,23.9,23.9,1598600,0.0
2025-08-14 12:00:00+07:00,23.9,24.1,23.9,23.9,541500,0.0
2025-08-14 13:00:00+07:00,24.3,25.0,24.2,25.0,2966500,0.0
2025-08-14 14:00:00+07:00,25.0,25.25,24.4,24.7,6928000,0.0
2025-08-14 15:00:00+07:00,24.7,24.7,24.4,24.6,3143500,0.0
2025-08-14 16:00:00+07:00,24.5,24.6,24.5,24.5,2774900,0.0
2025-08-15 09:00:00+07:00,24.5,24.5,24.2,24.4,329400,0.0
2025-08-15 10:00:00+07:00,24.5,24.7,24.2,24.6,2383000,0.0
2025-08-15 11:00:00+07:00,24.6,24.6,24.2,24.3,693900,0.0
2025-08-15 12:00:00+07:00,24.3,24.4,24.2,24.3,284600,0.0
2025-08-15 13:00:00+07:00,24.2,24.2,24.2,24.2,156700,0.0
2025-08-15 14:00:00+07:00,24.2,24.5,24.1,24.5,2436800,0.0
2025-08-15 15:00:00+07:00,24.4,24.6,24.4,24.5,2642200,0.0
2025-08-15 16:00:00+07:00,24.6,24.6,24.3,24.3,1721600,0.0
2025-08-18 09:00:00+07:00,24.4,24.7,24.4,24.4,428100,0.0
2025-08-18 10:00:00+07:00,24.4,24.8,24.4,24.7,2577900,0.0
2025-08-18 11:00:00+07:00,24.7,24.7,24.5,24.5,898000,0.0
2025-08-18 12:00:00+07:00,24.6,24.6,24.5,24.6,266500,0.0
2025-08-18 13:00:00+07:00,24.5,24.6,24.4,24.6,411200,0.0
2025-08-18 14:00:00+07:00,24.5,24.6,24.3,24.3,1310900,0.0
2025-08-18 15:00:00+07:00,24.3,24.5,24.3,24.3,1087900,0.0
2025-08-18 16:00:00+07:00,24.3,24.6,24.3,24.5,2289800,0.0
2025-08-19 09:00:00+07:00,24.3,24.4,24.3,24.4,170700,0.0
2025-08-19 10:00:00+07:00,24.4,24.6,24.3,24.5,1965500,0.0
2025-08-19 11:00:00+07:00,24.5,24.5,24.3,24.5,660800,0.0
2025-08-19 12:00:00+07:00,24.5,24.7,24.4,24.6,1412800,0.0
2025-08-19 13:00:00+07:00,24.6,24.6,24.6,24.6,163500,0.0
2025-08-19 14:00:00+07:00,24.6,24.7,24.5,24.6,850400,0.0
2025-08-19 15:00:00+07:00,24.6,24.6,24.5,24.6,804300,0.0
2025-08-19 16:00:00+07:00,24.5,24.7,24.4,24.7,2956300,0.0
2025-08-20 09:00:00+07:00,24.5,24.7,24.5,24.7,347700,0.0
2025-08-20 10:00:00+07:00,24.7,25.5,24.7,25.5,4258400,0.0
2025-08-20 11:00:00+07:00,25.5,25.5,25.25,25.25,1190500,0.0
2025-08-20 12:00:00+07:00,25.5,25.75,25.25,25.25,1069300,0.0
2025-08-20 13:00:00+07:00,25.75,25.75,25.5,25.75,190900,0.0
2025-08-20 14:00:00+07:00,25.75,25.75,25.25,25.5,3134400,0.0
2025-08-20 15:00:00+07:00,25.5,25.5,25.25,25.5,913900,0.0
2025-08-20 16:00:00+07:00,25.5,25.75,25.5,25.75,1042100,0.0
2025-08-21 09:00:00+07:00,26.25,26.5,26.0,26.25,1390500,0.0
2025-08-21 10:00:00+07:00,26.5,26.5,26.25,26.25,3165600,0.0
2025-08-21 11:00:00+07:00,26.25,26.5,26.25,26.25,1735700,0.0
2025-08-21 12:00:00+07:00,26.25,26.5,26.25,26.5,649100,0.0
2025-08-21 13:00:00+07:00,26.5,26.5,26.5,26.5,341800,0.0
2025-08-21 14:00:00+07:00,26.5,26.5,26.25,26.5,1319500,0.0
2025-08-21 15:00:00+07:00,26.5,26.5,26.0,26.0,1786700,0.0
2025-08-21 16:00:00+07:00,26.25,26.25,25.75,25.75,2040200,0.0
2025-08-22 09:00:00+07:00,26.0,26.0,26.0,26.0,180500,0.0
2025-08-22 10:00:00+07:00,26.0,26.25,25.5,25.75,1617400,0.0
2025-08-22 11:00:00+07:00,25.75,26.0,25.75,26.0,282300,0.0
2025-08-22 12:00:00+07:00,26.0,26.0,25.75,25.75,289800,0.0
2025-08-22 13:00:00+07:00,26.0,26.0,25.75,26.0,88300,0.0
2025-08-22 14:00:00+07:00,26.0,26.0,25.5,25.75,1295500,0.0
2025-08-22 15:00:00+07:00,25.75,25.75,25.5,25.75,403900,0.0
2025-08-22 16:00:00+07:00,25.75,25.75,25.25,25.5,2297300,0.0
2025-08-25 09:00:00+07:00,25.75,25.75,25.75,25.75,98600,0.0
2025-08-25 10:00:00+07:00,25.75,26.25,25.5,25.75,2049900,0.0
2025-08-25 11:00:00+07:00,25.75,25.75,25.25,25.5,806500,0.0
2025-08-25 12:00:00+07:00,25.5,25.5,25.25,25.25,298900,0.0
2025-08-25 13:00:00+07:00,25.5,25.5,25.5,25.5,122000,0.0
2025-08-25 14:00:00+07:00,25.5,25.75,25.5,25.75,1651900,0.0
2025-08-25 15:00:00+07:00,25.75,25.75,25.5,25.5,730500,0.0
2025-08-25 16:00:00+07:00,25.75,25.75,25.5,25.5,792400,0.0
2025-08-26 09:00:00+07:00,25.0,25.25,25.0,25.25,294100,0.0
2025-08-26 10:00:00+07:00,25.25,25.5,24.8,25.0,5428800,0.0
2025-08-26 11:00:00+07:00,25.25,25.75,25.25,25.75,2190100,0.0
2025-08-26 12:00:00+07:00,25.75,25.75,25.5,25.5,426000,0.0
2025-08-26 13:00:00+07:00,25.75,25.75,25.5,25.5,117800,0.0
2025-08-26 14:00:00+07:00,25.5,25.75,25.25,25.75,859100,0.0
2025-08-26 15:00:00+07:00,25.75,26.0,25.5,25.5,2218600,0.0
2025-08-26 16:00:00+07:00,25.5,26.0,25.5,26.0,4860500,0.0
2025-08-27 09:00:00+07:00,26.25,26.25,26.25,26.25,76400,0.0
2025-08-27 10:00:00+07:00,26.25,26.5,26.0,26.5,1890400,0.0
2025-08-27 11:00:00+07:00,26.5,26.5,26.0,26.0,784800,0.0
2025-08-27 12:00:00+07:00,26.25,26.25,26.0,26.25,39400,0.0
2025-08-27 13:00:00+07:00,26.0,26.0,26.0,26.0,54600,0.0
2025-08-27 14:00:00+07:00,26.25,26.25,26.0,26.0,814300,0.0
2025-08-27 15:00:00+07:00,26.0,26.25,25.75,26.0,1108900,0.0
