time,open,high,low,close,volume,value,date
2024-11-01 00:00:00+07:00,24.7,24.9,23.6,23.9,329000181,0.0,2024-11-01
2024-12-01 00:00:00+07:00,24.0,24.4,22.0,22.8,261274154,0.0,2024-12-01
2025-01-01 00:00:00+07:00,22.8,23.4,21.5,22.0,227511404,0.0,2025-01-01
2025-02-01 00:00:00+07:00,21.6,24.6,19.8,24.4,407599130,0.0,2025-02-01
2025-03-01 00:00:00+07:00,24.3,24.4,23.0,23.8,319204670,0.0,2025-03-01
2025-04-01 00:00:00+07:00,23.9,26.5,21.8,26.5,505839632,0.0,2025-04-01
2025-05-01 00:00:00+07:00,26.25,26.5,24.4,24.5,409193283,0.0,2025-05-01
2025-06-01 00:00:00+07:00,25.0,26.5,21.7,23.0,653306639,0.0,2025-06-01
2025-07-01 00:00:00+07:00,23.1,23.5,21.1,22.8,538716397,0.0,2025-07-01
2025-08-01 00:00:00+07:00,23.1,24.7,21.9,21.9,506552651,0.0,2025-08-01
2025-09-01 00:00:00+07:00,22.2,23.9,21.8,22.3,459767258,0.0,2025-09-01
2025-10-01 00:00:00+07:00,22.2,23.4,21.1,21.1,387325135,390168180.0,2025-10-01
