time,open,high,low,close,volume,value,date
2024-10-31 00:00:00+07:00,24.8,24.9,24.5,24.8,20994363,0.0,2024-10-31
2024-11-01 00:00:00+07:00,24.7,24.8,24.6,24.7,6848820,0.0,2024-11-01
2024-11-04 00:00:00+07:00,24.8,24.8,24.4,24.4,10538771,0.0,2024-11-04
2024-11-05 00:00:00+07:00,24.5,24.9,24.4,24.9,13999208,0.0,2024-11-05
2024-11-06 00:00:00+07:00,24.9,24.9,24.2,24.2,17837382,0.0,2024-11-06
2024-11-07 00:00:00+07:00,24.4,24.8,24.2,24.4,19772793,0.0,2024-11-07
2024-11-08 00:00:00+07:00,24.6,24.8,24.3,24.4,20694148,0.0,2024-11-08
2024-11-11 00:00:00+07:00,24.5,24.6,24.0,24.2,12597753,0.0,2024-11-11
2024-11-12 00:00:00+07:00,24.2,24.4,24.1,24.3,12878209,0.0,2024-11-12
2024-11-13 00:00:00+07:00,24.3,24.7,24.2,24.7,13762790,0.0,2024-11-13
2024-11-14 00:00:00+07:00,24.6,24.7,24.3,24.6,17110664,0.0,2024-11-14
2024-11-15 00:00:00+07:00,24.2,24.6,23.9,24.4,27615959,0.0,2024-11-15
2024-11-18 00:00:00+07:00,24.5,24.7,24.3,24.3,21733877,0.0,2024-11-18
2024-11-19 00:00:00+07:00,24.4,24.6,24.3,24.4,10163622,0.0,2024-11-19
2024-11-20 00:00:00+07:00,24.5,24.5,24.0,24.0,9369293,0.0,2024-11-20
2024-11-21 00:00:00+07:00,24.4,24.7,24.1,24.2,20291097,0.0,2024-11-21
2024-11-22 00:00:00+07:00,24.5,24.5,24.2,24.4,12134172,0.0,2024-11-22
2024-11-25 00:00:00+07:00,24.4,24.5,24.1,24.5,27911826,0.0,2024-11-25
2024-11-26 00:00:00+07:00,24.3,24.3,24.0,24.0,15951364,0.0,2024-11-26
2024-11-27 00:00:00+07:00,24.1,24.3,23.9,24.0,10459690,0.0,2024-11-27
2024-11-28 00:00:00+07:00,24.0,24.0,23.7,23.7,10642739,0.0,2024-11-28
2024-11-29 00:00:00+07:00,23.7,24.0,23.6,23.9,16686004,0.0,2024-11-29
2024-12-02 00:00:00+07:00,24.0,24.1,23.6,23.9,17061001,0.0,2024-12-02
2024-12-03 00:00:00+07:00,23.9,24.3,23.8,24.2,13987709,0.0,2024-12-03
2024-12-04 00:00:00+07:00,24.4,24.4,24.0,24.1,12780666,0.0,2024-12-04
2024-12-06 00:00:00+07:00,24.1,24.3,24.0,24.1,9924254,0.0,2024-12-06
2024-12-09 00:00:00+07:00,24.1,24.2,23.9,23.9,8521614,0.0,2024-12-09
2024-12-11 00:00:00+07:00,24.0,24.4,23.8,23.9,16283931,0.0,2024-12-11
2024-12-12 00:00:00+07:00,23.9,24.2,23.8,24.0,13345116,0.0,2024-12-12
2024-12-13 00:00:00+07:00,24.0,24.1,23.9,24.0,6497350,0.0,2024-12-13
2024-12-16 00:00:00+07:00,24.0,24.0,23.5,23.6,16228863,0.0,2024-12-16
2024-12-17 00:00:00+07:00,23.6,23.6,22.4,22.4,35035234,0.0,2024-12-17
2024-12-18 00:00:00+07:00,22.5,23.2,22.4,23.0,16157847,0.0,2024-12-18
2024-12-19 00:00:00+07:00,22.9,22.9,22.0,22.1,19693404,0.0,2024-12-19
2024-12-20 00:00:00+07:00,22.1,22.8,22.0,22.6,33518866,0.0,2024-12-20
2024-12-23 00:00:00+07:00,22.5,22.8,22.4,22.7,11411123,0.0,2024-12-23
2024-12-24 00:00:00+07:00,22.8,23.0,22.8,23.0,4031450,0.0,2024-12-24
2024-12-25 00:00:00+07:00,23.0,23.2,22.6,22.9,6706769,0.0,2024-12-25
2024-12-26 00:00:00+07:00,22.9,23.1,22.8,23.0,3952791,0.0,2024-12-26
2024-12-27 00:00:00+07:00,23.1,23.4,23.0,23.4,8465610,0.0,2024-12-27
2024-12-30 00:00:00+07:00,23.4,23.4,22.8,22.8,7670556,0.0,2024-12-30
2025-01-02 00:00:00+07:00,22.8,23.2,22.8,23.0,3725103,0.0,2025-01-02
2025-01-03 00:00:00+07:00,23.0,23.0,22.6,22.9,10370823,0.0,2025-01-03
2025-01-06 00:00:00+07:00,22.9,22.9,22.2,22.3,14542495,0.0,2025-01-06
2025-01-07 00:00:00+07:00,22.3,22.8,22.3,22.7,9692139,0.0,2025-01-07
2025-01-08 00:00:00+07:00,22.8,22.8,22.3,22.3,13445012,0.0,2025-01-08
2025-01-09 00:00:00+07:00,22.3,22.4,21.8,21.8,12482553,0.0,2025-01-09
2025-01-10 00:00:00+07:00,21.8,22.1,21.7,22.0,8793232,0.0,2025-01-10
2025-01-13 00:00:00+07:00,21.9,22.1,21.7,21.7,10545474,0.0,2025-01-13
2025-01-14 00:00:00+07:00,21.9,22.3,21.8,21.9,7774883,0.0,2025-01-14
2025-01-15 00:00:00+07:00,21.9,22.3,21.8,22.3,8575342,0.0,2025-01-15
2025-01-16 00:00:00+07:00,22.3,22.5,22.1,22.3,8806800,0.0,2025-01-16
2025-01-17 00:00:00+07:00,22.3,22.6,22.0,22.4,9948655,0.0,2025-01-17
2025-01-20 00:00:00+07:00,22.2,22.5,22.2,22.2,8531261,0.0,2025-01-20
2025-01-21 00:00:00+07:00,22.4,22.5,22.1,22.2,13038271,0.0,2025-01-21
2025-01-22 00:00:00+07:00,22.2,22.3,21.8,22.0,12372460,0.0,2025-01-22
2025-01-23 00:00:00+07:00,22.0,22.0,21.5,21.5,9469987,0.0,2025-01-23
2025-01-24 00:00:00+07:00,21.7,22.3,21.7,22.2,8465476,0.0,2025-01-24
2025-01-27 00:00:00+07:00,22.1,23.0,22.0,23.0,15336422,0.0,2025-01-27
2025-01-28 00:00:00+07:00,23.0,23.4,22.9,22.9,10827917,0.0,2025-01-28
2025-01-29 00:00:00+07:00,22.9,23.0,22.6,22.7,2531583,0.0,2025-01-29
2025-01-30 00:00:00+07:00,22.7,23.0,22.6,22.8,8605279,0.0,2025-01-30
2025-01-31 00:00:00+07:00,22.9,22.9,21.8,22.0,19630237,0.0,2025-01-31
2025-02-03 00:00:00+07:00,21.6,21.9,20.6,21.2,24715316,0.0,2025-02-03
2025-02-04 00:00:00+07:00,21.0,21.3,20.6,20.9,11244839,0.0,2025-02-04
2025-02-05 00:00:00+07:00,21.0,21.1,20.7,21.0,11594562,0.0,2025-02-05
2025-02-06 00:00:00+07:00,20.7,20.9,19.8,19.8,22229059,0.0,2025-02-06
2025-02-07 00:00:00+07:00,20.1,20.9,20.0,20.9,15420034,0.0,2025-02-07
2025-02-10 00:00:00+07:00,20.8,20.8,20.2,20.5,10417767,0.0,2025-02-10
2025-02-11 00:00:00+07:00,20.4,21.0,20.4,20.9,7321732,0.0,2025-02-11
2025-02-13 00:00:00+07:00,20.7,21.0,20.6,20.7,10945601,0.0,2025-02-13
2025-02-14 00:00:00+07:00,20.7,21.1,20.7,20.9,8516645,0.0,2025-02-14
2025-02-17 00:00:00+07:00,21.5,21.8,21.0,21.8,24699330,0.0,2025-02-17
2025-02-18 00:00:00+07:00,21.8,22.5,21.5,22.4,28531004,0.0,2025-02-18
2025-02-19 00:00:00+07:00,22.5,23.3,22.4,23.0,36228433,0.0,2025-02-19
2025-02-20 00:00:00+07:00,22.3,22.6,21.7,21.8,34599833,0.0,2025-02-20
2025-02-21 00:00:00+07:00,21.9,22.5,21.9,22.5,11098929,0.0,2025-02-21
2025-02-24 00:00:00+07:00,22.3,23.1,22.1,23.0,17553181,0.0,2025-02-24
2025-02-25 00:00:00+07:00,22.6,22.8,22.2,22.4,17230900,0.0,2025-02-25
2025-02-26 00:00:00+07:00,22.3,24.3,22.1,24.3,56647498,0.0,2025-02-26
2025-02-27 00:00:00+07:00,24.2,24.6,23.9,24.0,28328836,0.0,2025-02-27
2025-02-28 00:00:00+07:00,23.5,24.4,23.5,24.4,30275631,0.0,2025-02-28
2025-03-03 00:00:00+07:00,24.3,24.4,24.0,24.0,11757682,0.0,2025-03-03
2025-03-04 00:00:00+07:00,24.0,24.1,23.0,23.6,24085077,0.0,2025-03-04
2025-03-05 00:00:00+07:00,23.6,24.4,23.5,24.4,24969874,0.0,2025-03-05
2025-03-06 00:00:00+07:00,24.3,24.4,23.7,24.2,18559336,0.0,2025-03-06
2025-03-07 00:00:00+07:00,24.2,24.3,23.9,24.3,13851494,0.0,2025-03-07
2025-03-10 00:00:00+07:00,24.2,24.4,24.0,24.3,10888187,0.0,2025-03-10
2025-03-11 00:00:00+07:00,24.1,24.3,23.7,24.0,14268235,0.0,2025-03-11
2025-03-12 00:00:00+07:00,23.8,24.2,23.8,24.2,14475064,0.0,2025-03-12
2025-03-13 00:00:00+07:00,24.1,24.2,23.9,23.9,6978280,0.0,2025-03-13
2025-03-14 00:00:00+07:00,23.9,24.2,23.8,24.1,7433836,0.0,2025-03-14
2025-03-17 00:00:00+07:00,24.2,24.3,24.0,24.2,6277650,0.0,2025-03-17
2025-03-18 00:00:00+07:00,24.2,24.2,23.8,24.0,14674828,0.0,2025-03-18
2025-03-19 00:00:00+07:00,24.0,24.3,23.8,24.2,9980257,0.0,2025-03-19
2025-03-20 00:00:00+07:00,24.1,24.1,23.6,23.6,18430489,0.0,2025-03-20
2025-03-21 00:00:00+07:00,23.7,24.1,23.5,24.1,40961210,0.0,2025-03-21
2025-03-24 00:00:00+07:00,24.2,24.3,24.0,24.0,12734350,0.0,2025-03-24
2025-03-25 00:00:00+07:00,23.9,24.2,23.9,24.1,17379556,0.0,2025-03-25
2025-03-26 00:00:00+07:00,24.1,24.4,24.1,24.3,19350456,0.0,2025-03-26
2025-03-27 00:00:00+07:00,24.2,24.3,24.1,24.3,13123117,0.0,2025-03-27
2025-03-28 00:00:00+07:00,24.2,24.3,23.9,23.9,6017943,0.0,2025-03-28
2025-03-31 00:00:00+07:00,23.8,24.0,23.6,23.8,13007749,0.0,2025-03-31
2025-04-01 00:00:00+07:00,23.9,24.0,23.7,23.9,8231959,0.0,2025-04-01
2025-04-02 00:00:00+07:00,23.9,24.1,23.8,24.0,10307757,0.0,2025-04-02
2025-04-03 00:00:00+07:00,23.5,23.8,22.7,23.7,36892737,0.0,2025-04-03
2025-04-04 00:00:00+07:00,23.5,23.7,23.3,23.6,18645372,0.0,2025-04-04
2025-04-08 00:00:00+07:00,23.0,23.5,21.8,22.2,43650724,0.0,2025-04-08
2025-04-09 00:00:00+07:00,22.5,23.8,22.4,23.8,34708054,0.0,2025-04-09
2025-04-10 00:00:00+07:00,24.0,24.9,23.9,24.9,42655620,0.0,2025-04-10
2025-04-11 00:00:00+07:00,24.7,25.5,24.4,25.25,38567697,0.0,2025-04-11
2025-04-16 00:00:00+07:00,25.0,25.75,24.9,25.5,31577820,0.0,2025-04-16
2025-04-17 00:00:00+07:00,25.25,25.5,24.6,25.0,27134039,0.0,2025-04-17
2025-04-18 00:00:00+07:00,25.0,25.5,24.9,25.25,18245255,0.0,2025-04-18
2025-04-21 00:00:00+07:00,25.0,25.25,24.7,24.9,20647757,0.0,2025-04-21
2025-04-22 00:00:00+07:00,24.9,25.25,24.5,24.9,27270943,0.0,2025-04-22
2025-04-23 00:00:00+07:00,25.0,25.5,25.0,25.5,24906990,0.0,2025-04-23
2025-04-24 00:00:00+07:00,25.5,26.0,25.25,25.75,41927609,0.0,2025-04-24
2025-04-25 00:00:00+07:00,25.75,25.75,25.5,25.75,13051057,0.0,2025-04-25
2025-04-28 00:00:00+07:00,25.75,26.0,25.5,26.0,14702746,0.0,2025-04-28
2025-04-29 00:00:00+07:00,26.0,26.25,25.75,26.0,23752305,0.0,2025-04-29
2025-04-30 00:00:00+07:00,26.0,26.5,25.75,26.5,28963191,0.0,2025-04-30
2025-05-02 00:00:00+07:00,26.25,26.5,25.75,26.25,25857657,0.0,2025-05-02
2025-05-06 00:00:00+07:00,26.25,26.5,25.75,26.25,26241497,0.0,2025-05-06
2025-05-07 00:00:00+07:00,26.25,26.5,26.0,26.25,23884275,0.0,2025-05-07
