time,open,high,low,close,volume,value
2025-08-01 09:00:00+07:00,23.1,23.3,23.1,23.3,2477700,0.0
2025-08-01 10:00:00+07:00,23.2,23.8,23.0,23.0,18774500,0.0
2025-08-01 11:00:00+07:00,23.0,23.6,23.0,23.6,5057100,0.0
2025-08-01 12:00:00+07:00,23.6,23.8,23.5,23.8,2364800,0.0
2025-08-01 13:00:00+07:00,23.8,23.8,23.7,23.8,287800,0.0
2025-08-01 14:00:00+07:00,23.8,23.9,23.7,23.7,6384400,0.0
2025-08-01 15:00:00+07:00,23.8,23.8,23.3,23.5,6287200,0.0
2025-08-01 16:00:00+07:00,23.5,23.5,23.2,23.4,5062500,0.0
2025-08-04 09:00:00+07:00,23.3,23.3,23.2,23.3,815600,0.0
2025-08-04 10:00:00+07:00,23.3,23.3,22.7,22.9,9571500,0.0
2025-08-04 11:00:00+07:00,22.9,23.0,22.8,23.0,2890600,0.0
2025-08-04 12:00:00+07:00,23.0,23.1,22.9,23.0,1220100,0.0
2025-08-04 13:00:00+07:00,22.9,23.0,22.9,23.0,87700,0.0
2025-08-04 14:00:00+07:00,23.0,23.0,22.9,22.9,771600,0.0
2025-08-04 15:00:00+07:00,23.0,23.0,22.9,22.9,672600,0.0
2025-08-04 16:00:00+07:00,22.9,23.0,22.9,22.9,1762900,0.0
2025-08-05 09:00:00+07:00,23.0,23.2,23.0,23.2,849400,0.0
2025-08-05 10:00:00+07:00,23.2,23.7,23.2,23.6,8538300,0.0
2025-08-05 11:00:00+07:00,23.5,23.6,23.5,23.6,779200,0.0
2025-08-05 12:00:00+07:00,23.6,23.6,23.5,23.5,517300,0.0
2025-08-05 13:00:00+07:00,23.6,23.6,23.5,23.6,403800,0.0
2025-08-05 14:00:00+07:00,23.5,23.6,23.5,23.5,1705800,0.0
2025-08-05 15:00:00+07:00,23.5,23.7,23.5,23.7,2919100,0.0
2025-08-05 16:00:00+07:00,23.7,23.7,23.6,23.7,3283700,0.0
