time,open,high,low,close,volume,value,date
2024-11-01 00:00:00+07:00,62.5,64.75,59.25,60.0,110024809,0.0,2024-11-01
2024-12-01 00:00:00+07:00,60.0,61.0,53.75,57.0,148650297,0.0,2024-12-01
2025-01-01 00:00:00+07:00,56.0,57.75,52.25,53.0,170506078,0.0,2025-01-01
2025-02-01 00:00:00+07:00,51.25,53.75,47.75,49.25,200983308,0.0,2025-02-01
2025-03-01 00:00:00+07:00,51.75,52.5,46.75,47.0,175328433,0.0,2025-03-01
2025-04-01 00:00:00+07:00,47.75,50.75,44.25,50.75,116562074,0.0,2025-04-01
2025-05-01 00:00:00+07:00,51.0,52.75,45.25,45.5,194080403,0.0,2025-05-01
2025-06-01 00:00:00+07:00,46.25,47.0,41.0,46.25,238461096,0.0,2025-06-01
2025-07-01 00:00:00+07:00,46.75,52.75,46.25,52.25,203811235,0.0,2025-07-01
2025-08-01 00:00:00+07:00,52.5,55.25,50.25,51.5,140514568,0.0,2025-08-01
2025-09-01 00:00:00+07:00,51.75,58.5,51.0,56.0,143388698,0.0,2025-09-01
2025-10-01 00:00:00+07:00,55.25,55.75,51.25,53.75,124136024,377859650.0,2025-10-01
