time,open,high,low,close,volume,value,date
2024-11-04 00:00:00+07:00,63.25,64.75,62.25,62.25,28093361,0.0,2024-11-04
2024-11-11 00:00:00+07:00,62.5,63.0,59.25,60.25,26804269,0.0,2024-11-11
2024-11-18 00:00:00+07:00,60.75,63.0,60.75,62.25,22124144,0.0,2024-11-18
2024-11-25 00:00:00+07:00,62.25,62.5,59.5,60.0,25420906,0.0,2024-11-25
2024-12-02 00:00:00+07:00,60.0,61.0,59.5,60.25,21948843,0.0,2024-12-02
2024-12-09 00:00:00+07:00,60.25,60.75,57.0,57.5,35275650,0.0,2024-12-09
2024-12-16 00:00:00+07:00,57.5,58.25,54.0,54.5,42807593,0.0,2024-12-16
2024-12-23 00:00:00+07:00,54.75,58.75,53.75,57.75,41294649,0.0,2024-12-23
2024-12-30 00:00:00+07:00,58.0,58.5,55.75,56.0,21515139,0.0,2024-12-30
2025-01-06 00:00:00+07:00,56.5,57.25,53.75,54.25,51729196,0.0,2025-01-06
2025-01-13 00:00:00+07:00,53.75,54.5,52.25,52.25,49951542,0.0,2025-01-13
2025-01-20 00:00:00+07:00,52.75,54.75,52.25,53.5,28963022,0.0,2025-01-20
2025-01-27 00:00:00+07:00,53.0,55.0,52.5,53.0,25670741,0.0,2025-01-27
2025-02-03 00:00:00+07:00,51.25,52.25,49.25,51.75,42633002,0.0,2025-02-03
2025-02-10 00:00:00+07:00,51.5,53.75,48.75,48.75,50963522,0.0,2025-02-10
2025-02-17 00:00:00+07:00,49.5,52.25,49.0,51.5,41965516,0.0,2025-02-17
2025-02-24 00:00:00+07:00,51.5,51.75,47.75,49.25,65421268,0.0,2025-02-24
2025-03-03 00:00:00+07:00,51.75,52.5,49.75,51.75,52964561,0.0,2025-03-03
2025-03-10 00:00:00+07:00,51.5,51.75,50.0,51.0,36244360,0.0,2025-03-10
2025-03-17 00:00:00+07:00,49.0,51.75,48.75,50.25,44373537,0.0,2025-03-17
2025-03-24 00:00:00+07:00,50.25,50.75,48.0,48.25,30645657,0.0,2025-03-24
2025-03-31 00:00:00+07:00,47.0,49.25,46.75,48.25,31374826,0.0,2025-03-31
2025-04-08 00:00:00+07:00,46.0,49.0,44.25,47.75,37229777,0.0,2025-04-08
2025-04-16 00:00:00+07:00,47.0,49.0,46.5,48.25,19114819,0.0,2025-04-16
2025-04-21 00:00:00+07:00,48.25,49.5,47.25,49.0,21758153,0.0,2025-04-21
2025-04-28 00:00:00+07:00,48.5,51.25,48.5,49.75,24420099,0.0,2025-04-28
2025-05-06 00:00:00+07:00,50.25,52.75,49.5,51.0,31476269,0.0,2025-05-06
2025-05-13 00:00:00+07:00,51.25,52.0,49.0,50.0,32237595,0.0,2025-05-13
2025-05-19 00:00:00+07:00,49.5,49.75,46.25,47.5,48006862,0.0,2025-05-19
2025-05-26 00:00:00+07:00,47.25,48.0,45.25,45.5,76124395,0.0,2025-05-26
2025-06-04 00:00:00+07:00,46.25,46.75,45.25,46.75,31205584,0.0,2025-06-04
2025-06-09 00:00:00+07:00,46.75,46.75,44.25,44.75,35570306,0.0,2025-06-09
2025-06-16 00:00:00+07:00,44.75,45.25,41.0,43.25,89709846,0.0,2025-06-16
2025-06-23 00:00:00+07:00,42.5,47.0,41.5,46.0,74740985,0.0,2025-06-23
2025-06-30 00:00:00+07:00,46.0,49.75,45.75,49.0,51406092,0.0,2025-06-30
2025-07-07 00:00:00+07:00,48.5,49.5,47.0,49.0,35633782,0.0,2025-07-07
2025-07-14 00:00:00+07:00,48.75,51.5,48.5,50.25,60710251,0.0,2025-07-14
2025-07-21 00:00:00+07:00,50.25,51.75,49.0,50.75,42130976,0.0,2025-07-21
2025-07-29 00:00:00+07:00,50.75,52.75,50.25,50.25,29695942,0.0,2025-07-29
2025-08-04 00:00:00+07:00,50.75,53.5,50.5,51.75,25962432,0.0,2025-08-04
2025-08-13 00:00:00+07:00,53.0,54.75,52.0,54.5,30697257,0.0,2025-08-13
2025-08-18 00:00:00+07:00,54.5,54.5,52.0,53.5,33746167,0.0,2025-08-18
2025-08-25 00:00:00+07:00,54.25,55.25,51.5,51.5,41577279,0.0,2025-08-25
2025-09-01 00:00:00+07:00,51.75,57.0,51.0,55.25,41660480,0.0,2025-09-01
2025-09-08 00:00:00+07:00,55.5,57.75,55.5,56.75,33336168,0.0,2025-09-08
2025-09-15 00:00:00+07:00,56.75,58.5,56.0,56.25,31548883,0.0,2025-09-15
2025-09-22 00:00:00+07:00,56.25,57.0,55.25,56.25,22014127,0.0,2025-09-22
2025-09-29 00:00:00+07:00,56.75,56.75,54.0,54.5,36570176,0.0,2025-09-29
2025-10-06 00:00:00+07:00,54.0,55.25,53.0,54.5,24149024,0.0,2025-10-06
2025-10-14 00:00:00+07:00,54.25,55.5,53.25,53.75,16094702,0.0,2025-10-14
2025-10-20 00:00:00+07:00,54.75,55.75,54.0,55.25,19233904,0.0,2025-10-20
2025-10-27 00:00:00+07:00,55.5,55.5,51.25,53.75,42917258,377859650.0,2025-10-27
