time,open,high,low,close,volume,value,date
2024-10-31 00:00:00+07:00,31.0,32.0,31.0,32.0,9214203,0.0,2024-10-31
2024-11-01 00:00:00+07:00,31.75,31.75,31.25,31.25,4234870,0.0,2024-11-01
2024-11-04 00:00:00+07:00,31.5,32.25,31.5,31.75,4169147,0.0,2024-11-04
2024-11-05 00:00:00+07:00,31.75,32.75,31.5,32.5,7178985,0.0,2024-11-05
2024-11-06 00:00:00+07:00,32.25,32.5,31.25,31.5,9653606,0.0,2024-11-06
2024-11-07 00:00:00+07:00,31.5,31.75,31.5,31.5,3148304,0.0,2024-11-07
2024-11-08 00:00:00+07:00,31.5,32.0,30.75,31.25,6332795,0.0,2024-11-08
2024-11-11 00:00:00+07:00,31.0,32.0,30.75,31.5,4868597,0.0,2024-11-11
2024-11-12 00:00:00+07:00,31.75,31.75,30.75,31.25,4508706,0.0,2024-11-12
2024-11-13 00:00:00+07:00,31.0,31.5,30.5,30.75,4824292,0.0,2024-11-13
2024-11-14 00:00:00+07:00,33.25,34.25,32.75,32.75,33315340,0.0,2024-11-14
2024-11-15 00:00:00+07:00,32.75,33.5,32.75,33.5,8567832,0.0,2024-11-15
2024-11-18 00:00:00+07:00,33.75,33.75,33.0,33.5,5187270,0.0,2024-11-18
2024-11-19 00:00:00+07:00,34.0,34.25,33.5,33.75,9000281,0.0,2024-11-19
2024-11-20 00:00:00+07:00,33.75,34.0,33.5,33.5,3567108,0.0,2024-11-20
2024-11-21 00:00:00+07:00,34.25,34.5,33.5,33.5,6267901,0.0,2024-11-21
2024-11-22 00:00:00+07:00,33.75,34.5,33.5,34.0,6193597,0.0,2024-11-22
2024-11-25 00:00:00+07:00,34.5,35.0,34.0,35.0,17862442,0.0,2024-11-25
2024-11-26 00:00:00+07:00,35.0,35.25,34.25,34.5,8397868,0.0,2024-11-26
2024-11-27 00:00:00+07:00,34.25,34.5,33.75,34.0,4901782,0.0,2024-11-27
2024-11-28 00:00:00+07:00,34.0,34.75,33.75,34.25,6159760,0.0,2024-11-28
2024-11-29 00:00:00+07:00,34.0,34.25,33.5,33.5,5433367,0.0,2024-11-29
