time,open,high,low,close,volume,value,date
2024-11-04 00:00:00+07:00,31.5,32.75,30.75,31.25,30482837,0.0,2024-11-04
2024-11-11 00:00:00+07:00,31.0,34.25,30.5,33.5,56084767,0.0,2024-11-11
2024-11-18 00:00:00+07:00,33.75,34.5,33.0,34.0,30216157,0.0,2024-11-18
2024-11-25 00:00:00+07:00,34.5,35.25,33.5,33.5,42755219,0.0,2024-11-25
2024-12-02 00:00:00+07:00,33.75,35.0,33.5,34.0,41726197,0.0,2024-12-02
2024-12-09 00:00:00+07:00,33.75,35.0,33.5,33.5,24716240,0.0,2024-12-09
2024-12-16 00:00:00+07:00,33.75,35.5,32.75,34.25,87729299,0.0,2024-12-16
2024-12-23 00:00:00+07:00,34.5,36.0,34.25,35.0,33877963,0.0,2024-12-23
2024-12-30 00:00:00+07:00,35.0,35.25,32.75,33.0,22119914,0.0,2024-12-30
2025-01-06 00:00:00+07:00,33.0,34.75,32.5,34.0,35666181,0.0,2025-01-06
2025-01-13 00:00:00+07:00,33.5,35.75,32.75,34.5,46744796,0.0,2025-01-13
2025-01-20 00:00:00+07:00,34.5,35.0,33.5,34.25,26245120,0.0,2025-01-20
2025-01-27 00:00:00+07:00,34.25,35.0,33.0,33.25,26941249,0.0,2025-01-27
2025-02-03 00:00:00+07:00,33.0,34.0,31.75,33.25,34364290,0.0,2025-02-03
2025-02-10 00:00:00+07:00,33.0,35.0,32.75,34.5,27351479,0.0,2025-02-10
2025-02-17 00:00:00+07:00,35.5,36.0,33.5,34.5,38771029,0.0,2025-02-17
2025-02-24 00:00:00+07:00,34.0,34.25,30.5,33.5,56111124,0.0,2025-02-24
2025-03-03 00:00:00+07:00,32.75,33.0,29.5,31.0,72061584,0.0,2025-03-03
2025-03-10 00:00:00+07:00,30.25,30.75,27.0,27.75,62102784,0.0,2025-03-10
2025-03-17 00:00:00+07:00,27.5,28.5,26.5,27.0,60160680,0.0,2025-03-17
2025-03-24 00:00:00+07:00,26.75,27.25,25.0,25.5,43680170,0.0,2025-03-24
2025-03-31 00:00:00+07:00,25.0,26.0,24.6,24.9,42285710,0.0,2025-03-31
2025-04-08 00:00:00+07:00,24.4,24.8,21.8,23.0,65080619,0.0,2025-04-08
2025-04-16 00:00:00+07:00,22.8,23.9,22.7,23.9,25027563,0.0,2025-04-16
2025-04-21 00:00:00+07:00,23.6,24.0,22.8,23.8,41834559,0.0,2025-04-21
2025-04-28 00:00:00+07:00,23.6,24.2,23.0,23.5,37632295,0.0,2025-04-28
2025-05-06 00:00:00+07:00,22.7,22.8,20.5,21.0,123452009,0.0,2025-05-06
2025-05-13 00:00:00+07:00,21.1,21.3,18.7,19.0,141143070,0.0,2025-05-13
2025-05-19 00:00:00+07:00,18.6,19.4,17.4,18.7,169328012,0.0,2025-05-19
2025-05-26 00:00:00+07:00,18.6,19.5,18.0,18.7,376736463,0.0,2025-05-26
2025-06-04 00:00:00+07:00,18.5,19.6,18.3,19.2,128968997,0.0,2025-06-04
2025-06-09 00:00:00+07:00,19.4,19.5,17.4,17.4,110746936,0.0,2025-06-09
2025-06-16 00:00:00+07:00,17.5,18.1,16.2,16.3,111584426,0.0,2025-06-16
2025-06-23 00:00:00+07:00,16.1,18.7,15.8,17.6,107419768,0.0,2025-06-23
2025-06-30 00:00:00+07:00,17.6,19.5,17.4,18.9,103406829,0.0,2025-06-30
2025-07-07 00:00:00+07:00,18.7,18.7,17.6,17.8,64248255,0.0,2025-07-07
2025-07-14 00:00:00+07:00,17.8,20.9,17.8,20.7,114175647,0.0,2025-07-14
2025-07-21 00:00:00+07:00,20.8,21.7,20.1,21.0,90156930,0.0,2025-07-21
2025-07-29 00:00:00+07:00,20.9,22.0,20.4,20.4,71204981,0.0,2025-07-29
2025-08-04 00:00:00+07:00,20.5,22.5,20.1,21.5,81861955,0.0,2025-08-04
2025-08-13 00:00:00+07:00,21.4,21.7,19.5,19.7,64761657,0.0,2025-08-13
2025-08-18 00:00:00+07:00,19.8,21.3,19.4,21.1,72198946,0.0,2025-08-18
2025-08-25 00:00:00+07:00,21.5,22.6,21.3,21.3,80673344,0.0,2025-08-25
2025-09-01 00:00:00+07:00,21.5,24.1,21.4,23.8,91132142,0.0,2025-09-01
2025-09-08 00:00:00+07:00,24.0,25.25,23.3,23.5,68015261,0.0,2025-09-08
2025-09-15 00:00:00+07:00,23.5,25.25,21.8,22.4,201001746,0.0,2025-09-15
2025-09-22 00:00:00+07:00,22.6,22.7,21.1,21.9,125229634,0.0,2025-09-22
2025-09-29 00:00:00+07:00,21.8,22.1,20.9,21.0,53092521,0.0,2025-09-29
2025-10-06 00:00:00+07:00,20.7,22.0,20.4,21.0,51593242,0.0,2025-10-06
2025-10-14 00:00:00+07:00,21.0,21.0,20.0,20.2,49999600,0.0,2025-10-14
2025-10-20 00:00:00+07:00,20.6,21.2,20.5,20.6,31562628,0.0,2025-10-20
2025-10-27 00:00:00+07:00,20.8,21.1,19.5,20.5,59476136,187015860.0,2025-10-27
