time,open,high,low,close,volume,value
2025-08-01 09:00:00+07:00,4.08,4.08,4.08,4.08,472600,0.0
2025-08-01 10:00:00+07:00,4.08,4.08,3.9,3.92,16696000,0.0
2025-08-01 11:00:00+07:00,3.92,3.94,3.9,3.94,4216300,0.0
2025-08-01 12:00:00+07:00,3.92,3.94,3.9,3.92,1350100,0.0
2025-08-01 13:00:00+07:00,3.9,3.92,3.9,3.92,147600,0.0
2025-08-01 14:00:00+07:00,3.92,3.92,3.9,3.92,1487000,0.0
2025-08-01 15:00:00+07:00,3.92,3.92,3.84,3.84,8032000,0.0
2025-08-01 16:00:00+07:00,3.84,3.86,3.82,3.82,5707500,0.0
2025-08-04 09:00:00+07:00,3.86,3.88,3.86,3.88,1162600,0.0
2025-08-04 10:00:00+07:00,3.88,3.88,3.78,3.82,6763400,0.0
2025-08-04 11:00:00+07:00,3.82,3.88,3.8,3.86,4316700,0.0
2025-08-04 12:00:00+07:00,3.86,3.88,3.84,3.86,1548500,0.0
2025-08-04 13:00:00+07:00,3.86,3.86,3.86,3.86,298200,0.0
2025-08-04 14:00:00+07:00,3.88,3.92,3.88,3.9,3590100,0.0
2025-08-04 15:00:00+07:00,3.9,3.92,3.88,3.88,1420900,0.0
2025-08-04 16:00:00+07:00,3.9,3.9,3.84,3.86,2462600,0.0
2025-08-05 09:00:00+07:00,3.9,3.92,3.9,3.92,573500,0.0
2025-08-05 10:00:00+07:00,3.92,3.94,3.82,3.86,6883300,0.0
2025-08-05 11:00:00+07:00,3.86,3.92,3.84,3.9,2320200,0.0
2025-08-05 12:00:00+07:00,3.88,3.92,3.88,3.9,1252400,0.0
2025-08-05 13:00:00+07:00,3.9,3.9,3.9,3.9,309100,0.0
2025-08-05 14:00:00+07:00,3.9,4.06,3.9,4.0,12685500,0.0
2025-08-05 15:00:00+07:00,4.0,4.04,3.98,3.98,6958300,0.0
2025-08-05 16:00:00+07:00,3.98,4.0,3.96,4.0,4553000,0.0
2025-08-06 09:00:00+07:00,4.0,4.0,4.0,4.0,531600,0.0
2025-08-06 10:00:00+07:00,4.0,4.14,3.98,4.04,14525900,0.0
2025-08-06 11:00:00+07:00,4.04,4.24,4.04,4.2,21482000,0.0
2025-08-06 12:00:00+07:00,4.2,4.26,4.2,4.22,5073500,0.0
2025-08-06 13:00:00+07:00,4.2,4.2,4.2,4.2,31600,0.0
2025-08-06 14:00:00+07:00,4.2,4.5,4.2,4.36,26009300,0.0
2025-08-06 15:00:00+07:00,4.38,4.38,4.28,4.34,9971600,0.0
2025-08-06 16:00:00+07:00,4.34,4.38,4.32,4.38,5532800,0.0
2025-08-07 09:00:00+07:00,4.26,4.28,4.24,4.26,2946000,0.0
2025-08-07 10:00:00+07:00,4.28,4.28,4.12,4.16,28669900,0.0
2025-08-07 11:00:00+07:00,4.14,4.18,4.08,4.12,15142800,0.0
2025-08-07 12:00:00+07:00,4.12,4.12,4.1,4.12,1023500,0.0
2025-08-07 13:00:00+07:00,4.1,4.12,4.1,4.12,348400,0.0
2025-08-07 14:00:00+07:00,4.12,4.12,4.06,4.1,7703000,0.0
2025-08-07 15:00:00+07:00,4.1,4.1,4.04,4.06,5950800,0.0
2025-08-07 16:00:00+07:00,4.06,4.06,4.0,4.0,8829700,0.0
2025-08-08 09:00:00+07:00,4.0,4.02,4.0,4.02,941700,0.0
2025-08-08 10:00:00+07:00,4.02,4.08,3.92,4.02,15509200,0.0
2025-08-08 11:00:00+07:00,4.04,4.04,4.0,4.02,3778000,0.0
2025-08-08 12:00:00+07:00,4.02,4.02,4.0,4.02,247800,0.0
2025-08-08 13:00:00+07:00,4.0,4.0,4.0,4.0,305400,0.0
2025-08-08 14:00:00+07:00,4.0,4.0,3.98,3.98,1975700,0.0
2025-08-08 15:00:00+07:00,3.98,4.0,3.94,4.0,5412700,0.0
2025-08-08 16:00:00+07:00,4.0,4.0,3.94,3.96,4851300,0.0
2025-08-13 09:00:00+07:00,4.0,4.02,4.0,4.0,1188100,0.0
2025-08-13 10:00:00+07:00,4.0,4.0,3.92,3.92,8509400,0.0
2025-08-13 11:00:00+07:00,3.92,3.96,3.92,3.96,1524300,0.0
2025-08-13 12:00:00+07:00,3.94,3.96,3.92,3.94,1761500,0.0
2025-08-13 13:00:00+07:00,3.94,3.94,3.94,3.94,133400,0.0
2025-08-13 14:00:00+07:00,3.94,3.94,3.9,3.92,5510100,0.0
2025-08-13 15:00:00+07:00,3.92,3.94,3.84,3.86,8805600,0.0
2025-08-13 16:00:00+07:00,3.84,3.88,3.84,3.86,6495400,0.0
2025-08-14 09:00:00+07:00,3.88,3.9,3.88,3.88,587300,0.0
2025-08-14 10:00:00+07:00,3.88,3.98,3.82,3.92,11846900,0.0
2025-08-14 11:00:00+07:00,3.92,3.96,3.9,3.9,3160000,0.0
2025-08-14 12:00:00+07:00,3.9,3.92,3.88,3.9,550800,0.0
2025-08-14 13:00:00+07:00,3.9,3.9,3.9,3.9,185400,0.0
2025-08-14 14:00:00+07:00,3.92,3.92,3.86,3.88,2877000,0.0
2025-08-14 15:00:00+07:00,3.88,3.92,3.88,3.9,3768500,0.0
2025-08-14 16:00:00+07:00,3.88,3.96,3.86,3.92,6360000,0.0
2025-08-15 09:00:00+07:00,3.92,3.94,3.92,3.94,289800,0.0
2025-08-15 10:00:00+07:00,3.92,3.92,3.82,3.9,7620400,0.0
2025-08-15 11:00:00+07:00,3.88,3.9,3.86,3.86,1942500,0.0
2025-08-15 12:00:00+07:00,3.84,3.86,3.82,3.82,3609000,0.0
2025-08-15 13:00:00+07:00,3.82,3.82,3.82,3.82,81900,0.0
2025-08-15 14:00:00+07:00,3.82,3.82,3.72,3.76,8719500,0.0
2025-08-15 15:00:00+07:00,3.76,3.8,3.76,3.78,1373400,0.0
2025-08-15 16:00:00+07:00,3.78,3.78,3.7,3.7,4642200,0.0
2025-08-18 09:00:00+07:00,3.74,3.76,3.74,3.76,971000,0.0
2025-08-18 10:00:00+07:00,3.76,3.86,3.74,3.84,7127500,0.0
2025-08-18 11:00:00+07:00,3.84,3.84,3.78,3.82,2156000,0.0
2025-08-18 12:00:00+07:00,3.8,3.82,3.8,3.8,350400,0.0
2025-08-18 13:00:00+07:00,3.8,3.8,3.8,3.8,69900,0.0
2025-08-18 14:00:00+07:00,3.78,3.8,3.76,3.76,1643200,0.0
2025-08-18 15:00:00+07:00,3.76,3.78,3.74,3.76,801400,0.0
2025-08-18 16:00:00+07:00,3.76,3.78,3.74,3.76,2416800,0.0
