time,open,high,low,close,volume,value,date
2024-11-01 00:00:00+07:00,5.4894750000000005,5.558525,3.52155,4.384675,2478303989,0.0,2024-11-01
2024-12-01 00:00:00+07:00,4.4192,4.66,3.09344,3.96,3040106423,0.0,2024-12-01
2025-01-01 00:00:00+07:00,3.98,4.12,2.82,3.1,2766379709,0.0,2025-01-01
2025-02-01 00:00:00+07:00,2.98,3.06,2.46,2.46,2243430954,0.0,2025-02-01
2025-03-01 00:00:00+07:00,2.6,2.66,2.02,2.06,1766036288,0.0,2025-03-01
2025-04-01 00:00:00+07:00,2.08,2.28,1.73,2.18,1014883175,0.0,2025-04-01
2025-05-01 00:00:00+07:00,2.22,3.4,2.22,2.9,4479472213,0.0,2025-05-01
2025-06-01 00:00:00+07:00,2.92,3.12,2.36,2.48,2530711095,0.0,2025-06-01
2025-07-01 00:00:00+07:00,2.4,3.0,2.04,2.9,1267703679,0.0,2025-07-01
2025-08-01 00:00:00+07:00,2.94,3.16,2.52,2.52,1461676265,0.0,2025-08-01
2025-09-01 00:00:00+07:00,2.52,3.88,2.46,3.34,5141464333,0.0,2025-09-01
2025-10-01 00:00:00+07:00,3.36,3.54,2.94,3.06,1813314015,119440672.0,2025-10-01
