time,open,high,low,close,volume,value
2025-08-01 09:00:00+07:00,2.94,2.94,2.92,2.94,2839800,0.0
2025-08-01 10:00:00+07:00,2.94,2.96,2.9,2.92,17190100,0.0
2025-08-01 11:00:00+07:00,2.92,2.94,2.9,2.92,4633900,0.0
2025-08-01 12:00:00+07:00,2.94,2.94,2.92,2.92,1330100,0.0
2025-08-01 13:00:00+07:00,2.92,2.94,2.92,2.92,52300,0.0
2025-08-01 14:00:00+07:00,2.92,2.94,2.9,2.92,5451800,0.0
2025-08-01 15:00:00+07:00,2.92,2.92,2.84,2.86,12904100,0.0
2025-08-01 16:00:00+07:00,2.86,2.86,2.82,2.82,11759300,0.0
2025-08-04 09:00:00+07:00,2.84,2.84,2.82,2.82,1258200,0.0
2025-08-04 10:00:00+07:00,2.82,2.84,2.74,2.76,16648400,0.0
2025-08-04 11:00:00+07:00,2.76,2.8,2.76,2.8,4834000,0.0
2025-08-04 12:00:00+07:00,2.78,2.82,2.78,2.8,2122300,0.0
2025-08-04 13:00:00+07:00,2.8,2.8,2.78,2.78,97800,0.0
2025-08-04 14:00:00+07:00,2.8,2.82,2.8,2.8,1791700,0.0
2025-08-04 15:00:00+07:00,2.82,2.82,2.78,2.78,3160600,0.0
2025-08-04 16:00:00+07:00,2.8,2.8,2.78,2.78,4779300,0.0
2025-08-05 09:00:00+07:00,2.8,2.84,2.8,2.84,1821100,0.0
2025-08-05 10:00:00+07:00,2.82,2.88,2.82,2.86,12109900,0.0
2025-08-05 11:00:00+07:00,2.88,2.9,2.86,2.88,8073000,0.0
2025-08-05 12:00:00+07:00,2.88,2.88,2.86,2.88,1412500,0.0
2025-08-05 13:00:00+07:00,2.88,2.88,2.88,2.88,2492600,0.0
2025-08-05 14:00:00+07:00,2.88,2.92,2.86,2.88,20498900,0.0
2025-08-05 15:00:00+07:00,2.86,2.9,2.86,2.88,3237700,0.0
2025-08-05 16:00:00+07:00,2.9,2.9,2.88,2.9,7673000,0.0
2025-08-06 09:00:00+07:00,2.88,2.9,2.88,2.88,1335500,0.0
2025-08-06 10:00:00+07:00,2.88,2.92,2.86,2.88,13787500,0.0
2025-08-06 11:00:00+07:00,2.88,2.94,2.88,2.92,22753100,0.0
2025-08-06 12:00:00+07:00,2.92,2.94,2.9,2.92,2989900,0.0
2025-08-06 13:00:00+07:00,2.92,2.92,2.92,2.92,394400,0.0
2025-08-06 14:00:00+07:00,2.92,2.96,2.92,2.92,15233600,0.0
2025-08-06 15:00:00+07:00,2.94,2.94,2.9,2.92,6487800,0.0
2025-08-06 16:00:00+07:00,2.92,2.94,2.92,2.92,10816400,0.0
2025-08-07 09:00:00+07:00,2.94,2.94,2.94,2.94,2417300,0.0
2025-08-07 10:00:00+07:00,2.94,3.16,2.92,3.12,171817000,0.0
2025-08-07 11:00:00+07:00,3.12,3.12,3.06,3.08,50288200,0.0
2025-08-07 12:00:00+07:00,3.06,3.08,3.06,3.06,8605900,0.0
2025-08-07 13:00:00+07:00,3.08,3.08,3.08,3.08,344600,0.0
2025-08-07 14:00:00+07:00,3.08,3.08,3.02,3.06,36707600,0.0
2025-08-07 15:00:00+07:00,3.06,3.06,2.98,3.0,26725300,0.0
2025-08-07 16:00:00+07:00,3.0,3.04,3.0,3.0,29752800,0.0
2025-08-08 09:00:00+07:00,3.0,3.04,3.0,3.04,7087000,0.0
2025-08-08 10:00:00+07:00,3.04,3.04,2.96,2.98,42242100,0.0
2025-08-08 11:00:00+07:00,2.98,2.98,2.94,2.96,10628800,0.0
2025-08-08 12:00:00+07:00,2.96,2.96,2.94,2.94,963400,0.0
2025-08-08 13:00:00+07:00,2.96,2.96,2.94,2.96,345400,0.0
2025-08-08 14:00:00+07:00,2.94,2.96,2.94,2.94,7283900,0.0
2025-08-08 15:00:00+07:00,2.94,2.98,2.94,2.96,7130800,0.0
2025-08-08 16:00:00+07:00,2.96,2.96,2.94,2.94,12436000,0.0
2025-08-13 09:00:00+07:00,2.96,2.98,2.96,2.98,2385800,0.0
2025-08-13 10:00:00+07:00,2.98,2.98,2.92,2.94,12484300,0.0
2025-08-13 11:00:00+07:00,2.94,2.96,2.94,2.94,1804500,0.0
2025-08-13 12:00:00+07:00,2.94,3.0,2.94,2.98,11493700,0.0
2025-08-13 13:00:00+07:00,2.96,2.98,2.96,2.96,1658400,0.0
2025-08-13 14:00:00+07:00,2.98,2.98,2.86,2.88,32203200,0.0
2025-08-13 15:00:00+07:00,2.88,2.9,2.74,2.8,67769000,0.0
2025-08-13 16:00:00+07:00,2.8,2.82,2.78,2.8,17166900,0.0
2025-08-14 09:00:00+07:00,2.66,2.7,2.64,2.66,24076200,0.0
2025-08-14 10:00:00+07:00,2.66,2.72,2.6,2.66,84497200,0.0
2025-08-14 11:00:00+07:00,2.66,2.66,2.64,2.66,10833700,0.0
2025-08-14 12:00:00+07:00,2.66,2.66,2.62,2.64,6425600,0.0
2025-08-14 13:00:00+07:00,2.64,2.64,2.62,2.64,680400,0.0
2025-08-14 14:00:00+07:00,2.62,2.66,2.62,2.66,7531600,0.0
2025-08-14 15:00:00+07:00,2.66,2.68,2.64,2.66,15571300,0.0
2025-08-14 16:00:00+07:00,2.66,2.66,2.62,2.62,23942500,0.0
2025-08-15 09:00:00+07:00,2.64,2.7,2.64,2.68,7601400,0.0
2025-08-15 10:00:00+07:00,2.7,2.72,2.64,2.72,22247400,0.0
2025-08-15 11:00:00+07:00,2.7,2.72,2.64,2.64,15886100,0.0
2025-08-15 12:00:00+07:00,2.64,2.66,2.62,2.64,6573000,0.0
2025-08-15 13:00:00+07:00,2.64,2.64,2.64,2.64,73600,0.0
2025-08-15 14:00:00+07:00,2.64,2.66,2.6,2.66,14636400,0.0
2025-08-15 15:00:00+07:00,2.64,2.66,2.64,2.64,2651100,0.0
2025-08-15 16:00:00+07:00,2.66,2.66,2.64,2.64,7354700,0.0
2025-08-18 09:00:00+07:00,2.64,2.66,2.64,2.64,1985000,0.0
2025-08-18 10:00:00+07:00,2.64,2.68,2.62,2.66,6822300,0.0
2025-08-18 11:00:00+07:00,2.66,2.66,2.64,2.66,1537900,0.0
2025-08-18 12:00:00+07:00,2.66,2.66,2.62,2.62,2762900,0.0
2025-08-18 13:00:00+07:00,2.62,2.64,2.62,2.62,249700,0.0
2025-08-18 14:00:00+07:00,2.62,2.64,2.62,2.62,1581400,0.0
2025-08-18 15:00:00+07:00,2.62,2.64,2.6,2.62,10925700,0.0
2025-08-18 16:00:00+07:00,2.62,2.64,2.62,2.62,6649400,0.0
2025-08-19 09:00:00+07:00,2.62,2.64,2.62,2.64,2695700,0.0
2025-08-19 10:00:00+07:00,2.64,2.64,2.6,2.62,8292100,0.0
2025-08-19 11:00:00+07:00,2.6,2.64,2.6,2.64,3082800,0.0
2025-08-19 12:00:00+07:00,2.64,2.64,2.62,2.62,179400,0.0
2025-08-19 13:00:00+07:00,2.62,2.62,2.62,2.62,12400,0.0
2025-08-19 14:00:00+07:00,2.62,2.64,2.62,2.64,2440300,0.0
2025-08-19 15:00:00+07:00,2.64,2.64,2.6,2.62,3815400,0.0
2025-08-19 16:00:00+07:00,2.62,2.62,2.56,2.56,8118800,0.0
2025-08-20 09:00:00+07:00,2.58,2.6,2.58,2.6,1698500,0.0
2025-08-20 10:00:00+07:00,2.6,2.62,2.56,2.56,8043500,0.0
2025-08-20 11:00:00+07:00,2.58,2.6,2.56,2.58,2572000,0.0
2025-08-20 12:00:00+07:00,2.58,2.58,2.56,2.56,907800,0.0
2025-08-20 13:00:00+07:00,2.58,2.58,2.58,2.58,112400,0.0
2025-08-20 14:00:00+07:00,2.58,2.6,2.58,2.58,2137200,0.0
