time,open,high,low,close,volume,value,date
2024-11-01 00:00:00+07:00,42.25,44.5,39.75,43.5,137895849,0.0,2024-11-01
2024-12-01 00:00:00+07:00,43.5,45.0,36.25,38.25,128110863,0.0,2024-12-01
2025-01-01 00:00:00+07:00,38.0,38.0,30.0,30.75,230590299,0.0,2025-01-01
2025-02-01 00:00:00+07:00,29.0,31.0,25.75,28.25,258334589,0.0,2025-02-01
2025-03-01 00:00:00+07:00,27.75,31.5,25.75,26.75,182320827,0.0,2025-03-01
2025-04-01 00:00:00+07:00,27.25,32.0,22.4,31.25,178740970,0.0,2025-04-01
2025-05-01 00:00:00+07:00,31.5,35.25,30.25,32.5,132696759,0.0,2025-05-01
2025-06-01 00:00:00+07:00,32.25,33.5,26.5,29.25,122871417,0.0,2025-06-01
2025-07-01 00:00:00+07:00,29.75,34.75,28.5,33.5,138927154,0.0,2025-07-01
2025-08-01 00:00:00+07:00,33.75,42.25,31.75,42.0,192783324,0.0,2025-08-01
2025-09-01 00:00:00+07:00,41.75,43.0,38.25,38.75,170740602,0.0,2025-09-01
2025-10-01 00:00:00+07:00,38.5,43.0,37.5,41.5,132978723,104977850.0,2025-10-01
