time,open,high,low,close,volume,value,date
2024-11-04 00:00:00+07:00,42.5,44.0,40.0,41.0,34479876,0.0,2024-11-04
2024-11-11 00:00:00+07:00,41.25,41.75,39.75,40.75,31565585,0.0,2024-11-11
2024-11-18 00:00:00+07:00,41.0,44.0,40.5,43.5,32138665,0.0,2024-11-18
2024-11-25 00:00:00+07:00,44.0,44.5,41.75,43.5,30172014,0.0,2024-11-25
2024-12-02 00:00:00+07:00,43.5,45.0,43.0,44.75,15886576,0.0,2024-12-02
2024-12-09 00:00:00+07:00,44.5,44.75,41.5,42.25,20433444,0.0,2024-12-09
2024-12-16 00:00:00+07:00,42.25,42.5,36.25,37.5,42738867,0.0,2024-12-16
2024-12-23 00:00:00+07:00,38.25,40.0,37.5,38.5,45046158,0.0,2024-12-23
2024-12-30 00:00:00+07:00,38.5,39.0,36.75,37.25,15630685,0.0,2024-12-30
2025-01-06 00:00:00+07:00,36.25,36.25,32.75,32.75,65401475,0.0,2025-01-06
2025-01-13 00:00:00+07:00,32.0,35.0,30.75,31.25,61915838,0.0,2025-01-13
2025-01-20 00:00:00+07:00,31.25,33.75,30.0,32.5,55553378,0.0,2025-01-20
2025-01-27 00:00:00+07:00,32.5,33.0,30.5,30.75,36094741,0.0,2025-01-27
2025-02-03 00:00:00+07:00,29.0,31.0,25.75,27.25,73123800,0.0,2025-02-03
2025-02-10 00:00:00+07:00,27.0,28.0,25.75,27.5,56617754,0.0,2025-02-10
2025-02-17 00:00:00+07:00,28.25,30.75,27.5,29.0,60483452,0.0,2025-02-17
2025-02-24 00:00:00+07:00,29.25,30.25,27.25,28.25,68109583,0.0,2025-02-24
2025-03-03 00:00:00+07:00,27.75,31.0,26.5,30.5,51394433,0.0,2025-03-03
2025-03-10 00:00:00+07:00,30.0,31.5,28.25,31.0,57276196,0.0,2025-03-10
2025-03-17 00:00:00+07:00,30.25,30.5,28.0,28.5,40365348,0.0,2025-03-17
2025-03-24 00:00:00+07:00,28.75,29.25,27.0,27.25,26623640,0.0,2025-03-24
2025-03-31 00:00:00+07:00,26.0,27.25,24.3,24.5,45921669,0.0,2025-03-31
2025-04-08 00:00:00+07:00,23.5,26.5,22.4,24.7,39989858,0.0,2025-04-08
2025-04-16 00:00:00+07:00,25.25,29.25,25.0,28.75,31331399,0.0,2025-04-16
2025-04-21 00:00:00+07:00,28.75,32.0,28.25,30.75,53510697,0.0,2025-04-21
2025-04-28 00:00:00+07:00,30.75,32.0,30.25,30.5,27246283,0.0,2025-04-28
2025-05-06 00:00:00+07:00,31.0,34.25,30.75,34.25,40242683,0.0,2025-05-06
2025-05-13 00:00:00+07:00,35.0,35.25,33.0,34.0,22036211,0.0,2025-05-13
2025-05-19 00:00:00+07:00,34.0,34.0,32.0,33.75,35686464,0.0,2025-05-19
2025-05-26 00:00:00+07:00,33.5,33.75,32.0,32.5,22133675,0.0,2025-05-26
2025-06-04 00:00:00+07:00,32.25,32.75,30.75,32.5,19172428,0.0,2025-06-04
2025-06-09 00:00:00+07:00,32.75,33.5,30.5,30.75,22943663,0.0,2025-06-09
2025-06-16 00:00:00+07:00,30.75,31.5,27.5,27.75,32811089,0.0,2025-06-16
2025-06-23 00:00:00+07:00,26.75,30.5,26.5,29.5,43726009,0.0,2025-06-23
2025-06-30 00:00:00+07:00,29.5,30.5,29.0,29.5,25221599,0.0,2025-06-30
2025-07-07 00:00:00+07:00,29.5,30.0,28.5,29.5,18968521,0.0,2025-07-07
2025-07-14 00:00:00+07:00,29.5,32.25,29.25,31.5,35310298,0.0,2025-07-14
2025-07-21 00:00:00+07:00,32.0,33.5,30.75,32.25,37943875,0.0,2025-07-21
2025-07-29 00:00:00+07:00,32.5,34.75,31.75,32.5,33974786,0.0,2025-07-29
2025-08-04 00:00:00+07:00,32.5,37.75,31.75,36.25,59637989,0.0,2025-08-04
2025-08-13 00:00:00+07:00,37.25,37.25,35.5,35.75,29601172,0.0,2025-08-13
2025-08-18 00:00:00+07:00,35.75,37.75,35.25,37.25,36196424,0.0,2025-08-18
2025-08-25 00:00:00+07:00,38.0,42.25,37.75,42.0,59074042,0.0,2025-08-25
2025-09-01 00:00:00+07:00,41.75,42.25,40.0,41.25,43446228,0.0,2025-09-01
2025-09-08 00:00:00+07:00,41.0,43.0,40.25,41.0,39591259,0.0,2025-09-08
2025-09-15 00:00:00+07:00,41.0,41.0,38.75,40.75,38671579,0.0,2025-09-15
2025-09-22 00:00:00+07:00,41.0,41.0,38.25,39.0,34817367,0.0,2025-09-22
2025-09-29 00:00:00+07:00,39.25,39.5,38.0,39.0,29998067,0.0,2025-09-29
2025-10-06 00:00:00+07:00,38.75,41.5,37.5,40.5,41531039,0.0,2025-10-06
2025-10-14 00:00:00+07:00,40.75,42.0,39.75,40.5,26658090,0.0,2025-10-14
2025-10-20 00:00:00+07:00,41.5,43.0,40.5,42.25,26586198,0.0,2025-10-20
2025-10-27 00:00:00+07:00,42.5,43.0,41.0,41.5,22419498,104977850.0,2025-10-27
