time,open,high,low,close,volume,value,date
2025-04-03 00:00:00+07:00,49.25,50.5,45.0,45.0,179905509,0.0,2025-04-03
2025-04-08 00:00:00+07:00,39.0,47.5,38.5,45.0,311236985,0.0,2025-04-08
2025-04-16 00:00:00+07:00,46.25,47.25,45.5,46.75,82565793,0.0,2025-04-16
2025-04-21 00:00:00+07:00,46.5,47.0,43.0,45.5,126295894,0.0,2025-04-21
2025-04-28 00:00:00+07:00,45.25,50.25,45.25,48.0,107150872,0.0,2025-04-28
2025-05-06 00:00:00+07:00,48.0,50.5,47.25,50.25,131218684,0.0,2025-05-06
2025-05-13 00:00:00+07:00,51.0,51.25,47.5,48.5,90082269,0.0,2025-05-13
2025-05-19 00:00:00+07:00,48.5,49.25,46.5,48.0,113331265,0.0,2025-05-19
2025-05-26 00:00:00+07:00,47.75,48.0,45.0,45.0,131105026,0.0,2025-05-26
2025-06-04 00:00:00+07:00,45.0,45.0,43.25,43.75,81212025,0.0,2025-06-04
2025-06-09 00:00:00+07:00,44.0,44.5,42.5,42.75,106409642,0.0,2025-06-09
2025-06-16 00:00:00+07:00,42.5,44.5,38.5,38.75,273678756,0.0,2025-06-16
2025-06-23 00:00:00+07:00,38.0,42.0,37.75,39.5,164844140,0.0,2025-06-23
2025-06-30 00:00:00+07:00,39.5,41.75,38.75,41.0,161458010,0.0,2025-06-30
2025-07-07 00:00:00+07:00,40.25,40.75,39.5,40.0,85582283,0.0,2025-07-07
2025-07-14 00:00:00+07:00,40.25,45.75,39.75,45.0,256935052,0.0,2025-07-14
2025-07-21 00:00:00+07:00,45.0,47.25,43.25,46.5,180157620,0.0,2025-07-21
2025-07-29 00:00:00+07:00,47.5,48.0,45.0,45.25,131863332,0.0,2025-07-29
2025-08-04 00:00:00+07:00,45.5,49.0,45.0,47.5,112026613,0.0,2025-08-04
2025-08-13 00:00:00+07:00,48.75,48.75,47.0,47.0,67145531,0.0,2025-08-13
2025-08-18 00:00:00+07:00,47.25,48.0,46.25,47.5,69098571,0.0,2025-08-18
2025-08-25 00:00:00+07:00,48.0,49.0,46.75,47.0,128206903,0.0,2025-08-25
2025-09-01 00:00:00+07:00,46.75,48.25,45.5,47.5,192810859,0.0,2025-09-01
2025-09-08 00:00:00+07:00,47.75,48.25,45.0,46.5,194846885,0.0,2025-09-08
2025-09-15 00:00:00+07:00,46.5,46.75,45.25,46.0,82555693,0.0,2025-09-15
2025-09-22 00:00:00+07:00,45.75,46.0,42.5,43.5,129882146,0.0,2025-09-22
2025-09-29 00:00:00+07:00,44.0,44.5,42.75,43.25,99438072,0.0,2025-09-29
2025-10-06 00:00:00+07:00,43.0,45.5,42.5,45.25,95625424,0.0,2025-10-06
2025-10-14 00:00:00+07:00,45.25,45.5,43.5,45.0,79331466,0.0,2025-10-14
2025-10-20 00:00:00+07:00,45.5,46.0,44.5,45.75,78307829,0.0,2025-10-20
2025-10-27 00:00:00+07:00,46.0,46.75,43.75,44.25,114653035,526388800.0,2025-10-27
