time,open,high,low,close,volume,value,date
2024-11-04 00:00:00+07:00,2.7,2.72,2.48,2.54,65301513,0.0,2024-11-04
2024-11-11 00:00:00+07:00,2.54,2.56,2.3,2.3,53667719,0.0,2024-11-11
2024-11-18 00:00:00+07:00,2.26,2.42,2.24,2.32,59042640,0.0,2024-11-18
2024-11-25 00:00:00+07:00,2.34,2.4,2.28,2.34,38741368,0.0,2024-11-25
2024-12-02 00:00:00+07:00,2.36,2.4,2.28,2.3,54203470,0.0,2024-12-02
2024-12-09 00:00:00+07:00,2.28,2.3,2.18,2.18,48963988,0.0,2024-12-09
2024-12-16 00:00:00+07:00,2.18,2.32,2.12,2.22,95613452,0.0,2024-12-16
2024-12-23 00:00:00+07:00,2.24,2.36,2.2,2.22,98850989,0.0,2024-12-23
2024-12-30 00:00:00+07:00,2.24,2.28,2.18,2.18,23788972,0.0,2024-12-30
2025-01-06 00:00:00+07:00,2.16,2.18,1.99,2.0,63390813,0.0,2025-01-06
2025-01-13 00:00:00+07:00,2.0,2.1,1.98,2.0,77198421,0.0,2025-01-13
2025-01-20 00:00:00+07:00,2.02,2.12,1.98,2.12,54373091,0.0,2025-01-20
2025-01-27 00:00:00+07:00,2.12,2.14,1.98,1.98,47926392,0.0,2025-01-27
2025-02-03 00:00:00+07:00,1.96,1.97,1.75,1.84,90023418,0.0,2025-02-03
2025-02-10 00:00:00+07:00,1.83,1.85,1.78,1.83,50118597,0.0,2025-02-10
2025-02-17 00:00:00+07:00,1.82,1.88,1.78,1.81,85390079,0.0,2025-02-17
2025-02-24 00:00:00+07:00,1.81,1.81,1.66,1.7,87705618,0.0,2025-02-24
2025-03-03 00:00:00+07:00,1.72,1.79,1.63,1.71,114215142,0.0,2025-03-03
2025-03-10 00:00:00+07:00,1.7,1.72,1.59,1.7,96209130,0.0,2025-03-10
2025-03-17 00:00:00+07:00,1.68,1.77,1.63,1.69,104097716,0.0,2025-03-17
2025-03-24 00:00:00+07:00,1.69,1.69,1.6,1.6,49630100,0.0,2025-03-24
2025-03-31 00:00:00+07:00,1.55,1.61,1.5,1.52,67485169,0.0,2025-03-31
2025-04-08 00:00:00+07:00,1.46,1.54,1.36,1.46,76533315,0.0,2025-04-08
2025-04-16 00:00:00+07:00,1.47,1.61,1.46,1.59,73274264,0.0,2025-04-16
2025-04-21 00:00:00+07:00,1.59,1.64,1.54,1.62,48436164,0.0,2025-04-21
2025-04-28 00:00:00+07:00,1.63,1.64,1.58,1.64,41885207,0.0,2025-04-28
2025-05-06 00:00:00+07:00,1.67,1.69,1.6,1.65,67961661,0.0,2025-05-06
2025-05-13 00:00:00+07:00,1.66,1.68,1.61,1.67,87184531,0.0,2025-05-13
2025-05-19 00:00:00+07:00,1.67,1.67,1.58,1.65,151009715,0.0,2025-05-19
2025-05-26 00:00:00+07:00,1.66,1.7,1.45,1.46,292140479,0.0,2025-05-26
2025-06-04 00:00:00+07:00,1.47,1.58,1.47,1.58,93176722,0.0,2025-06-04
2025-06-09 00:00:00+07:00,1.59,1.6,1.5,1.51,68258468,0.0,2025-06-09
2025-06-16 00:00:00+07:00,1.5,1.56,1.42,1.42,72813459,0.0,2025-06-16
2025-06-23 00:00:00+07:00,1.39,1.6,1.31,1.52,191556956,0.0,2025-06-23
2025-06-30 00:00:00+07:00,1.54,1.57,1.47,1.55,88785836,0.0,2025-06-30
2025-07-07 00:00:00+07:00,1.52,1.57,1.51,1.55,48921232,0.0,2025-07-07
2025-07-14 00:00:00+07:00,1.56,1.66,1.55,1.63,108503170,0.0,2025-07-14
2025-07-21 00:00:00+07:00,1.63,1.64,1.57,1.61,70583376,0.0,2025-07-21
2025-07-29 00:00:00+07:00,1.62,1.76,1.59,1.71,104243462,0.0,2025-07-29
2025-08-04 00:00:00+07:00,1.72,1.88,1.64,1.83,112327664,0.0,2025-08-04
2025-08-13 00:00:00+07:00,1.84,1.86,1.77,1.78,43784322,0.0,2025-08-13
2025-08-18 00:00:00+07:00,1.79,1.81,1.68,1.8,82973733,0.0,2025-08-18
2025-08-25 00:00:00+07:00,1.82,1.85,1.76,1.8,108542357,0.0,2025-08-25
2025-09-01 00:00:00+07:00,1.79,1.99,1.75,1.96,206616973,0.0,2025-09-01
2025-09-08 00:00:00+07:00,1.98,2.04,1.98,2.0,121224584,0.0,2025-09-08
2025-09-15 00:00:00+07:00,1.99,2.06,1.96,2.0,103080119,0.0,2025-09-15
2025-09-22 00:00:00+07:00,2.0,2.02,1.87,1.94,174707598,0.0,2025-09-22
2025-09-29 00:00:00+07:00,1.94,1.95,1.86,1.86,101209226,0.0,2025-09-29
2025-10-06 00:00:00+07:00,1.87,2.14,1.86,2.1,241000021,0.0,2025-10-06
2025-10-14 00:00:00+07:00,2.1,2.22,2.02,2.12,231235933,0.0,2025-10-14
2025-10-20 00:00:00+07:00,2.14,2.16,2.04,2.12,87509918,0.0,2025-10-20
2025-10-27 00:00:00+07:00,2.14,2.18,2.0,2.06,100842773,20440012.0,2025-10-27
