time,open,high,low,close,volume,value
2025-08-01 09:00:00+07:00,1.75,1.75,1.74,1.74,244600,0.0
2025-08-01 10:00:00+07:00,1.73,1.75,1.71,1.72,6559900,0.0
2025-08-01 11:00:00+07:00,1.72,1.73,1.72,1.72,1132300,0.0
2025-08-01 12:00:00+07:00,1.73,1.74,1.72,1.72,1247800,0.0
2025-08-01 13:00:00+07:00,1.73,1.73,1.73,1.73,39400,0.0
2025-08-01 14:00:00+07:00,1.73,1.74,1.72,1.72,5730200,0.0
2025-08-01 15:00:00+07:00,1.72,1.73,1.7,1.72,4950700,0.0
2025-08-01 16:00:00+07:00,1.71,1.72,1.7,1.71,7336200,0.0
2025-08-04 09:00:00+07:00,1.72,1.72,1.71,1.72,130100,0.0
2025-08-04 10:00:00+07:00,1.72,1.72,1.64,1.67,6818900,0.0
2025-08-04 11:00:00+07:00,1.67,1.67,1.65,1.65,1415200,0.0
2025-08-04 12:00:00+07:00,1.65,1.67,1.65,1.66,1236900,0.0
2025-08-04 13:00:00+07:00,1.66,1.67,1.66,1.67,135500,0.0
2025-08-04 14:00:00+07:00,1.66,1.68,1.66,1.68,4068500,0.0
2025-08-04 15:00:00+07:00,1.67,1.68,1.67,1.68,495200,0.0
2025-08-04 16:00:00+07:00,1.68,1.68,1.67,1.67,3497200,0.0
2025-08-05 09:00:00+07:00,1.69,1.7,1.69,1.7,1109200,0.0
2025-08-05 10:00:00+07:00,1.7,1.72,1.69,1.7,3063400,0.0
2025-08-05 11:00:00+07:00,1.7,1.75,1.7,1.74,6536000,0.0
2025-08-05 12:00:00+07:00,1.74,1.76,1.74,1.75,4861400,0.0
2025-08-05 13:00:00+07:00,1.75,1.75,1.75,1.75,134100,0.0
2025-08-05 14:00:00+07:00,1.76,1.78,1.76,1.77,6187000,0.0
2025-08-05 15:00:00+07:00,1.76,1.78,1.75,1.77,3349700,0.0
2025-08-05 16:00:00+07:00,1.77,1.78,1.76,1.78,8764200,0.0
2025-08-06 09:00:00+07:00,1.78,1.79,1.78,1.79,229100,0.0
2025-08-06 10:00:00+07:00,1.79,1.84,1.78,1.83,8522800,0.0
2025-08-06 11:00:00+07:00,1.83,1.86,1.82,1.85,5911800,0.0
2025-08-06 12:00:00+07:00,1.85,1.85,1.84,1.84,1331600,0.0
2025-08-06 13:00:00+07:00,1.84,1.84,1.84,1.84,84300,0.0
2025-08-06 14:00:00+07:00,1.84,1.85,1.83,1.84,3359600,0.0
2025-08-06 15:00:00+07:00,1.84,1.84,1.82,1.82,3824000,0.0
2025-08-06 16:00:00+07:00,1.82,1.83,1.82,1.82,1767100,0.0
2025-08-07 09:00:00+07:00,1.83,1.83,1.83,1.83,202500,0.0
2025-08-07 10:00:00+07:00,1.83,1.88,1.83,1.87,8494300,0.0
2025-08-07 11:00:00+07:00,1.87,1.88,1.86,1.86,4649200,0.0
2025-08-07 12:00:00+07:00,1.87,1.88,1.86,1.87,1547200,0.0
2025-08-07 13:00:00+07:00,1.87,1.88,1.87,1.88,476800,0.0
