time,open,high,low,close,volume,value,date
2024-11-04 00:00:00+07:00,9.6,9.95,9.5,9.7,129516305,0.0,2024-11-04
2024-11-11 00:00:00+07:00,9.8,9.8,9.25,9.4,126195180,0.0,2024-11-11
2024-11-18 00:00:00+07:00,9.45,9.9,9.45,9.8,101912639,0.0,2024-11-18
2024-11-25 00:00:00+07:00,9.85,9.9,9.3,9.45,118717519,0.0,2024-11-25
2024-12-02 00:00:00+07:00,9.45,9.9,9.4,9.7,67695709,0.0,2024-12-02
2024-12-09 00:00:00+07:00,9.65,9.85,9.55,9.75,58411044,0.0,2024-12-09
2024-12-16 00:00:00+07:00,9.7,9.7,8.7,9.25,225574693,0.0,2024-12-16
2024-12-23 00:00:00+07:00,9.3,9.8,9.3,9.65,120577250,0.0,2024-12-23
2024-12-30 00:00:00+07:00,9.7,9.7,9.2,9.4,60307723,0.0,2024-12-30
2025-01-06 00:00:00+07:00,9.45,9.8,8.85,9.0,148507126,0.0,2025-01-06
2025-01-13 00:00:00+07:00,8.9,9.3,8.4,9.05,202950800,0.0,2025-01-13
2025-01-20 00:00:00+07:00,9.1,9.2,8.6,8.9,86970411,0.0,2025-01-20
2025-01-27 00:00:00+07:00,8.9,9.25,8.65,8.75,85404639,0.0,2025-01-27
2025-02-03 00:00:00+07:00,8.5,8.65,8.0,8.35,145618870,0.0,2025-02-03
2025-02-10 00:00:00+07:00,8.2,8.55,7.9,8.35,135118541,0.0,2025-02-10
2025-02-17 00:00:00+07:00,8.65,8.75,8.35,8.6,125532213,0.0,2025-02-17
2025-02-24 00:00:00+07:00,8.55,8.7,8.0,8.45,136521384,0.0,2025-02-24
2025-03-03 00:00:00+07:00,8.45,8.5,7.9,8.1,156261971,0.0,2025-03-03
2025-03-10 00:00:00+07:00,8.05,8.1,7.6,7.75,158872147,0.0,2025-03-10
2025-03-17 00:00:00+07:00,7.75,8.2,7.5,8.2,180945108,0.0,2025-03-17
2025-03-24 00:00:00+07:00,8.2,8.75,7.65,8.35,236955155,0.0,2025-03-24
2025-03-31 00:00:00+07:00,8.75,8.85,8.3,8.4,239265550,0.0,2025-03-31
2025-04-08 00:00:00+07:00,8.15,8.95,8.0,8.9,175451599,0.0,2025-04-08
2025-04-16 00:00:00+07:00,8.9,9.2,8.8,9.2,67653703,0.0,2025-04-16
2025-04-21 00:00:00+07:00,9.2,9.2,8.25,8.35,196318156,0.0,2025-04-21
2025-04-28 00:00:00+07:00,8.25,8.6,8.1,8.4,92866309,0.0,2025-04-28
2025-05-06 00:00:00+07:00,8.4,8.4,7.75,7.9,225461441,0.0,2025-05-06
2025-05-13 00:00:00+07:00,8.05,8.1,7.8,7.9,108089813,0.0,2025-05-13
2025-05-19 00:00:00+07:00,7.85,7.9,7.6,7.7,145973373,0.0,2025-05-19
2025-05-26 00:00:00+07:00,7.65,7.85,7.6,7.7,125443069,0.0,2025-05-26
2025-06-04 00:00:00+07:00,7.7,7.75,7.55,7.55,37679973,0.0,2025-06-04
2025-06-09 00:00:00+07:00,7.6,7.7,6.75,6.8,106569547,0.0,2025-06-09
2025-06-16 00:00:00+07:00,6.9,6.9,5.9,5.95,329807444,0.0,2025-06-16
2025-06-23 00:00:00+07:00,5.9,6.85,5.7,6.6,378778731,0.0,2025-06-23
2025-06-30 00:00:00+07:00,6.6,6.65,6.25,6.35,262323418,0.0,2025-06-30
2025-07-07 00:00:00+07:00,6.25,6.7,6.25,6.55,145701143,0.0,2025-07-07
2025-07-14 00:00:00+07:00,6.45,7.85,6.4,7.75,300281666,0.0,2025-07-14
2025-07-21 00:00:00+07:00,7.6,7.65,7.0,7.2,295280494,0.0,2025-07-21
2025-07-29 00:00:00+07:00,7.25,7.35,7.0,7.0,194307468,0.0,2025-07-29
2025-08-04 00:00:00+07:00,6.95,7.25,6.6,7.0,430982186,0.0,2025-08-04
2025-08-13 00:00:00+07:00,7.1,7.15,6.85,6.85,177659607,0.0,2025-08-13
2025-08-18 00:00:00+07:00,6.9,7.2,6.9,7.05,332109095,0.0,2025-08-18
2025-08-25 00:00:00+07:00,7.15,7.55,7.05,7.1,827974229,0.0,2025-08-25
2025-09-01 00:00:00+07:00,7.1,7.95,7.05,7.7,364007118,0.0,2025-09-01
2025-09-08 00:00:00+07:00,7.75,7.95,7.5,7.55,180173266,0.0,2025-09-08
2025-09-15 00:00:00+07:00,7.55,8.0,7.5,7.65,183932411,0.0,2025-09-15
2025-09-22 00:00:00+07:00,7.65,7.75,7.35,7.5,139841639,0.0,2025-09-22
2025-09-29 00:00:00+07:00,7.55,7.6,7.2,7.35,111760508,0.0,2025-09-29
2025-10-06 00:00:00+07:00,7.25,7.6,7.2,7.25,104848003,0.0,2025-10-06
2025-10-14 00:00:00+07:00,7.3,7.3,6.85,6.9,132468382,0.0,2025-10-14
2025-10-20 00:00:00+07:00,7.05,7.15,6.85,6.9,114785820,0.0,2025-10-20
2025-10-27 00:00:00+07:00,7.0,7.0,6.4,6.55,175051732,104207270.0,2025-10-27
