time,open,high,low,close,volume,value,date
2024-11-04 00:00:00+07:00,15.6,16.6,15.5,16.6,26683328,0.0,2024-11-04
2024-11-11 00:00:00+07:00,16.6,16.6,15.1,15.3,56608226,0.0,2024-11-11
2024-11-18 00:00:00+07:00,15.4,15.5,14.7,14.8,35665860,0.0,2024-11-18
2024-11-25 00:00:00+07:00,14.8,15.0,14.2,14.8,26482495,0.0,2024-11-25
2024-12-02 00:00:00+07:00,14.9,15.0,14.5,15.0,16821165,0.0,2024-12-02
2024-12-09 00:00:00+07:00,14.9,15.0,14.6,14.8,13421332,0.0,2024-12-09
2024-12-16 00:00:00+07:00,14.8,14.8,14.0,14.2,15970092,0.0,2024-12-16
2024-12-23 00:00:00+07:00,14.3,14.8,14.0,14.6,17704985,0.0,2024-12-23
2024-12-30 00:00:00+07:00,14.6,14.8,14.4,14.6,7489630,0.0,2024-12-30
2025-01-06 00:00:00+07:00,14.6,14.7,14.1,14.3,15203045,0.0,2025-01-06
2025-01-13 00:00:00+07:00,14.2,14.3,13.1,13.3,23558669,0.0,2025-01-13
2025-01-20 00:00:00+07:00,13.3,13.6,12.8,13.0,21846691,0.0,2025-01-20
2025-01-27 00:00:00+07:00,13.0,13.3,12.5,12.7,19510492,0.0,2025-01-27
2025-02-03 00:00:00+07:00,12.5,13.0,12.0,12.4,22495460,0.0,2025-02-03
2025-02-10 00:00:00+07:00,12.4,13.2,12.3,12.6,19438727,0.0,2025-02-10
2025-02-17 00:00:00+07:00,12.5,14.0,12.5,13.5,31020923,0.0,2025-02-17
2025-02-24 00:00:00+07:00,13.6,13.6,12.3,12.5,40845412,0.0,2025-02-24
2025-03-03 00:00:00+07:00,12.5,13.2,12.3,12.6,32766090,0.0,2025-03-03
2025-03-10 00:00:00+07:00,12.6,12.7,11.9,12.3,20039357,0.0,2025-03-10
2025-03-17 00:00:00+07:00,12.3,12.9,12.1,12.6,18395813,0.0,2025-03-17
2025-03-24 00:00:00+07:00,12.7,12.8,11.6,11.6,28389257,0.0,2025-03-24
2025-03-31 00:00:00+07:00,11.3,11.6,11.1,11.2,36318351,0.0,2025-03-31
2025-04-08 00:00:00+07:00,10.8,11.8,10.4,11.7,35021610,0.0,2025-04-08
2025-04-16 00:00:00+07:00,11.8,12.5,11.6,12.3,13738204,0.0,2025-04-16
2025-04-21 00:00:00+07:00,12.2,12.3,11.5,12.1,21200869,0.0,2025-04-21
2025-04-28 00:00:00+07:00,12.2,12.3,11.7,12.0,17943880,0.0,2025-04-28
2025-05-06 00:00:00+07:00,12.1,12.1,11.5,11.5,22539043,0.0,2025-05-06
2025-05-13 00:00:00+07:00,11.6,11.8,10.9,10.9,19574466,0.0,2025-05-13
2025-05-19 00:00:00+07:00,10.8,11.1,10.6,10.8,15208200,0.0,2025-05-19
2025-05-26 00:00:00+07:00,10.8,10.8,10.0,10.2,35050813,0.0,2025-05-26
2025-06-04 00:00:00+07:00,10.2,10.2,9.4,9.95,36923723,0.0,2025-06-04
2025-06-09 00:00:00+07:00,9.95,10.3,9.85,10.2,15434354,0.0,2025-06-09
2025-06-16 00:00:00+07:00,10.1,10.3,9.7,9.85,21009651,0.0,2025-06-16
2025-06-23 00:00:00+07:00,9.7,10.6,9.65,10.0,19896117,0.0,2025-06-23
2025-06-30 00:00:00+07:00,10.1,10.7,9.9,10.4,26496110,0.0,2025-06-30
2025-07-07 00:00:00+07:00,10.3,10.6,10.2,10.4,9139210,0.0,2025-07-07
2025-07-14 00:00:00+07:00,10.4,10.8,10.3,10.5,50477618,0.0,2025-07-14
2025-07-21 00:00:00+07:00,10.6,10.7,10.3,10.6,41290089,0.0,2025-07-21
2025-07-29 00:00:00+07:00,10.6,11.4,10.5,10.9,49948473,0.0,2025-07-29
2025-08-04 00:00:00+07:00,11.0,11.7,10.7,11.3,52812831,0.0,2025-08-04
2025-08-13 00:00:00+07:00,11.3,11.8,11.1,11.7,59177423,0.0,2025-08-13
2025-08-18 00:00:00+07:00,11.7,11.9,11.5,11.7,46593621,0.0,2025-08-18
2025-08-25 00:00:00+07:00,11.7,11.9,11.3,11.4,67651578,0.0,2025-08-25
2025-09-01 00:00:00+07:00,11.4,11.6,11.3,11.5,29497605,0.0,2025-09-01
2025-09-08 00:00:00+07:00,11.6,13.0,11.6,12.6,69947974,0.0,2025-09-08
2025-09-15 00:00:00+07:00,12.6,12.9,12.4,12.7,37673559,0.0,2025-09-15
2025-09-22 00:00:00+07:00,12.7,13.4,12.3,13.4,50441358,0.0,2025-09-22
2025-09-29 00:00:00+07:00,13.5,13.6,12.9,13.3,29721843,0.0,2025-09-29
2025-10-06 00:00:00+07:00,13.3,13.3,12.9,13.1,24179277,0.0,2025-10-06
2025-10-14 00:00:00+07:00,13.1,13.2,12.6,12.7,30923026,0.0,2025-10-14
2025-10-20 00:00:00+07:00,12.7,12.9,12.4,12.5,29324673,0.0,2025-10-20
2025-10-27 00:00:00+07:00,12.5,12.5,12.0,12.3,24691902,13391360.0,2025-10-27
