time,open,high,low,close,volume,value,date
2024-11-01 00:00:00+07:00,1.53,1.53,1.36,1.38,383338661,0.0,2024-11-01
2024-12-01 00:00:00+07:00,1.38,1.41,1.21,1.23,415256554,0.0,2024-12-01
2025-01-01 00:00:00+07:00,1.23,1.26,1.1,1.13,373131337,0.0,2025-01-01
2025-02-01 00:00:00+07:00,1.11,1.14,0.85,0.85,576960506,0.0,2025-02-01
2025-03-01 00:00:00+07:00,0.87,1.04,0.85,0.91,728303463,0.0,2025-03-01
2025-04-01 00:00:00+07:00,0.92,0.94,0.77,0.87,452538283,0.0,2025-04-01
2025-05-01 00:00:00+07:00,0.89,0.99,0.81,0.82,586905083,0.0,2025-05-01
2025-06-01 00:00:00+07:00,0.83,0.83,0.7,0.76,486993414,0.0,2025-06-01
2025-07-01 00:00:00+07:00,0.76,1.08,0.74,1.03,673471866,0.0,2025-07-01
2025-08-01 00:00:00+07:00,1.04,1.1,0.92,1.03,1184830657,0.0,2025-08-01
2025-09-01 00:00:00+07:00,1.04,1.34,1.02,1.12,2319778741,0.0,2025-09-01
2025-10-01 00:00:00+07:00,1.12,1.19,1.07,1.15,1163772171,101967348.0,2025-10-01
