time,open,high,low,close,volume,value,date
2024-11-04 00:00:00+07:00,25.75,26.75,25.0,26.0,100772739,0.0,2024-11-04
2024-11-11 00:00:00+07:00,26.25,27.0,25.25,25.5,155868975,0.0,2024-11-11
2024-11-18 00:00:00+07:00,25.75,26.0,25.0,25.75,50268746,0.0,2024-11-18
2024-11-25 00:00:00+07:00,26.0,26.0,24.5,25.0,55789233,0.0,2024-11-25
2024-12-02 00:00:00+07:00,25.5,25.5,24.1,25.25,83807086,0.0,2024-12-02
2024-12-09 00:00:00+07:00,25.25,27.5,25.0,27.0,84770104,0.0,2024-12-09
2024-12-16 00:00:00+07:00,26.75,27.0,25.5,26.25,80711657,0.0,2024-12-16
2024-12-23 00:00:00+07:00,26.25,26.5,25.25,25.5,68987692,0.0,2024-12-23
2024-12-30 00:00:00+07:00,25.5,25.5,24.5,24.9,37633284,0.0,2024-12-30
2025-01-06 00:00:00+07:00,24.9,24.9,21.8,22.4,177002784,0.0,2025-01-06
2025-01-13 00:00:00+07:00,22.1,23.7,22.1,23.6,70234013,0.0,2025-01-13
2025-01-20 00:00:00+07:00,23.6,23.9,22.3,23.7,80058857,0.0,2025-01-20
2025-01-27 00:00:00+07:00,23.6,24.2,22.8,23.0,50498250,0.0,2025-01-27
2025-02-03 00:00:00+07:00,22.1,23.4,22.0,22.7,100393647,0.0,2025-02-03
2025-02-10 00:00:00+07:00,22.7,23.4,22.3,23.0,57566769,0.0,2025-02-10
2025-02-17 00:00:00+07:00,23.4,23.6,21.0,21.0,87692888,0.0,2025-02-17
2025-02-24 00:00:00+07:00,20.7,21.7,18.7,19.1,116030536,0.0,2025-02-24
2025-03-03 00:00:00+07:00,19.0,21.8,18.2,21.5,140739970,0.0,2025-03-03
2025-03-10 00:00:00+07:00,21.3,22.2,20.0,21.9,124087606,0.0,2025-03-10
2025-03-17 00:00:00+07:00,22.0,22.2,21.0,21.2,77817725,0.0,2025-03-17
2025-03-24 00:00:00+07:00,21.1,21.4,19.8,19.9,64197678,0.0,2025-03-24
2025-03-31 00:00:00+07:00,19.3,20.1,18.7,18.8,65301516,0.0,2025-03-31
2025-04-08 00:00:00+07:00,18.0,19.2,16.9,18.7,82999449,0.0,2025-04-08
2025-04-16 00:00:00+07:00,18.9,20.1,18.8,19.6,41975131,0.0,2025-04-16
2025-04-21 00:00:00+07:00,19.7,19.7,18.3,18.6,72074671,0.0,2025-04-21
2025-04-28 00:00:00+07:00,18.6,20.2,18.6,19.3,83548848,0.0,2025-04-28
2025-05-06 00:00:00+07:00,19.1,20.8,18.7,20.4,150310246,0.0,2025-05-06
2025-05-13 00:00:00+07:00,21.3,21.3,19.6,19.7,81152568,0.0,2025-05-13
2025-05-19 00:00:00+07:00,19.6,20.9,19.5,20.0,85824340,0.0,2025-05-19
2025-05-26 00:00:00+07:00,20.1,22.0,20.1,20.3,91804680,0.0,2025-05-26
2025-06-04 00:00:00+07:00,20.3,20.8,19.6,20.3,52662485,0.0,2025-06-04
2025-06-09 00:00:00+07:00,20.5,20.9,19.8,20.3,72949969,0.0,2025-06-09
2025-06-16 00:00:00+07:00,20.2,20.4,19.0,19.4,54912461,0.0,2025-06-16
2025-06-23 00:00:00+07:00,19.3,20.9,19.2,20.3,67320545,0.0,2025-06-23
2025-06-30 00:00:00+07:00,20.3,20.9,20.1,20.4,49392073,0.0,2025-06-30
2025-07-07 00:00:00+07:00,20.3,21.4,19.7,21.2,56740730,0.0,2025-07-07
2025-07-14 00:00:00+07:00,21.1,22.5,20.7,22.3,94161390,0.0,2025-07-14
2025-07-21 00:00:00+07:00,22.2,22.4,21.0,21.3,83631835,0.0,2025-07-21
2025-07-29 00:00:00+07:00,21.6,23.5,21.5,22.4,115210077,0.0,2025-07-29
2025-08-04 00:00:00+07:00,22.6,23.9,22.1,22.8,105027585,0.0,2025-08-04
2025-08-13 00:00:00+07:00,22.8,23.5,21.5,21.6,60155790,0.0,2025-08-13
2025-08-18 00:00:00+07:00,21.7,23.5,20.3,22.8,143507636,0.0,2025-08-18
2025-08-25 00:00:00+07:00,23.1,23.7,21.7,21.7,95327210,0.0,2025-08-25
2025-09-01 00:00:00+07:00,21.7,22.5,21.4,22.1,104153075,0.0,2025-09-01
2025-09-08 00:00:00+07:00,22.4,24.5,22.4,23.8,146441521,0.0,2025-09-08
2025-09-15 00:00:00+07:00,23.8,23.9,22.7,23.1,102896915,0.0,2025-09-15
2025-09-22 00:00:00+07:00,23.1,23.2,21.9,22.4,71688592,0.0,2025-09-22
2025-09-29 00:00:00+07:00,22.5,22.6,21.6,21.8,81580974,0.0,2025-09-29
2025-10-06 00:00:00+07:00,21.8,21.9,20.8,21.5,83791511,0.0,2025-10-06
2025-10-14 00:00:00+07:00,21.5,21.5,19.4,19.4,53564674,0.0,2025-10-14
2025-10-20 00:00:00+07:00,19.8,21.1,19.7,21.0,55444177,0.0,2025-10-20
2025-10-27 00:00:00+07:00,21.2,21.5,19.1,19.1,94990611,401373260.0,2025-10-27
