time,open,high,low,close,volume,value,date
2024-11-01 00:00:00+07:00,2.32,2.58,2.24,2.32,1192181603,0.0,2024-11-01
2024-12-01 00:00:00+07:00,2.32,2.46,2.08,2.14,810410180,0.0,2024-12-01
2025-01-01 00:00:00+07:00,2.14,2.18,1.92,1.95,385706227,0.0,2025-01-01
2025-02-01 00:00:00+07:00,1.95,1.95,1.64,1.64,254359512,0.0,2025-02-01
2025-03-01 00:00:00+07:00,1.64,1.79,1.43,1.51,527114562,0.0,2025-03-01
2025-04-01 00:00:00+07:00,1.52,1.7,1.21,1.52,897134047,0.0,2025-04-01
2025-05-01 00:00:00+07:00,1.54,1.8,1.53,1.59,1827531059,0.0,2025-05-01
2025-06-01 00:00:00+07:00,1.59,1.59,1.21,1.31,1270740131,0.0,2025-06-01
2025-07-01 00:00:00+07:00,1.32,1.54,1.29,1.53,869570151,0.0,2025-07-01
2025-08-01 00:00:00+07:00,1.69,1.75,1.48,1.5,1715935218,0.0,2025-08-01
2025-09-01 00:00:00+07:00,1.5,1.63,1.41,1.43,1032256943,0.0,2025-09-01
2025-10-01 00:00:00+07:00,1.44,1.59,1.38,1.41,539179622,11105744.0,2025-10-01
