time,open,high,low,close,volume,value,date
2024-11-04 00:00:00+07:00,2.3,2.38,2.26,2.26,127886065,0.0,2024-11-04
2024-11-11 00:00:00+07:00,2.26,2.58,2.24,2.34,577014211,0.0,2024-11-11
2024-11-18 00:00:00+07:00,2.36,2.4,2.24,2.36,235741185,0.0,2024-11-18
2024-11-25 00:00:00+07:00,2.4,2.42,2.26,2.32,237395821,0.0,2024-11-25
2024-12-02 00:00:00+07:00,2.32,2.32,2.24,2.26,141674267,0.0,2024-12-02
2024-12-09 00:00:00+07:00,2.26,2.46,2.22,2.4,261529673,0.0,2024-12-09
2024-12-16 00:00:00+07:00,2.4,2.44,2.08,2.08,283362743,0.0,2024-12-16
2024-12-23 00:00:00+07:00,2.1,2.2,2.08,2.12,111554782,0.0,2024-12-23
2024-12-30 00:00:00+07:00,2.14,2.18,2.1,2.14,44359252,0.0,2024-12-30
2025-01-06 00:00:00+07:00,2.16,2.18,1.96,2.02,123859997,0.0,2025-01-06
2025-01-13 00:00:00+07:00,2.0,2.04,1.92,1.93,83635857,0.0,2025-01-13
2025-01-20 00:00:00+07:00,1.93,2.04,1.92,1.98,74855322,0.0,2025-01-20
2025-01-27 00:00:00+07:00,1.98,2.02,1.95,1.95,71284514,0.0,2025-01-27
2025-02-03 00:00:00+07:00,1.95,1.95,1.69,1.77,101514020,0.0,2025-02-03
2025-02-10 00:00:00+07:00,1.76,1.82,1.73,1.75,46383057,0.0,2025-02-10
2025-02-17 00:00:00+07:00,1.73,1.82,1.71,1.77,52195762,0.0,2025-02-17
2025-02-24 00:00:00+07:00,1.77,1.77,1.64,1.64,54266673,0.0,2025-02-24
2025-03-03 00:00:00+07:00,1.64,1.72,1.54,1.7,129833784,0.0,2025-03-03
2025-03-10 00:00:00+07:00,1.69,1.79,1.61,1.72,145781340,0.0,2025-03-10
2025-03-17 00:00:00+07:00,1.74,1.77,1.69,1.74,104842523,0.0,2025-03-17
2025-03-24 00:00:00+07:00,1.73,1.73,1.49,1.5,125255644,0.0,2025-03-24
2025-03-31 00:00:00+07:00,1.44,1.6,1.43,1.46,70710316,0.0,2025-03-31
2025-04-08 00:00:00+07:00,1.4,1.42,1.21,1.35,91188023,0.0,2025-04-08
2025-04-16 00:00:00+07:00,1.34,1.4,1.33,1.38,68211185,0.0,2025-04-16
2025-04-21 00:00:00+07:00,1.39,1.7,1.38,1.63,510603681,0.0,2025-04-21
2025-04-28 00:00:00+07:00,1.63,1.67,1.5,1.55,231287450,0.0,2025-04-28
2025-05-06 00:00:00+07:00,1.56,1.66,1.54,1.54,233901271,0.0,2025-05-06
2025-05-13 00:00:00+07:00,1.55,1.64,1.54,1.56,179186107,0.0,2025-05-13
2025-05-19 00:00:00+07:00,1.56,1.8,1.56,1.69,839188504,0.0,2025-05-19
2025-05-26 00:00:00+07:00,1.68,1.77,1.59,1.59,521789840,0.0,2025-05-26
2025-06-04 00:00:00+07:00,1.59,1.59,1.38,1.45,390597803,0.0,2025-06-04
2025-06-09 00:00:00+07:00,1.46,1.53,1.41,1.41,299987881,0.0,2025-06-09
2025-06-16 00:00:00+07:00,1.42,1.42,1.3,1.31,258965968,0.0,2025-06-16
2025-06-23 00:00:00+07:00,1.27,1.37,1.21,1.3,296200280,0.0,2025-06-23
2025-06-30 00:00:00+07:00,1.31,1.38,1.29,1.34,154071591,0.0,2025-06-30
2025-07-07 00:00:00+07:00,1.34,1.38,1.33,1.37,104790378,0.0,2025-07-07
2025-07-14 00:00:00+07:00,1.37,1.46,1.36,1.43,219277287,0.0,2025-07-14
2025-07-21 00:00:00+07:00,1.45,1.47,1.38,1.41,176895912,0.0,2025-07-21
2025-07-29 00:00:00+07:00,1.42,1.75,1.4,1.7,602228085,0.0,2025-07-29
2025-08-04 00:00:00+07:00,1.71,1.72,1.59,1.6,668202692,0.0,2025-08-04
2025-08-13 00:00:00+07:00,1.62,1.63,1.48,1.51,223085221,0.0,2025-08-13
2025-08-18 00:00:00+07:00,1.57,1.6,1.5,1.55,289397860,0.0,2025-08-18
2025-08-25 00:00:00+07:00,1.56,1.59,1.49,1.5,172544542,0.0,2025-08-25
2025-09-01 00:00:00+07:00,1.5,1.6,1.5,1.59,213862485,0.0,2025-09-01
2025-09-08 00:00:00+07:00,1.59,1.63,1.52,1.52,396601587,0.0,2025-09-08
2025-09-15 00:00:00+07:00,1.53,1.54,1.45,1.45,223056831,0.0,2025-09-15
2025-09-22 00:00:00+07:00,1.45,1.51,1.41,1.49,148996169,0.0,2025-09-22
2025-09-29 00:00:00+07:00,1.48,1.5,1.41,1.41,106263854,0.0,2025-09-29
2025-10-06 00:00:00+07:00,1.42,1.59,1.41,1.52,269263769,0.0,2025-10-06
2025-10-14 00:00:00+07:00,1.53,1.54,1.46,1.46,86947101,0.0,2025-10-14
2025-10-20 00:00:00+07:00,1.47,1.48,1.44,1.45,51728161,0.0,2025-10-20
2025-10-27 00:00:00+07:00,1.45,1.47,1.38,1.41,74716608,11105744.0,2025-10-27
