time,open,high,low,close,volume,value
2025-08-01 09:00:00+07:00,1.69,1.69,1.67,1.68,24985300,0.0
2025-08-01 10:00:00+07:00,1.68,1.69,1.61,1.65,101340100,0.0
2025-08-01 11:00:00+07:00,1.64,1.72,1.64,1.71,80152900,0.0
2025-08-01 12:00:00+07:00,1.71,1.75,1.71,1.72,54177100,0.0
2025-08-01 13:00:00+07:00,1.72,1.73,1.71,1.72,1293600,0.0
2025-08-01 14:00:00+07:00,1.72,1.73,1.7,1.72,26944300,0.0
2025-08-01 15:00:00+07:00,1.72,1.74,1.71,1.73,24486900,0.0
2025-08-01 16:00:00+07:00,1.73,1.73,1.69,1.7,49322400,0.0
2025-08-04 09:00:00+07:00,1.71,1.72,1.7,1.72,6960100,0.0
2025-08-04 10:00:00+07:00,1.72,1.72,1.66,1.68,43930200,0.0
2025-08-04 11:00:00+07:00,1.68,1.68,1.66,1.67,8637800,0.0
2025-08-04 12:00:00+07:00,1.67,1.68,1.66,1.67,3500600,0.0
2025-08-04 13:00:00+07:00,1.67,1.67,1.67,1.67,1339800,0.0
2025-08-04 14:00:00+07:00,1.67,1.68,1.63,1.65,24015000,0.0
2025-08-04 15:00:00+07:00,1.65,1.66,1.64,1.66,8946400,0.0
2025-08-04 16:00:00+07:00,1.66,1.66,1.64,1.64,16267500,0.0
2025-08-05 09:00:00+07:00,1.65,1.66,1.65,1.65,2272500,0.0
2025-08-05 10:00:00+07:00,1.65,1.67,1.62,1.67,39882200,0.0
2025-08-05 11:00:00+07:00,1.67,1.67,1.65,1.66,10560300,0.0
2025-08-05 12:00:00+07:00,1.66,1.66,1.64,1.66,5494200,0.0
2025-08-05 13:00:00+07:00,1.66,1.66,1.66,1.66,540000,0.0
2025-08-05 14:00:00+07:00,1.66,1.67,1.65,1.66,8665200,0.0
2025-08-05 15:00:00+07:00,1.66,1.69,1.66,1.68,18219900,0.0
2025-08-05 16:00:00+07:00,1.68,1.68,1.66,1.67,11145100,0.0
2025-08-06 09:00:00+07:00,1.67,1.67,1.67,1.67,2464100,0.0
2025-08-06 10:00:00+07:00,1.67,1.71,1.67,1.7,34212900,0.0
2025-08-06 11:00:00+07:00,1.7,1.71,1.67,1.69,19772000,0.0
2025-08-06 12:00:00+07:00,1.69,1.7,1.68,1.69,7294600,0.0
2025-08-06 13:00:00+07:00,1.69,1.69,1.69,1.69,85000,0.0
2025-08-06 14:00:00+07:00,1.69,1.7,1.67,1.68,23530000,0.0
2025-08-06 15:00:00+07:00,1.68,1.68,1.6,1.66,56755800,0.0
2025-08-06 16:00:00+07:00,1.66,1.67,1.65,1.67,14066200,0.0
2025-08-07 09:00:00+07:00,1.69,1.69,1.68,1.68,2532600,0.0
2025-08-07 10:00:00+07:00,1.68,1.69,1.65,1.67,22480200,0.0
2025-08-07 11:00:00+07:00,1.67,1.7,1.65,1.68,45665700,0.0
2025-08-07 12:00:00+07:00,1.68,1.7,1.67,1.68,29973200,0.0
2025-08-07 13:00:00+07:00,1.68,1.68,1.68,1.68,498900,0.0
2025-08-07 14:00:00+07:00,1.67,1.67,1.63,1.65,44455400,0.0
2025-08-07 15:00:00+07:00,1.65,1.66,1.62,1.63,25158500,0.0
2025-08-07 16:00:00+07:00,1.63,1.64,1.63,1.64,15972300,0.0
2025-08-08 09:00:00+07:00,1.64,1.65,1.64,1.65,1807000,0.0
2025-08-08 10:00:00+07:00,1.64,1.66,1.62,1.63,25334200,0.0
