time,open,high,low,close,volume,value,date
2024-11-01 00:00:00+07:00,20.0,20.3,17.1,19.3,528582709,0.0,2024-11-01
2024-12-01 00:00:00+07:00,19.3,20.2,18.0,18.2,257088950,0.0,2024-12-01
2025-01-01 00:00:00+07:00,18.3,18.7,13.7,14.7,441088710,0.0,2025-01-01
2025-02-01 00:00:00+07:00,14.1,14.9,11.5,11.9,200103634,0.0,2025-02-01
2025-03-01 00:00:00+07:00,12.4,14.9,11.9,12.8,340580332,0.0,2025-03-01
2025-04-01 00:00:00+07:00,13.0,14.3,11.3,13.8,214968537,0.0,2025-04-01
2025-05-01 00:00:00+07:00,14.0,14.1,9.25,9.25,284116536,0.0,2025-05-01
2025-06-01 00:00:00+07:00,9.3,10.0,7.35,8.9,445311294,0.0,2025-06-01
2025-07-01 00:00:00+07:00,8.95,11.5,8.85,11.1,490931911,0.0,2025-07-01
2025-08-01 00:00:00+07:00,11.3,12.7,10.4,11.7,410331603,0.0,2025-08-01
2025-09-01 00:00:00+07:00,11.6,13.5,11.4,11.8,296101290,0.0,2025-09-01
2025-10-01 00:00:00+07:00,11.8,12.0,9.65,9.75,207091529,40649420.0,2025-10-01
