time,open,high,low,close,volume,value,date
2024-10-31 00:00:00+07:00,19.4,20.1,19.4,19.9,23840889,0.0,2024-10-31
2024-11-01 00:00:00+07:00,20.0,20.0,19.5,19.5,14903059,0.0,2024-11-01
2024-11-04 00:00:00+07:00,19.6,19.8,19.0,19.0,17056458,0.0,2024-11-04
2024-11-05 00:00:00+07:00,19.1,19.8,18.6,19.7,38053420,0.0,2024-11-05
2024-11-06 00:00:00+07:00,19.7,19.7,18.4,18.4,37913020,0.0,2024-11-06
2024-11-07 00:00:00+07:00,18.6,18.9,18.3,18.7,17849699,0.0,2024-11-07
2024-11-08 00:00:00+07:00,19.2,20.3,19.2,20.0,48940113,0.0,2024-11-08
2024-11-11 00:00:00+07:00,20.2,20.2,18.7,18.8,48772188,0.0,2024-11-11
2024-11-12 00:00:00+07:00,19.0,19.2,18.3,18.4,27258514,0.0,2024-11-12
2024-11-13 00:00:00+07:00,18.3,18.8,17.8,17.9,34939561,0.0,2024-11-13
2024-11-14 00:00:00+07:00,18.0,18.8,17.6,18.4,29743619,0.0,2024-11-14
2024-11-15 00:00:00+07:00,18.4,18.5,17.6,17.6,25763731,0.0,2024-11-15
2024-11-18 00:00:00+07:00,17.9,18.1,17.5,17.9,11637571,0.0,2024-11-18
2024-11-19 00:00:00+07:00,18.3,18.7,18.2,18.3,24318042,0.0,2024-11-19
2024-11-20 00:00:00+07:00,18.2,18.3,17.9,18.0,11555751,0.0,2024-11-20
2024-11-21 00:00:00+07:00,18.0,18.2,17.7,17.8,7480801,0.0,2024-11-21
2024-11-22 00:00:00+07:00,18.0,18.4,17.6,18.0,16729451,0.0,2024-11-22
2024-11-25 00:00:00+07:00,18.2,18.2,17.8,17.8,7895914,0.0,2024-11-25
2024-11-26 00:00:00+07:00,17.8,18.0,17.1,17.1,16716137,0.0,2024-11-26
2024-11-27 00:00:00+07:00,17.3,18.5,17.2,18.2,26530297,0.0,2024-11-27
2024-11-28 00:00:00+07:00,18.2,19.4,18.0,19.2,46710475,0.0,2024-11-28
2024-11-29 00:00:00+07:00,19.1,19.6,19.0,19.3,17814888,0.0,2024-11-29
2024-12-02 00:00:00+07:00,19.3,19.4,18.8,19.3,13543603,0.0,2024-12-02
2024-12-03 00:00:00+07:00,19.4,20.2,19.3,19.9,32863106,0.0,2024-12-03
2024-12-04 00:00:00+07:00,20.0,20.1,19.8,19.9,11328038,0.0,2024-12-04
2024-12-06 00:00:00+07:00,19.9,20.2,19.6,19.6,10227594,0.0,2024-12-06
2024-12-09 00:00:00+07:00,19.7,19.8,19.2,19.3,8553453,0.0,2024-12-09
2024-12-11 00:00:00+07:00,19.6,19.9,19.1,19.1,14684601,0.0,2024-12-11
2024-12-12 00:00:00+07:00,19.4,19.4,18.7,18.8,9921899,0.0,2024-12-12
2024-12-13 00:00:00+07:00,18.7,19.2,18.6,19.1,8317036,0.0,2024-12-13
