time,open,high,low,close,volume,value,date
2024-11-04 00:00:00+07:00,19.6,20.3,18.3,20.0,159812710,0.0,2024-11-04
2024-11-11 00:00:00+07:00,20.2,20.2,17.6,17.6,166477613,0.0,2024-11-11
2024-11-18 00:00:00+07:00,17.9,18.7,17.5,18.0,71721616,0.0,2024-11-18
2024-11-25 00:00:00+07:00,18.2,19.6,17.1,19.3,115667711,0.0,2024-11-25
2024-12-02 00:00:00+07:00,19.3,20.2,18.8,19.6,67962341,0.0,2024-12-02
2024-12-09 00:00:00+07:00,19.7,19.9,18.6,19.1,41476989,0.0,2024-12-09
2024-12-16 00:00:00+07:00,18.9,20.0,18.0,18.1,89583145,0.0,2024-12-16
2024-12-23 00:00:00+07:00,18.3,19.2,18.2,18.3,49609719,0.0,2024-12-23
2024-12-30 00:00:00+07:00,18.4,18.7,17.8,18.3,35564408,0.0,2024-12-30
2025-01-06 00:00:00+07:00,18.3,18.5,13.7,16.1,209230099,0.0,2025-01-06
2025-01-13 00:00:00+07:00,15.8,16.1,14.4,14.4,83323767,0.0,2025-01-13
2025-01-20 00:00:00+07:00,14.3,15.5,14.0,15.4,70141751,0.0,2025-01-20
2025-01-27 00:00:00+07:00,15.5,15.9,14.7,14.7,51285441,0.0,2025-01-27
2025-02-03 00:00:00+07:00,14.1,14.9,13.4,14.3,53890779,0.0,2025-02-03
2025-02-10 00:00:00+07:00,14.1,14.4,13.1,13.4,41601461,0.0,2025-02-10
2025-02-17 00:00:00+07:00,13.2,14.4,13.1,13.8,36291538,0.0,2025-02-17
2025-02-24 00:00:00+07:00,13.7,13.7,11.5,11.9,68319856,0.0,2025-02-24
2025-03-03 00:00:00+07:00,12.4,14.4,11.9,14.2,123980534,0.0,2025-03-03
2025-03-10 00:00:00+07:00,14.0,14.3,13.3,13.6,70618541,0.0,2025-03-10
2025-03-17 00:00:00+07:00,13.7,14.9,12.6,13.8,96331198,0.0,2025-03-17
2025-03-24 00:00:00+07:00,13.8,13.9,13.2,13.3,38083588,0.0,2025-03-24
2025-03-31 00:00:00+07:00,12.6,13.4,12.4,12.5,54135850,0.0,2025-03-31
2025-04-08 00:00:00+07:00,11.6,12.8,11.3,11.6,48538320,0.0,2025-04-08
2025-04-16 00:00:00+07:00,11.7,12.9,11.6,12.9,28135130,0.0,2025-04-16
2025-04-21 00:00:00+07:00,12.7,14.0,12.5,13.6,61221961,0.0,2025-04-21
2025-04-28 00:00:00+07:00,13.7,14.3,13.5,13.6,49725256,0.0,2025-04-28
2025-05-06 00:00:00+07:00,13.6,14.0,12.6,12.7,58079331,0.0,2025-05-06
2025-05-13 00:00:00+07:00,13.1,13.1,10.6,10.8,78119335,0.0,2025-05-13
2025-05-19 00:00:00+07:00,10.7,10.9,9.5,9.65,70976269,0.0,2025-05-19
2025-05-26 00:00:00+07:00,9.7,9.85,9.25,9.25,61720092,0.0,2025-05-26
2025-06-04 00:00:00+07:00,9.3,9.6,8.85,9.35,56030680,0.0,2025-06-04
2025-06-09 00:00:00+07:00,9.4,9.6,8.0,8.1,74316219,0.0,2025-06-09
2025-06-16 00:00:00+07:00,8.1,8.75,7.75,7.75,109297193,0.0,2025-06-16
2025-06-23 00:00:00+07:00,7.5,10.0,7.35,9.0,181272970,0.0,2025-06-23
2025-06-30 00:00:00+07:00,9.1,10.3,8.55,9.9,143106231,0.0,2025-06-30
2025-07-07 00:00:00+07:00,9.75,10.5,9.65,10.4,79620697,0.0,2025-07-07
2025-07-14 00:00:00+07:00,10.3,10.9,10.2,10.5,106803774,0.0,2025-07-14
2025-07-21 00:00:00+07:00,10.5,11.1,10.2,10.5,100758456,0.0,2025-07-21
2025-07-29 00:00:00+07:00,10.6,11.5,10.1,10.6,106747971,0.0,2025-07-29
2025-08-04 00:00:00+07:00,10.7,12.7,10.4,12.0,166157236,0.0,2025-08-04
2025-08-13 00:00:00+07:00,12.3,12.4,11.1,11.5,92270713,0.0,2025-08-13
2025-08-18 00:00:00+07:00,11.6,11.8,11.1,11.4,64283138,0.0,2025-08-18
2025-08-25 00:00:00+07:00,11.7,12.3,11.6,11.7,65909530,0.0,2025-08-25
2025-09-01 00:00:00+07:00,11.6,12.5,11.4,12.2,87606920,0.0,2025-09-01
2025-09-08 00:00:00+07:00,12.4,13.5,12.3,13.0,88857177,0.0,2025-09-08
2025-09-15 00:00:00+07:00,12.9,13.3,12.6,12.7,52437730,0.0,2025-09-15
2025-09-22 00:00:00+07:00,12.7,12.8,12.0,12.5,48756283,0.0,2025-09-22
2025-09-29 00:00:00+07:00,12.6,12.7,11.2,11.2,55701197,0.0,2025-09-29
2025-10-06 00:00:00+07:00,11.3,12.0,10.9,11.4,41101817,0.0,2025-10-06
2025-10-14 00:00:00+07:00,11.4,11.5,10.1,10.1,51177815,0.0,2025-10-14
2025-10-20 00:00:00+07:00,10.3,10.5,9.85,10.0,35515347,0.0,2025-10-20
2025-10-27 00:00:00+07:00,10.1,10.3,9.65,9.75,42038533,40649420.0,2025-10-27
