time,open,high,low,close,volume,value,date
2024-11-01 00:00:00+07:00,36.0,38.75,24.5,25.25,290108763,0.0,2024-11-01
2024-12-01 00:00:00+07:00,25.75,25.75,21.3,24.5,273682327,0.0,2024-12-01
2025-01-01 00:00:00+07:00,24.7,25.25,21.6,22.0,213588031,0.0,2025-01-01
2025-02-01 00:00:00+07:00,21.7,21.9,17.0,18.3,210672220,0.0,2025-02-01
2025-03-01 00:00:00+07:00,18.6,19.8,14.8,15.7,153168863,0.0,2025-03-01
2025-04-01 00:00:00+07:00,16.0,18.3,13.7,17.4,186947284,0.0,2025-04-01
2025-05-01 00:00:00+07:00,17.7,19.3,14.6,15.8,200924760,0.0,2025-05-01
2025-06-01 00:00:00+07:00,16.0,19.0,15.1,18.2,199008670,0.0,2025-06-01
2025-07-01 00:00:00+07:00,18.5,25.75,18.2,24.8,508267966,0.0,2025-07-01
2025-08-01 00:00:00+07:00,26.0,28.25,23.3,25.5,254833186,0.0,2025-08-01
2025-09-01 00:00:00+07:00,26.0,26.75,22.7,22.8,204248855,0.0,2025-09-01
2025-10-01 00:00:00+07:00,23.0,27.25,22.2,25.5,300212997,241502875.0,2025-10-01
